SURVEY: DES   
SNID:   424394   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.95175 +- 0.01540  (Helio, z_best) 
REDSHIFT_FINAL:   0.95175 +- 0.01540  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17140 
HOST_GALAXY_PHOTO-Z:   0.9518  +- 0.0154  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.9692  
SIM_HOSTLIB_TRUEZ:  0.9700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17140  
SIM_DLMU:      44.016140  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0093   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.21  24.07  23.58  23.49  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56348.339844  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.846e-06   
SIM_SALT2x1:    1.7973   
SIM_SALT2c:    -0.0878   
SIM_SALT2mB:   24.1724   
SIM_STRETCH:    2.797  
SIM_MAGDIM:    0.639  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.18   days 
SIM_TRESTMAX:     1.40   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56347.988  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 55 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56273.160  g NULL  -3.147e-01   1.752e+00  -0.18   99.000    5.000   98.612
OBS:  56273.176  r NULL  -1.057e+00   1.213e+00  -0.87   99.000    5.000   99.102
OBS:  56273.188  i NULL  -1.900e+00   2.024e+00  -0.94   99.000    5.000   99.128
OBS:  56273.219  z NULL  -4.409e-01   2.251e+00  -0.20   99.000    5.000   99.094
OBS:  56281.160  g NULL  -6.479e-01   2.074e+00  -0.31   99.000    5.000   98.612
OBS:  56281.184  r NULL   1.948e+00   1.274e+00   1.53   99.000    5.000   99.102
OBS:  56281.203  i NULL   1.444e+00   1.799e+00   0.80   99.000    5.000   99.128
OBS:  56281.227  z NULL  -1.282e+00   2.290e+00  -0.56   99.000    5.000   99.094
OBS:  56288.086  g NULL   5.487e+00   4.850e+00   1.13   99.000    5.000   98.612
OBS:  56288.094  r NULL   1.340e-01   2.113e+00   0.06   99.000    5.000   99.102
OBS:  56288.109  i NULL   6.657e+00   3.061e+00   2.17   99.000    5.000   99.128
OBS:  56288.141  z NULL   3.615e+00   2.585e+00   1.40   99.000    5.000   99.094
OBS:  56289.227  g NULL  -1.776e+00   6.491e+00  -0.27   99.000    5.000   98.612
OBS:  56289.242  r NULL   6.815e-01   2.701e+00   0.25   99.000    5.000   99.102
OBS:  56289.258  i NULL  -6.463e+00   5.086e+00  -1.27   99.000    5.000   99.128
OBS:  56292.035  z NULL   3.984e-01   2.061e+00   0.19   99.000    5.000   99.094
OBS:  56292.141  g NULL  -3.423e-01   3.053e+00  -0.11   99.000    5.000   98.612
OBS:  56292.156  r NULL   1.857e+00   1.735e+00   1.07   99.000    5.000   99.102
OBS:  56292.172  i NULL   8.273e-01   2.653e+00   0.31   99.000    5.000   99.128
OBS:  56303.039  g NULL   4.468e-01   1.371e+00   0.33   99.000    5.000   98.612
OBS:  56303.051  r NULL   1.023e+00   8.996e-01   1.14   99.000    5.000   99.102
OBS:  56303.070  i NULL   2.135e+00   1.413e+00   1.51   99.000    5.000   99.128
OBS:  56303.094  z NULL  -1.267e+00   2.209e+00  -0.57   99.000    5.000   99.094
OBS:  56311.043  g NULL   4.861e+00   2.671e+00   1.82   25.783    0.865   29.956
OBS:  56311.055  r NULL   3.666e-02   1.496e+00   0.02   31.089   96.911   29.103
