SURVEY: DES   
SNID:   425940   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.66565 +- 0.01570  (Helio, z_best) 
REDSHIFT_FINAL:   0.66565 +- 0.01570  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17336 
HOST_GALAXY_PHOTO-Z:   0.6656  +- 0.0157  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      16   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SDSS-004012  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6715  
SIM_HOSTLIB_TRUEZ:  0.6700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17336  
SIM_DLMU:      43.036774  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0224   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.65  25.18  25.25  24.86  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56189.191406  days 
SIM_SALT2x0:   6.099e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -7.19   days 
SIM_TRESTMAX:    69.91   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56189.305  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -7.724e+00   4.790e+00  -1.61  128.000    0.000   26.837
OBS:  56177.188  r NULL   1.778e+00   5.335e+00   0.33   26.875  101.125   26.146
OBS:  56177.203  i NULL   3.986e+00   5.437e+00   0.73   25.999  102.001   27.010
OBS:  56177.234  z NULL   4.391e+00   4.692e+00   0.94   25.893  102.107   26.362
OBS:  56179.172  g NULL  -2.314e-01   2.241e+00  -0.10  128.000    0.000   26.636
OBS:  56179.312  r NULL   4.699e+00   3.033e+00   1.55   25.820    1.126   25.619
OBS:  56179.328  i NULL   5.586e+00   4.201e+00   1.33   25.632    1.514   26.022
OBS:  56179.359  z NULL   5.806e+00   3.519e+00   1.65   25.590    1.011   25.676
OBS:  56187.156  g NULL   2.376e+00   1.708e+00   1.39   26.561    1.379   26.377
OBS:  56187.172  r NULL   8.294e+00   1.267e+00   6.55   25.203    0.180   25.110
OBS:  56187.188  i NULL   8.417e+00   1.907e+00   4.41   25.187    0.279   25.146
OBS:  56187.211  z NULL   1.457e+01   2.194e+00   6.64   24.591    0.177   24.883
OBS:  56189.148  g NULL  -1.084e+01   9.764e+00  -1.11  128.000    0.000   26.646
OBS:  56189.160  r NULL   9.493e+00   3.884e+00   2.44   25.057    0.571   25.175
OBS:  56189.176  i NULL  -1.451e+00   8.072e+00  -0.18  128.000    0.000   25.244
OBS:  56189.203  z NULL   6.706e-01   4.693e+00   0.14   27.934  100.066   24.861
OBS:  56194.121  g NULL   1.777e+00   3.772e+00   0.47   26.876  101.124   27.561
OBS:  56194.129  r NULL   5.886e+00   2.355e+00   2.50   25.576    0.555   25.474
OBS:  56200.156  i NULL   1.071e+01   8.068e+00   1.33   24.926    1.520   25.651
OBS:  56200.180  z NULL   7.705e+00   5.637e+00   1.37   25.283    1.429   25.037
OBS:  56207.156  g NULL  -2.532e+00   2.280e+00  -1.11  128.000    0.000   28.756
OBS:  56207.172  r NULL   2.874e+00   1.605e+00   1.79   26.354    0.887   26.596
OBS:  56209.191  i NULL   4.729e+00   2.143e+00   2.21   25.813    0.655   25.998
