SURVEY: DES   
SNID:   432077   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.26805 +- 0.02550  (Helio, z_best) 
REDSHIFT_FINAL:   0.26805 +- 0.02550  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13698 
HOST_GALAXY_PHOTO-Z:   0.2680  +- 0.0255  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.2922  
SIM_HOSTLIB_TRUEZ:  0.2900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13698  
SIM_DLMU:      40.889965  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0109   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   21.86  21.57  21.49  22.02  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56182.460938  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.384e-05   
SIM_SALT2x1:   -0.1788   
SIM_SALT2c:     0.0833   
SIM_SALT2mB:   21.8113   
SIM_STRETCH:    0.821  
SIM_MAGDIM:    1.404  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -4.85   days 
SIM_TRESTMAX:    60.90   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56183.672  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 106 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   1.689e+02   5.801e+00  29.11   21.931    0.038   21.924
OBS:  56176.199  r NULL   2.009e+02   4.335e+00  46.33   21.743    0.024   21.744
OBS:  56176.215  i NULL   2.063e+02   4.989e+00  41.35   21.714    0.027   21.713
OBS:  56176.238  z NULL   1.580e+02   3.858e+00  40.95   22.004    0.027   21.999
OBS:  56179.188  g NULL   1.857e+02   4.439e+00  41.83   21.828    0.026   21.836
OBS:  56179.195  r NULL   2.216e+02   4.498e+00  49.27   21.636    0.023   21.622
OBS:  56179.234  i NULL   2.357e+02   4.843e+00  48.66   21.569    0.023   21.569
OBS:  56179.266  z NULL   1.603e+02   4.784e+00  33.50   21.988    0.033   21.983
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   1.856e+02   4.428e+00  41.93   21.828    0.026   21.832
OBS:  56180.281  r NULL   2.299e+02   4.510e+00  50.97   21.596    0.022   21.596
OBS:  56180.297  i NULL   2.487e+02   5.945e+00  41.84   21.511    0.026   21.535
OBS:  56180.328  z NULL   1.538e+02   5.331e+00  28.85   22.033    0.039   21.996
OBS:  56188.160  g NULL   1.386e+02   6.388e+00  21.69   22.146    0.051   22.131
OBS:  56188.176  r NULL   2.244e+02   7.036e+00  31.89   21.622    0.034   21.644
OBS:  56188.211  i NULL   2.314e+02   6.289e+00  36.80   21.589    0.030   21.548
OBS:  56188.238  z NULL   1.414e+02   4.309e+00  32.82   22.124    0.034   22.084
OBS:  56189.254  g NULL   1.320e+02   3.493e+00  37.79   22.199    0.029   22.202
OBS:  56189.270  r NULL   2.259e+02   5.388e+00  41.93   21.615    0.025   21.672
OBS:  56189.281  i NULL   2.424e+02   1.016e+01  23.86   21.539    0.046   21.580
OBS:  56189.312  z NULL   1.446e+02   4.015e+00  36.00   22.100    0.030   22.127
OBS:  56194.258  g NULL   9.601e+01   3.297e+00  29.12   22.544    0.037   22.589
OBS:  56194.270  r NULL   1.815e+02   3.738e+00  48.55   21.853    0.022   21.860
OBS:  56194.285  i NULL   1.892e+02   4.242e+00  44.60   21.808    0.025   21.802
OBS:  56194.305  z NULL   1.054e+02   3.097e+00  34.02   22.443    0.033   22.413
OBS:  56202.160  g NULL   4.603e+01   4.894e+00   9.41   23.342    0.122   23.397
OBS:  56202.176  r NULL   1.180e+02   3.224e+00  36.59   22.321    0.030   22.322
OBS:  56202.191  i NULL   1.358e+02   4.888e+00  27.77   22.168    0.040   22.169
OBS:  56202.215  z NULL   8.876e+01   3.182e+00  27.90   22.629    0.039   22.654
OBS:  56210.172  g NULL   2.467e+01   3.738e+00   6.60   24.019    0.178   24.198
OBS:  56210.188  r NULL   7.148e+01   3.497e+00  20.44   22.865    0.055   22.825
OBS:  56210.203  i NULL   1.199e+02   3.927e+00  30.52   22.303    0.036   22.329
OBS:  56210.234  z NULL   8.357e+01   4.154e+00  20.12   22.695    0.055   22.685
OBS:  56218.172  g NULL   1.292e+01   1.303e+00   9.91   24.722    0.115   24.800
OBS:  56218.191  r NULL   4.563e+01   1.308e+00  34.89   23.352    0.032   23.354
OBS:  56218.211  i NULL   9.499e+01   2.348e+00  40.46   22.556    0.027   22.546
OBS:  56219.156  z NULL   7.269e+01   2.368e+00  30.70   22.846    0.036   22.852
OBS:  56221.273  g NULL   1.009e+01   3.929e+00   2.57   24.990    0.536   25.008
OBS:  56221.281  r NULL   3.505e+01   5.636e+00   6.22   23.638    0.191   23.531
OBS:  56221.297  i NULL   8.897e+01   4.802e+00  18.53   22.627    0.060   22.668
OBS:  56221.324  z NULL   6.449e+01   1.445e+01   4.46   22.976    0.276   22.920
OBS:  56222.074  g NULL   1.787e+01   5.924e+00   3.02   24.370    0.437   25.045
OBS:  56222.090  r NULL   3.588e+01   2.722e+00  13.18   23.613    0.086   23.569
OBS:  56222.113  i NULL   8.121e+01   3.669e+00  22.14   22.726    0.050   22.706
OBS:  56222.133  z NULL   6.195e+01   5.192e+00  11.93   23.020    0.095   22.941
OBS:  56228.059  g NULL   3.979e+00   7.697e+00   0.52   26.001  101.999   25.218
OBS:  56228.066  r NULL   2.752e+01   2.455e+00  11.21   23.901    0.102   23.795
OBS:  56228.086  i NULL   6.693e+01   5.270e+00  12.70   22.936    0.089   22.985
OBS:  56228.109  z NULL   5.706e+01   4.273e+00  13.35   23.109    0.085   23.106
OBS:  56229.047  g NULL   3.028e+01   2.393e+01   1.27   23.797    1.694   25.237
OBS:  56229.059  r NULL   3.317e+01   3.907e+00   8.49   23.698    0.136   23.829
OBS:  56229.074  i NULL   6.444e+01   5.565e+00  11.58   22.977    0.098   23.026
OBS:  56229.102  z NULL   5.335e+01   4.953e+00  10.77   23.182    0.106   23.141
OBS:  56230.059  g NULL   9.055e+00   6.577e+00   1.38   25.108    1.407   25.254
OBS:  56230.102  r NULL   2.507e+01   2.961e+00   8.47   24.002    0.137   23.863
OBS:  56230.113  i NULL   5.764e+01   5.293e+00  10.89   23.098    0.105   23.066
OBS:  56230.145  z NULL   5.087e+01   2.834e+00  17.95   23.234    0.063   23.181
OBS:  56231.043  g NULL   1.010e+01   6.052e+00   1.67   24.989    0.993   25.269
OBS:  56231.059  r NULL   2.481e+01   2.601e+00   9.54   24.014    0.121   23.893
OBS:  56231.070  i NULL   5.503e+01   4.371e+00  12.59   23.149    0.090   23.101
OBS:  56231.102  z NULL   4.954e+01   3.410e+00  14.53   23.263    0.078   23.220
OBS:  56235.039  g NULL   5.716e+00   5.192e+00   1.10   25.607    2.595   25.314
OBS:  56235.047  r NULL   2.304e+01   3.740e+00   6.16   24.094    0.193   24.011
OBS:  56235.062  i NULL   4.201e+01   4.275e+00   9.83   23.442    0.118   23.229
OBS:  56235.090  z NULL   4.704e+01   8.281e+00   5.68   23.319    0.210   23.402
OBS:  56236.047  g NULL   2.069e+00   4.881e+00   0.42   26.711  101.289   25.325
OBS:  56236.062  r NULL   2.976e+01   2.726e+00  10.92   23.816    0.104   24.039
OBS:  56236.074  i NULL   4.553e+01   5.299e+00   8.59   23.354    0.135   23.260
