SURVEY: DES   
SNID:   437454   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.99009 +- 0.01960  (Helio, z_best) 
REDSHIFT_FINAL:   0.99009 +- 0.01960  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18883 
HOST_GALAXY_PHOTO-Z:   0.9901  +- 0.0196  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.9930  
SIM_HOSTLIB_TRUEZ:  0.9900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18883  
SIM_DLMU:      44.081356  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0085   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.74  25.11  23.86  23.84  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56363.421875  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.428e-06   
SIM_SALT2x1:   -1.0486   
SIM_SALT2c:    -0.0500   
SIM_SALT2mB:   24.6718   
SIM_MAGDIM:    1.073  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.80   days 
SIM_TRESTMAX:    -6.18   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56365.164  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56288.086  g NULL   5.043e+00   4.850e+00   1.04   99.000    5.000   98.974
OBS:  56288.094  r NULL  -1.376e+00   2.113e+00  -0.65   99.000    5.000   99.022
OBS:  56288.109  i NULL  -1.619e+00   3.059e+00  -0.53   99.000    5.000   98.967
OBS:  56288.141  z NULL  -1.378e+00   2.584e+00  -0.53   99.000    5.000   98.940
OBS:  56289.227  g NULL   1.192e+00   6.491e+00   0.18   99.000    5.000   98.974
OBS:  56289.242  r NULL  -1.769e-01   2.701e+00  -0.07   99.000    5.000   99.022
OBS:  56289.258  i NULL   7.587e+00   5.086e+00   1.49   99.000    5.000   98.967
OBS:  56292.035  z NULL   1.629e+00   2.061e+00   0.79   99.000    5.000   98.940
OBS:  56292.141  g NULL   4.616e-01   3.053e+00   0.15   99.000    5.000   98.974
OBS:  56292.156  r NULL  -8.685e-01   1.735e+00  -0.50   99.000    5.000   99.022
OBS:  56292.172  i NULL   1.892e+00   2.653e+00   0.71   99.000    5.000   98.967
OBS:  56303.039  g NULL   1.398e+00   1.371e+00   1.02   99.000    5.000   98.974
OBS:  56303.051  r NULL   2.446e-01   8.995e-01   0.27   99.000    5.000   99.022
OBS:  56303.070  i NULL   1.185e-02   1.413e+00   0.01   99.000    5.000   98.967
OBS:  56303.094  z NULL   1.459e+00   2.209e+00   0.66   99.000    5.000   98.940
OBS:  56311.043  g NULL  -3.137e+00   2.670e+00  -1.17   99.000    5.000   98.974
OBS:  56311.055  r NULL  -1.059e+00   1.496e+00  -0.71   99.000    5.000   99.022
OBS:  56311.074  i NULL   1.616e+00   2.388e+00   0.68   99.000    5.000   98.967
OBS:  56311.098  z NULL  -1.606e+00   2.434e+00  -0.66   99.000    5.000   98.940
OBS:  56317.125  g NULL  -8.387e-01   4.216e+00  -0.20   99.000    5.000   98.974
OBS:  56317.141  r NULL   5.716e-01   1.860e+00   0.31   99.000    5.000   99.022
OBS:  56318.109  i NULL   1.704e+00   2.781e+00   0.61   99.000    5.000   98.967
OBS:  56318.141  z NULL   3.366e+00   2.976e+00   1.13   99.000    5.000   98.940
OBS:  56321.090  g NULL   1.171e+01   6.631e+00   1.77   99.000    5.000   98.974
OBS:  56321.098  r NULL   2.244e+00   2.887e+00   0.78   99.000    5.000   99.022
