SURVEY: DES   
SNID:   437488   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  22 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.25568 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.25568 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.25568 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15714 
HOST_GALAXY_PHOTO-Z:   0.3117  +- 0.0597  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      35   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-018441  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.2599  
SIM_HOSTLIB_TRUEZ:  0.2600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15714  
SIM_DLMU:      40.598400  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0122   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.42  23.11  22.89  23.17  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56325.949219  days 
SIM_SALT2x0:   5.763e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.52   days 
SIM_TRESTMAX:    -6.28   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56325.457  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 20 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56276.152  g NULL   1.217e+01   4.042e+00   3.01   99.000    5.000   99.030
OBS:  56276.172  r NULL  -4.997e+00   2.884e+00  -1.73   99.000    5.000   99.037
OBS:  56277.164  i NULL   3.025e+00   3.541e+00   0.85   99.000    5.000   98.938
OBS:  56278.164  z NULL   8.584e+00   4.287e+00   2.00   99.000    5.000   99.050
OBS:  56288.035  g NULL  -1.266e+01   1.451e+01  -0.87   99.000    5.000   99.030
OBS:  56288.043  r NULL  -1.549e+00   5.400e+00  -0.29   99.000    5.000   99.037
OBS:  56288.051  i NULL   4.493e+00   5.980e+00   0.75   99.000    5.000   98.938
OBS:  56288.066  z NULL  -3.677e+00   6.735e+00  -0.55   99.000    5.000   99.050
OBS:  56292.109  g NULL   3.444e+00   7.760e+00   0.44   26.157  101.843   43.011
OBS:  56292.125  r NULL  -1.053e-02   3.867e+00  -0.00  128.000    0.000   46.231
OBS:  56296.039  i NULL   3.347e+00   3.474e+00   0.96   26.188  101.812   44.302
OBS:  56296.051  z NULL   6.557e-01   4.460e+00   0.15   27.958  100.042   43.171
OBS:  56305.043  g NULL   1.135e+01   2.908e+00   3.90   24.862    0.321   25.254
OBS:  56305.051  r NULL   2.303e+00   2.174e+00   1.06   26.594    3.132   27.349
OBS:  56305.055  i NULL   3.220e+00   3.050e+00   1.06   26.230    3.200   25.679
OBS:  56305.070  z NULL   2.179e+00   3.663e+00   0.59   26.654  101.346   27.850
OBS:  56317.035  g NULL   6.121e+01   1.488e+01   4.11   23.033    0.302   23.213
OBS:  56317.043  r NULL   6.237e+01   6.316e+00   9.88   23.013    0.116   23.055
OBS:  56317.051  i NULL   6.758e+01   7.040e+00   9.60   22.925    0.119   22.954
OBS:  56318.035  z NULL   7.045e+01   1.352e+01   5.21   22.880    0.231   23.241
END: 
