SURVEY: DES   
SNID:   438148   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.90273 +- 0.02280  (Helio, z_best) 
REDSHIFT_FINAL:   0.90273 +- 0.02280  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17784 
HOST_GALAXY_PHOTO-Z:   0.9027  +- 0.0228  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.9128  
SIM_HOSTLIB_TRUEZ:  0.9100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17784  
SIM_DLMU:      43.855587  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0814   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.92  24.57  23.76  23.78  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56272.042969  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.305e-06   
SIM_SALT2x1:   -0.5014   
SIM_SALT2c:    -0.0652   
SIM_SALT2mB:   24.3370   
SIM_STRETCH:    0.499  
SIM_MAGDIM:    0.964  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.54   days 
SIM_TRESTMAX:    41.29   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56272.027  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 109 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56200.234  i NULL  -1.876e+01   1.199e+01  -1.56   99.000    5.000   99.032
OBS:  56208.160  g NULL   1.664e+00   2.972e+00   0.56   99.000    5.000   99.084
OBS:  56208.176  r NULL   1.028e+00   2.428e+00   0.42   99.000    5.000   99.031
OBS:  56208.191  z NULL  -2.556e+00   4.938e+00  -0.52   99.000    5.000   99.053
OBS:  56210.156  i NULL   3.600e+00   7.025e+00   0.51   99.000    5.000   99.032
OBS:  56216.164  g NULL  -1.745e+00   2.686e+00  -0.65   99.000    5.000   99.084
OBS:  56216.176  r NULL  -7.635e-02   2.036e+00  -0.04   99.000    5.000   99.031
OBS:  56216.191  z NULL  -2.120e+00   4.045e+00  -0.52   99.000    5.000   99.053
OBS:  56219.211  i NULL   5.826e+00   2.989e+00   1.95   99.000    5.000   99.032
OBS:  56221.148  g NULL   3.949e+01   1.593e+01   2.48   99.000    5.000   99.084
OBS:  56221.160  r NULL   2.240e+00   6.048e+00   0.37   99.000    5.000   99.031
OBS:  56221.176  z NULL  -1.121e+01   1.539e+01  -0.73   99.000    5.000   99.053
OBS:  56222.105  i NULL  -1.492e+00   9.190e+00  -0.16   99.000    5.000   99.032
OBS:  56222.312  g NULL   1.672e+00   4.100e+00   0.41   99.000    5.000   99.084
OBS:  56222.324  r NULL  -2.555e+01   1.517e+01  -1.68   99.000    5.000   99.031
OBS:  56222.340  z NULL   1.637e+01   4.086e+01   0.40   99.000    5.000   99.053
OBS:  56228.297  g NULL  -1.207e+01   1.503e+01  -0.80   99.000    5.000   99.084
OBS:  56228.305  r NULL   1.810e+00   5.492e+00   0.33   99.000    5.000   99.031
OBS:  56228.312  i NULL   1.553e+00   9.412e+00   0.17   99.000    5.000   99.032
OBS:  56228.320  z NULL  -1.700e+00   5.800e+00  -0.29   99.000    5.000   99.053
OBS:  56229.320  g NULL   4.513e-01   1.405e+01   0.03   99.000    5.000   99.084
OBS:  56229.332  r NULL   4.238e+00   7.252e+00   0.58   99.000    5.000   99.031
OBS:  56229.348  i NULL  -2.301e+00   1.295e+01  -0.18   99.000    5.000   99.032
OBS:  56230.070  z NULL   5.992e+00   7.134e+00   0.84   99.000    5.000   99.053
OBS:  56230.316  g NULL   1.018e+01   1.368e+01   0.74   99.000    5.000   99.084
