SURVEY: DES   
SNID:   439170   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   1.14201 +- 0.10520  (Helio, z_best) 
REDSHIFT_FINAL:   1.14201 +- 0.10520  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10890 
HOST_GALAXY_PHOTO-Z:   1.1420  +- 0.1052  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      27   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-015339  
SIM_LIBID:  0  
SIM_REDSHIFT:  1.0802  
SIM_HOSTLIB_TRUEZ:  1.0800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10890  
SIM_DLMU:      44.307442  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0082   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   98.99  25.39  24.74  25.26  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56339.558594  days 
SIM_SALT2x0:   1.892e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.19   days 
SIM_TRESTMAX:     5.55   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56340.531  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.035  i NULL   7.052e+00   9.886e+00   0.71   99.000    5.000   98.912
OBS:  56258.066  z NULL   1.183e+00   3.968e+00   0.30   99.000    5.000   99.016
OBS:  56258.215  g NULL  -2.320e+00   4.947e+00  -0.47   99.000    5.000   98.988
OBS:  56258.227  r NULL   1.962e-01   2.381e+00   0.08   99.000    5.000   98.957
OBS:  56261.098  g NULL   1.969e+00   8.827e+00   0.22   99.000    5.000   98.988
OBS:  56261.102  r NULL  -2.976e+00   3.394e+00  -0.88   99.000    5.000   98.957
OBS:  56261.125  i NULL  -1.714e+00   3.853e+00  -0.44   99.000    5.000   98.912
OBS:  56261.156  z NULL  -2.274e+00   3.086e+00  -0.74   99.000    5.000   99.016
OBS:  56273.160  g NULL   2.198e+00   1.753e+00   1.25   99.000    5.000   98.988
OBS:  56273.176  r NULL  -5.497e-01   1.213e+00  -0.45   99.000    5.000   98.957
OBS:  56273.188  i NULL  -5.405e-01   2.023e+00  -0.27   99.000    5.000   98.912
OBS:  56273.219  z NULL  -6.346e-01   2.251e+00  -0.28   99.000    5.000   99.016
OBS:  56281.160  g NULL   4.455e+00   2.075e+00   2.15   99.000    5.000   98.988
OBS:  56281.184  r NULL   3.725e-01   1.273e+00   0.29   28.572   99.428   60.365
OBS:  56281.203  i NULL   2.842e+00   1.799e+00   1.58   26.366    1.087   61.013
OBS:  56281.227  z NULL  -4.485e+00   2.292e+00  -1.96  128.000    0.000   61.261
OBS:  56288.086  g NULL  -4.124e+00   4.850e+00  -0.85   99.000    5.000   98.988
OBS:  56288.094  r NULL   1.937e+00   2.114e+00   0.92   26.782  101.218   53.547
OBS:  56288.109  i NULL   6.605e-01   3.059e+00   0.22   27.950  100.050   54.404
OBS:  56288.141  z NULL  -2.579e+00   2.584e+00  -1.00  128.000    0.000   55.491
OBS:  56289.227  g NULL   1.118e+01   6.494e+00   1.72   99.000    5.000   98.988
OBS:  56289.242  r NULL   8.531e-01   2.701e+00   0.32   27.673  100.327   50.568
OBS:  56289.258  i NULL   9.123e+00   5.087e+00   1.79   25.100    0.885   51.560
OBS:  56292.035  z NULL  -3.846e+00   2.062e+00  -1.86  128.000    0.000   50.511
OBS:  56292.141  g NULL   3.342e+00   3.054e+00   1.09   99.000    5.000   98.988
OBS:  56292.156  r NULL   1.373e+00   1.735e+00   0.79   27.156  100.844   48.211
OBS:  56292.172  i NULL   3.997e+00   2.654e+00   1.51   25.996    1.183   49.233
OBS:  56303.039  g NULL  -1.541e+00   1.371e+00  -1.12   99.000    5.000   98.988
OBS:  56303.051  r NULL   1.681e-01   8.995e-01   0.19   29.436   98.564   37.783
OBS:  56303.070  i NULL  -9.440e-01   1.413e+00  -0.67  128.000    0.000   38.850
OBS:  56303.094  z NULL   1.895e+00   2.209e+00   0.86   26.806  101.194   42.342
OBS:  56311.043  g NULL   3.420e+00   2.670e+00   1.28   99.000    5.000   98.988
OBS:  56311.055  r NULL   2.144e-01   1.496e+00   0.14   29.172   98.828   27.933
OBS:  56311.074  i NULL  -8.679e-01   2.388e+00  -0.36  128.000    0.000   30.219
OBS:  56311.098  z NULL   2.951e+00   2.435e+00   1.21   26.325    1.892   33.898
OBS:  56317.125  g NULL  -2.740e+00   4.217e+00  -0.65   99.000    5.000   98.988
OBS:  56317.141  r NULL   3.353e+00   1.862e+00   1.80   26.186    0.880   26.067
OBS:  56318.109  i NULL   1.960e+00   2.782e+00   0.70   26.770  101.230   25.952
OBS:  56318.141  z NULL   6.375e+00   2.978e+00   2.14   25.489    0.683   26.417
OBS:  56321.090  g NULL   1.269e+00   6.627e+00   0.19   99.000    5.000   98.988
OBS:  56321.098  r NULL   5.781e+00   2.893e+00   2.00   25.595    0.754   25.499
OBS:  56321.109  i NULL   3.696e+00   3.405e+00   1.09   26.081    2.767   25.266
OBS:  56321.141  z NULL   5.583e+00   2.959e+00   1.89   25.633    0.820   25.802
OBS:  56332.039  g NULL  -1.273e+00   1.459e+00  -0.87   99.000    5.000   98.988
OBS:  56332.051  r NULL   8.373e+00   9.936e-01   8.43   25.193    0.137   25.152
OBS:  56332.070  i NULL   1.536e+01   1.614e+00   9.52   24.534    0.120   24.653
OBS:  56332.094  z NULL   1.036e+01   2.585e+00   4.01   24.961    0.311   25.329
OBS:  56340.043  g NULL  -2.784e+00   2.749e+00  -1.01   99.000    5.000   98.988
