SURVEY: DES   
SNID:   439511   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.50775 +- 0.06010  (Helio, z_best) 
REDSHIFT_FINAL:   0.50775 +- 0.06010  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14438 
HOST_GALAXY_PHOTO-Z:   0.5077  +- 0.0601  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      29   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SDSS-017548  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5632  
SIM_HOSTLIB_TRUEZ:  0.5600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14438  
SIM_DLMU:      42.572716  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0871   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.09  24.33  24.62  24.24  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56350.203125  days 
SIM_SALT2x0:   9.352e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.66   days 
SIM_TRESTMAX:     0.52   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56349.609  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56288.199  g NULL  -1.321e+00   1.179e+01  -0.11   99.000    5.000   98.929
OBS:  56288.215  r NULL   9.565e-01   6.180e+00   0.15   99.000    5.000   98.940
OBS:  56289.109  i NULL  -2.138e+00   7.080e+00  -0.30   99.000    5.000   98.982
OBS:  56289.125  z NULL  -1.332e+00   5.422e+00  -0.25   99.000    5.000   98.985
OBS:  56292.098  g NULL  -3.520e+00   1.165e+01  -0.30   99.000    5.000   98.929
OBS:  56292.102  r NULL  -2.399e+00   4.826e+00  -0.50   99.000    5.000   98.940
OBS:  56292.191  i NULL  -1.938e+00   5.599e+00  -0.35   99.000    5.000   98.982
OBS:  56292.199  z NULL   2.424e+00   5.158e+00   0.47   99.000    5.000   98.985
OBS:  56304.051  g NULL  -8.221e-01   2.480e+00  -0.33  128.000    0.000   29.428
OBS:  56304.055  r NULL   2.597e+00   1.657e+00   1.57   26.464    1.103   30.211
OBS:  56304.070  i NULL   3.076e-02   2.506e+00   0.01   31.280   96.720   30.944
OBS:  56304.086  z NULL  -3.766e+00   3.934e+00  -0.96  128.000    0.000   30.723
OBS:  56312.055  g NULL   5.164e+00   7.569e+00   0.68   25.718  102.282   28.409
OBS:  56312.066  r NULL   2.384e+00   2.962e+00   0.80   26.557  101.443   28.613
OBS:  56312.090  i NULL  -9.754e+00   5.023e+00  -1.94  128.000    0.000   29.051
OBS:  56312.113  z NULL  -1.913e+00   5.428e+00  -0.35  128.000    0.000   28.776
OBS:  56320.043  g NULL   8.805e+00   6.171e+00   1.43   25.138    1.309   27.939
OBS:  56320.051  r NULL   7.248e+00   2.494e+00   2.91   25.349    0.457   26.925
OBS:  56320.059  i NULL   8.248e+00   3.656e+00   2.26   25.209    0.635   27.704
OBS:  56320.070  z NULL  -8.088e+00   4.396e+00  -1.84  128.000    0.000   27.492
OBS:  56328.047  g NULL  -3.255e-01   3.359e+00  -0.10  128.000    0.000   26.413
OBS:  56328.055  r NULL   7.854e+00   2.414e+00   3.25   25.262    0.398   25.520
OBS:  56328.070  i NULL   9.563e+00   4.050e+00   2.36   25.049    0.597   26.336
OBS:  56328.086  z NULL   2.379e-01   6.782e+00   0.04   29.059   98.941   26.157
OBS:  56336.062  g NULL   7.082e+00   3.717e+00   1.91   25.375    0.807   25.754
OBS:  56336.082  r NULL   1.834e+01   3.038e+00   6.04   24.342    0.196   24.650
OBS:  56337.062  i NULL   8.991e+00   2.938e+00   3.06   25.116    0.430   25.085
OBS:  56337.078  z NULL   1.007e+01   3.753e+00   2.68   24.992    0.506   24.921
OBS:  56345.039  g NULL  -2.784e+00   7.145e+00  -0.39  128.000    0.000   25.855
OBS:  56345.055  r NULL   2.725e+01   3.817e+00   7.14   23.912    0.163   24.281
OBS:  56346.055  i NULL   2.029e+01   6.003e+00   3.38   24.232    0.380   24.644
OBS:  56348.027  z NULL   1.376e+01   5.030e+00   2.74   24.654    0.495   24.273
OBS:  56350.023  g NULL   3.214e+00   6.835e+00   0.47   26.232  101.768   26.081
OBS:  56350.027  r NULL   1.276e+01   3.955e+00   3.23   24.735    0.404   24.329
OBS:  56350.035  i NULL   6.724e+00   6.688e+00   1.01   25.431    5.794   24.616
OBS:  56351.023  z NULL   3.388e+01   6.132e+00   5.53   23.675    0.216   24.233
END: 
