SURVEY: DES   
SNID:   440324   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.84571 +- 0.02890  (Helio, z_best) 
REDSHIFT_FINAL:   0.84571 +- 0.02890  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14791 
HOST_GALAXY_PHOTO-Z:   0.8457  +- 0.0289  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.8854  
SIM_HOSTLIB_TRUEZ:  0.8900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14791  
SIM_DLMU:      43.773861  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0196   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.07  25.10  24.11  24.26  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56246.609375  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.487e-06   
SIM_SALT2x1:   -1.9751   
SIM_SALT2c:     0.0061   
SIM_SALT2mB:   24.6457   
SIM_MAGDIM:    1.355  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.83   days 
SIM_TRESTMAX:    55.37   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56247.738  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 135 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -8.434e+00   4.789e+00  -1.76   99.000    5.000   99.028
OBS:  56177.188  r NULL   5.143e-01   5.334e+00   0.10   99.000    5.000   99.238
OBS:  56177.203  i NULL  -1.943e-01   5.436e+00  -0.04   99.000    5.000   99.210
OBS:  56177.234  z NULL  -4.284e+00   4.691e+00  -0.91   99.000    5.000   99.272
OBS:  56179.172  g NULL  -1.006e+00   2.238e+00  -0.45   99.000    5.000   99.028
OBS:  56179.312  r NULL  -2.182e+00   3.030e+00  -0.72   99.000    5.000   99.238
OBS:  56179.328  i NULL  -5.086e-01   4.199e+00  -0.12   99.000    5.000   99.210
OBS:  56179.359  z NULL  -4.245e+00   3.518e+00  -1.21   99.000    5.000   99.272
OBS:  56187.156  g NULL   1.719e+00   1.702e+00   1.01   99.000    5.000   99.028
OBS:  56187.172  r NULL  -6.169e-01   1.251e+00  -0.49   99.000    5.000   99.238
OBS:  56187.188  i NULL   2.059e-02   1.897e+00   0.01   99.000    5.000   99.210
OBS:  56187.211  z NULL  -1.349e+00   2.175e+00  -0.62   99.000    5.000   99.272
OBS:  56189.148  g NULL   1.380e+01   9.763e+00   1.41   99.000    5.000   99.028
OBS:  56189.160  r NULL  -8.864e+00   3.879e+00  -2.28   99.000    5.000   99.238
OBS:  56189.176  i NULL   3.481e+00   8.070e+00   0.43   99.000    5.000   99.210
OBS:  56189.203  z NULL  -3.680e+00   4.692e+00  -0.78   99.000    5.000   99.272
OBS:  56194.121  g NULL   5.944e-01   3.771e+00   0.16   99.000    5.000   99.028
OBS:  56194.129  r NULL  -9.190e-01   2.349e+00  -0.39   99.000    5.000   99.238
OBS:  56200.156  i NULL   6.460e+00   8.066e+00   0.80   99.000    5.000   99.210
OBS:  56200.180  z NULL  -2.198e+00   5.635e+00  -0.39   99.000    5.000   99.272
OBS:  56207.156  g NULL   2.679e+00   2.280e+00   1.18   99.000    5.000   99.028
OBS:  56207.172  r NULL   1.843e+00   1.603e+00   1.15   99.000    5.000   99.238
OBS:  56209.191  i NULL   6.832e-01   2.139e+00   0.32   27.914  100.086   34.526
OBS:  56209.215  z NULL   3.154e+00   2.201e+00   1.43   26.253    1.298   35.872
OBS:  56215.164  g NULL   2.337e+00   1.596e+00   1.46   99.000    5.000   99.028
