SURVEY: DES   
SNID:   446176   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.61838 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.61838 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.61838 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12963 
HOST_GALAXY_PHOTO-Z:   0.6192  +- 0.0285  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.6212  
SIM_HOSTLIB_TRUEZ:  0.6200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12963  
SIM_DLMU:      42.830585  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0258   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.59  23.06  22.98  23.03  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56348.187500  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   7.875e-06   
SIM_SALT2x1:   -0.1604   
SIM_SALT2c:    -0.0278   
SIM_SALT2mB:   23.3944   
SIM_STRETCH:    0.840  
SIM_MAGDIM:    1.047  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.01   days 
SIM_TRESTMAX:     0.50   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56348.000  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 29 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56288.191  g NULL  -2.746e+01   1.256e+01  -2.19   99.000    5.000   98.963
OBS:  56289.066  r NULL   4.290e+00   5.047e+00   0.85   99.000    5.000   99.124
OBS:  56289.078  i NULL  -9.932e+00   8.735e+00  -1.14   99.000    5.000   99.103
OBS:  56289.086  z NULL   1.319e-01   5.621e+00   0.02   99.000    5.000   99.116
OBS:  56292.090  g NULL  -1.424e+00   1.142e+01  -0.12   99.000    5.000   98.963
OBS:  56298.039  r NULL  -1.881e+00   2.411e+00  -0.78   99.000    5.000   99.124
OBS:  56298.047  i NULL   5.956e+00   3.551e+00   1.68   99.000    5.000   99.103
OBS:  56298.055  z NULL  -3.315e+00   3.959e+00  -0.84   99.000    5.000   99.116
OBS:  56304.043  g NULL   1.905e+00   2.546e+00   0.75   99.000    5.000   98.963
OBS:  56306.102  r NULL   2.851e+00   3.208e+00   0.89   99.000    5.000   99.124
OBS:  56306.113  i NULL   4.719e+00   4.304e+00   1.10   99.000    5.000   99.103
OBS:  56306.121  z NULL  -1.667e+00   5.389e+00  -0.31   99.000    5.000   99.116
OBS:  56312.047  g NULL   1.875e+01   9.608e+00   1.95   99.000    5.000   98.963
OBS:  56318.066  r NULL  -3.446e+00   4.571e+00  -0.75  128.000    0.000   28.424
OBS:  56318.078  i NULL  -3.193e-01   7.970e+00  -0.04  128.000    0.000   28.283
OBS:  56318.086  z NULL   6.515e+00   6.368e+00   1.02   25.465    4.104   28.294
OBS:  56320.035  g NULL  -1.633e+00   1.145e+01  -0.14  128.000    0.000   28.559
OBS:  56327.039  r NULL   9.700e+00   2.811e+00   3.45   25.033    0.372   24.947
OBS:  56327.047  i NULL   7.654e+00   4.180e+00   1.83   25.290    0.858   24.845
OBS:  56327.055  z NULL   1.517e+01   4.760e+00   3.19   24.547    0.408   24.883
OBS:  56328.039  g NULL  -7.060e-01   3.711e+00  -0.19  128.000    0.000   25.993
OBS:  56336.043  r NULL   4.249e+01   3.213e+00  13.23   23.429    0.085   23.422
OBS:  56336.055  i NULL   4.381e+01   5.092e+00   8.60   23.396    0.134   23.419
OBS:  56337.043  z NULL   3.287e+01   4.094e+00   8.03   23.708    0.145   23.456
OBS:  56338.043  g NULL   1.372e+01   3.605e+00   3.81   24.656    0.331   24.456
OBS:  56347.996  r NULL   5.715e+01   2.761e+00  20.70   23.108    0.054   23.063
OBS:  56348.004  i NULL   5.541e+01   5.007e+00  11.07   23.141    0.104   22.980
OBS:  56348.008  z NULL   6.115e+01   6.669e+00   9.17   23.034    0.125   23.031
OBS:  56348.996  g NULL   1.739e+01   5.543e+00   3.14   24.399    0.416   24.637
END: 
