SURVEY: DES   
SNID:   449505   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.56179 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.56179 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.56179 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15258 
HOST_GALAXY_PHOTO-Z:   0.5205  +- 0.0268  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.5574  
SIM_HOSTLIB_TRUEZ:  0.5600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15258  
SIM_DLMU:      42.545544  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0104   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.80  22.28  22.45  22.53  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56262.367188  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.240e-05   
SIM_SALT2x1:   -1.0558   
SIM_SALT2c:    -0.1235   
SIM_SALT2mB:   22.9016   
SIM_MAGDIM:    0.839  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -34.77   days 
SIM_TRESTMAX:    35.74   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56262.352  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 68 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56208.215  g NULL  -6.550e-01   2.656e+00  -0.25   99.000    5.000   98.981
OBS:  56208.223  r NULL  -2.390e-01   1.765e+00  -0.14   99.000    5.000   98.915
OBS:  56208.238  i NULL   1.624e+00   2.955e+00   0.55   99.000    5.000   98.928
OBS:  56209.160  z NULL   4.709e+00   3.243e+00   1.45   99.000    5.000   98.953
OBS:  56216.215  g NULL  -4.942e-01   2.466e+00  -0.20   99.000    5.000   98.981
OBS:  56216.223  r NULL   1.438e+00   1.881e+00   0.76   99.000    5.000   98.915
OBS:  56216.230  i NULL   3.347e+00   3.015e+00   1.11   99.000    5.000   98.928
OBS:  56218.152  z NULL  -3.516e-01   2.671e+00  -0.13   99.000    5.000   98.953
OBS:  56221.004  g NULL   2.364e+00   5.225e+00   0.45   99.000    5.000   98.981
OBS:  56221.016  r NULL   5.223e+00   3.578e+00   1.46   99.000    5.000   98.915
OBS:  56221.027  i NULL   2.028e+00   5.470e+00   0.37   99.000    5.000   98.928
OBS:  56221.035  z NULL  -1.142e+00   5.403e+00  -0.21   99.000    5.000   98.953
OBS:  56222.016  g NULL   5.283e+00   6.242e+00   0.85   99.000    5.000   98.981
OBS:  56222.027  r NULL   8.586e+00   3.622e+00   2.37   99.000    5.000   98.915
OBS:  56222.035  i NULL   1.545e+00   4.921e+00   0.31   99.000    5.000   98.928
OBS:  56228.012  z NULL  -5.576e+00   5.546e+00  -1.01   99.000    5.000   98.953
OBS:  56229.012  g NULL  -1.424e+01   9.821e+00  -1.45   99.000    5.000   98.981
OBS:  56229.016  r NULL   1.011e+00   4.316e+00   0.23   99.000    5.000   98.915
OBS:  56229.023  i NULL  -1.548e+01   7.812e+00  -1.98   99.000    5.000   98.928
OBS:  56230.012  z NULL   3.025e+00   4.914e+00   0.62   99.000    5.000   98.953
OBS:  56231.012  g NULL   1.024e+00   6.914e+00   0.15   99.000    5.000   98.981
OBS:  56231.020  r NULL   3.945e+00   2.784e+00   1.42   99.000    5.000   98.915
OBS:  56231.027  i NULL   3.892e+00   4.071e+00   0.96   99.000    5.000   98.928
OBS:  56235.020  z NULL  -4.899e+00   5.690e+00  -0.86  128.000    0.000   27.237
OBS:  56236.027  g NULL  -8.528e+00   5.175e+00  -1.65  128.000    0.000   28.840
