SURVEY: DES   
SNID:   452445   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.75928 +- 0.01880  (Helio, z_best) 
REDSHIFT_FINAL:   0.75928 +- 0.01880  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18311 
HOST_GALAXY_PHOTO-Z:   0.7593  +- 0.0188  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      32   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-018109  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7615  
SIM_HOSTLIB_TRUEZ:  0.7600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18311  
SIM_DLMU:      43.370911  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0084   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.03  24.99  25.01  25.02  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56361.953125  days 
SIM_SALT2x0:   4.484e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.69   days 
SIM_TRESTMAX:    -6.16   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56361.969  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 40 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56292.035  z NULL   3.275e+00   2.062e+00   1.59   99.000    5.000   98.992
OBS:  56292.141  g NULL  -5.616e-01   3.053e+00  -0.18   99.000    5.000   99.015
OBS:  56292.156  r NULL  -1.484e+00   1.735e+00  -0.86   99.000    5.000   98.971
OBS:  56292.172  i NULL  -4.087e+00   2.654e+00  -1.54   99.000    5.000   99.029
OBS:  56303.039  g NULL   5.999e-02   1.371e+00   0.04   99.000    5.000   99.015
OBS:  56303.051  r NULL   3.818e-01   8.995e-01   0.42   99.000    5.000   98.971
OBS:  56303.070  i NULL  -1.060e+00   1.413e+00  -0.75   99.000    5.000   99.029
OBS:  56303.094  z NULL  -1.138e+00   2.209e+00  -0.52   99.000    5.000   98.992
OBS:  56311.043  g NULL   6.779e-01   2.670e+00   0.25   27.922  100.078   42.864
OBS:  56311.055  r NULL   1.276e+00   1.496e+00   0.85   27.235  100.765   42.030
OBS:  56311.074  i NULL  -7.391e-01   2.388e+00  -0.31  128.000    0.000   42.769
OBS:  56311.098  z NULL  -1.095e+00   2.434e+00  -0.45  128.000    0.000   43.375
OBS:  56317.125  g NULL  -4.559e+00   4.217e+00  -1.08  128.000    0.000   38.001
OBS:  56317.141  r NULL   1.205e+00   1.860e+00   0.65   27.298  100.702   38.104
OBS:  56318.109  i NULL   5.656e-01   2.780e+00   0.20   28.119   99.881   36.860
OBS:  56318.141  z NULL   2.581e+00   2.975e+00   0.87   26.471  101.529   36.457
OBS:  56321.090  g NULL  -3.371e+00   6.627e+00  -0.51  128.000    0.000   33.993
OBS:  56321.098  r NULL  -8.215e-01   2.887e+00  -0.28  128.000    0.000   34.373
OBS:  56321.109  i NULL   5.970e-01   3.401e+00   0.18   28.060   99.940   34.312
OBS:  56321.141  z NULL  -5.471e+00   2.959e+00  -1.85  128.000    0.000   33.572
OBS:  56332.039  g NULL  -1.494e-01   1.460e+00  -0.10  128.000    0.000   28.267
OBS:  56332.051  r NULL   3.625e-01   9.740e-01   0.37   28.602   99.398   28.870
