SURVEY: DES   
SNID:   453353   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.64619 +- 0.03290  (Helio, z_best) 
REDSHIFT_FINAL:   0.64619 +- 0.03290  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10889 
HOST_GALAXY_PHOTO-Z:   0.6462  +- 0.0329  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6686  
SIM_HOSTLIB_TRUEZ:  0.6700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10889  
SIM_DLMU:      43.025101  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0220   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.27  23.39  23.25  23.19  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56268.835938  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.174e-06   
SIM_SALT2x1:    0.6920   
SIM_SALT2c:     0.0833   
SIM_SALT2mB:   23.8505   
SIM_STRETCH:    1.692  
SIM_MAGDIM:    1.308  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.97   days 
SIM_TRESTMAX:    49.24   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56268.484  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 115 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56207.156  g NULL  -7.911e-01   2.280e+00  -0.35   99.000    5.000   98.976
OBS:  56207.172  r NULL  -5.220e-01   1.603e+00  -0.33   99.000    5.000   98.925
OBS:  56209.191  i NULL  -1.603e+00   2.140e+00  -0.75   99.000    5.000   98.978
OBS:  56209.215  z NULL  -2.906e+00   2.201e+00  -1.32   99.000    5.000   98.989
OBS:  56215.164  g NULL   1.833e+00   1.596e+00   1.15   99.000    5.000   98.976
OBS:  56215.180  r NULL  -6.605e-02   1.096e+00  -0.06   99.000    5.000   98.925
OBS:  56217.152  i NULL  -7.618e-01   1.396e+00  -0.55   99.000    5.000   98.978
OBS:  56217.191  z NULL   1.157e+00   1.817e+00   0.64   99.000    5.000   98.989
OBS:  56221.062  g NULL  -1.531e+00   4.488e+00  -0.34   99.000    5.000   98.976
OBS:  56221.074  r NULL  -5.062e+00   3.582e+00  -1.41   99.000    5.000   98.925
OBS:  56221.195  i NULL   6.257e+00   1.345e+01   0.47   99.000    5.000   98.978
OBS:  56221.227  z NULL   3.000e+00   4.014e+00   0.75   99.000    5.000   98.989
OBS:  56222.047  g NULL  -3.721e-01   6.419e+00  -0.06   99.000    5.000   98.976
OBS:  56222.062  r NULL   2.805e+00   3.126e+00   0.90   99.000    5.000   98.925
OBS:  56222.191  i NULL  -6.785e+00   9.791e+00  -0.69   99.000    5.000   98.978
OBS:  56222.211  z NULL   4.323e+00   4.835e+00   0.89   99.000    5.000   98.989
OBS:  56228.031  g NULL  -3.291e+01   2.613e+01  -1.26   99.000    5.000   98.976
OBS:  56228.047  r NULL   3.768e+00   1.164e+01   0.32   99.000    5.000   98.925
OBS:  56228.156  i NULL  -1.845e-01   5.178e+00  -0.04   99.000    5.000   98.978
OBS:  56228.188  z NULL   1.432e+00   2.842e+00   0.50   99.000    5.000   98.989
OBS:  56229.031  g NULL  -7.091e+01   3.077e+01  -2.30   99.000    5.000   98.976
OBS:  56229.156  r NULL  -8.479e-01   3.595e+00  -0.24   99.000    5.000   98.925
OBS:  56229.172  i NULL   7.724e+00   7.054e+00   1.09   99.000    5.000   98.978
OBS:  56229.199  z NULL   4.323e-01   2.925e+00   0.15   99.000    5.000   98.989
OBS:  56230.035  g NULL  -1.522e+01   9.319e+00  -1.63   99.000    5.000   98.976
