SURVEY: DES   
SNID:   455630   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   1.03319 +- 0.07080  (Helio, z_best) 
REDSHIFT_FINAL:   1.03319 +- 0.07080  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11392 
HOST_GALAXY_PHOTO-Z:   1.0332  +- 0.0708  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  1.0437  
SIM_HOSTLIB_TRUEZ:  1.0400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11392  
SIM_DLMU:      44.215069  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0215   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   99.40  25.78  24.33  24.18  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56178.230469  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.990e-06   
SIM_SALT2x1:   -2.0089   
SIM_SALT2c:    -0.0572   
SIM_SALT2mB:   24.8880   
SIM_MAGDIM:    1.156  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -0.52   days 
SIM_TRESTMAX:    69.89   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56180.312  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 123 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   4.556e+00   4.787e+00   0.95   99.000    5.000   99.395
OBS:  56177.188  r NULL   1.077e+01   5.339e+00   2.02   24.919    0.743   25.734
OBS:  56177.203  i NULL   2.844e+01   5.464e+00   5.21   23.865    0.231   24.324
OBS:  56177.234  z NULL   1.694e+01   4.703e+00   3.60   24.428    0.354   24.181
OBS:  56179.172  g NULL   1.230e+00   2.238e+00   0.55   99.000    5.000   99.395
OBS:  56179.312  r NULL   3.548e-01   3.031e+00   0.12   28.625   99.375   25.854
OBS:  56179.328  i NULL   2.077e+01   4.221e+00   4.92   24.206    0.246   24.349
OBS:  56179.359  z NULL   2.235e+01   3.544e+00   6.31   24.127    0.187   24.186
OBS:  56187.156  g NULL   8.625e-01   1.702e+00   0.51   99.000    5.000   99.395
OBS:  56187.172  r NULL   3.556e+00   1.254e+00   2.83   26.123    0.472   26.464
OBS:  56187.188  i NULL   1.486e+01   1.922e+00   7.73   24.570    0.150   24.636
OBS:  56187.211  z NULL   1.781e+01   2.203e+00   8.08   24.373    0.143   24.335
OBS:  56189.148  g NULL   3.148e+00   9.760e+00   0.32   99.000    5.000   99.395
OBS:  56189.160  r NULL   4.305e-01   3.877e+00   0.11   28.415   99.585   26.568
OBS:  56189.176  i NULL   1.188e+01   8.076e+00   1.47   24.813    1.236   24.745
OBS:  56189.203  z NULL   1.519e+01   4.702e+00   3.23   24.546    0.402   24.398
OBS:  56194.121  g NULL  -4.303e+00   3.772e+00  -1.14   99.000    5.000   99.395
OBS:  56194.129  r NULL  -2.941e+00   2.351e+00  -1.25  128.000    0.000   26.805
OBS:  56200.156  i NULL   2.856e+00   8.066e+00   0.35   26.360  101.640   25.468
OBS:  56200.180  z NULL   8.301e+00   5.638e+00   1.47   25.202    1.235   24.880
OBS:  56207.156  g NULL  -1.951e+00   2.280e+00  -0.86   99.000    5.000   99.395
OBS:  56207.172  r NULL   9.545e-01   1.604e+00   0.60   27.551  100.449   27.749
OBS:  56209.191  i NULL   2.335e+00   2.141e+00   1.09   26.579    2.700   26.259
OBS:  56209.215  z NULL   4.702e+00   2.203e+00   2.13   25.819    0.687   25.466
OBS:  56215.164  g NULL  -2.133e+00   1.596e+00  -1.34   99.000    5.000   99.395
