SURVEY: DES   
SNID:   459746   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.43838 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.43838 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.43838 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12301 
HOST_GALAXY_PHOTO-Z:   0.3977  +- 0.0629  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.4431  
SIM_HOSTLIB_TRUEZ:  0.4400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12301  
SIM_DLMU:      41.947926  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0586   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.167  mag  (host extinction at 5510 A)
SIM_RV:         2.464   (CCM89 extinction parameter) 
SIM_PEAKMAG:   23.29  22.26  22.41  22.36  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56170.164062  days 
SIM_DELTA:     -0.244  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.244  
SIM_MAGDIM:    0.210  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     5.59   days 
SIM_TRESTMAX:    63.14   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56168.941  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 79 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   2.358e+01   1.052e+01   2.24   24.069    0.642   23.807
OBS:  56178.250  r NULL   1.003e+02   8.095e+00  12.39   22.496    0.092   22.451
OBS:  56178.266  i NULL   1.142e+02   9.573e+00  11.93   22.356    0.095   22.467
OBS:  56179.211  z NULL   1.014e+02   5.668e+00  17.89   22.485    0.063   22.444
OBS:  56180.219  g NULL   3.276e+01   3.334e+00   9.83   23.712    0.116   23.963
OBS:  56180.234  r NULL   9.442e+01   3.068e+00  30.78   22.562    0.036   22.532
OBS:  56180.250  i NULL   9.457e+01   4.700e+00  20.12   22.561    0.056   22.514
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.191  z NULL   1.169e+02   2.742e+01   4.26   22.330    0.290   22.846
OBS:  56188.340  g NULL  -8.720e+00   2.561e+01  -0.34  128.000    0.000   24.702
OBS:  56188.355  r NULL   6.581e+01   4.384e+00  15.01   22.954    0.075   22.991
OBS:  56189.195  i NULL   4.678e+01   3.099e+01   1.51   23.325    1.181   22.860
OBS:  56194.215  g NULL   2.853e+00   4.781e+00   0.60   26.362  101.638   25.331
OBS:  56194.223  r NULL   4.625e+01   5.514e+00   8.39   23.337    0.138   23.379
OBS:  56194.227  z NULL   6.545e+01   6.667e+00   9.82   22.960    0.116   23.015
OBS:  56200.234  i NULL   3.818e+01   1.201e+01   3.18   23.545    0.411   23.258
OBS:  56208.160  g NULL   5.478e+00   2.982e+00   1.84   25.653    0.853   26.373
OBS:  56208.176  r NULL   1.912e+01   2.473e+00   7.73   24.296    0.150   24.283
OBS:  56208.191  z NULL   5.420e+01   5.050e+00  10.73   23.165    0.106   23.180
OBS:  56210.156  i NULL   3.179e+01   7.061e+00   4.50   23.744    0.273   23.572
OBS:  56216.164  g NULL   3.593e+00   2.696e+00   1.33   26.111    1.506   26.326
OBS:  56216.176  r NULL   1.285e+01   2.064e+00   6.22   24.728    0.190   24.709
OBS:  56216.191  z NULL   3.959e+01   4.121e+00   9.61   23.506    0.120   23.433
OBS:  56219.211  i NULL   2.935e+01   3.055e+00   9.61   23.831    0.119   23.957
OBS:  56221.148  g NULL  -4.601e+00   1.592e+01  -0.29  128.000    0.000   26.399
OBS:  56221.160  r NULL   3.818e+00   6.057e+00   0.63   26.045  101.955   24.895
OBS:  56221.176  z NULL   2.636e+01   1.541e+01   1.71   23.948    0.954   23.633
OBS:  56222.105  i NULL   3.081e+01   9.216e+00   3.34   23.778    0.386   24.068
OBS:  56222.312  g NULL   3.256e+00   4.109e+00   0.79   26.218  101.782   26.459
OBS:  56222.324  r NULL   1.702e+01   1.518e+01   1.12   24.423    2.415   24.930
OBS:  56222.340  z NULL   1.716e+01   4.086e+01   0.42   24.414  103.586   23.680
OBS:  56228.297  g NULL  -2.250e+00   1.503e+01  -0.15  128.000    0.000   26.755
OBS:  56228.305  r NULL   3.601e+00   5.497e+00   0.65   26.109  101.891   25.060
OBS:  56228.312  i NULL   2.564e+01   9.428e+00   2.72   23.978    0.497   24.254
OBS:  56228.320  z NULL   2.707e+01   5.826e+00   4.65   23.919    0.263   23.864
OBS:  56229.320  g NULL   1.488e+00   1.406e+01   0.11   27.069  100.931   26.771
OBS:  56229.332  r NULL   1.643e+00   7.255e+00   0.23   26.961  101.039   25.079
OBS:  56229.348  i NULL   3.559e+01   1.297e+01   2.74   23.622    0.491   24.285
OBS:  56230.070  z NULL   3.058e+01   7.159e+00   4.27   23.787    0.289   23.915
OBS:  56230.316  g NULL  -8.379e+00   1.368e+01  -0.61  128.000    0.000   26.778
OBS:  56230.328  r NULL  -1.640e+00   6.676e+00  -0.25  128.000    0.000   25.098
OBS:  56230.344  i NULL   6.013e+01   1.244e+01   4.83   23.052    0.251   24.317
OBS:  56231.301  g NULL  -1.166e+01   1.166e+01  -1.00  128.000    0.000   26.779
OBS:  56231.316  r NULL   2.065e+01   6.034e+00   3.42   24.213    0.375   25.116
OBS:  56231.328  i NULL   2.250e+01   1.048e+01   2.15   24.120    0.680   24.349
OBS:  56231.344  z NULL   2.850e+01   5.818e+00   4.90   23.863    0.248   23.953
OBS:  56235.297  g NULL   1.117e+01   9.641e+00   1.16   24.879    2.155   26.677
OBS:  56235.312  r NULL   6.452e+00   4.666e+00   1.38   25.476    1.395   25.186
OBS:  56235.324  i NULL   2.126e+01   6.658e+00   3.19   24.181    0.408   24.472
OBS:  56235.340  z NULL   3.368e+01   6.781e+00   4.97   23.682    0.244   24.070
OBS:  56236.312  g NULL   1.577e+01   7.818e+00   2.02   24.505    0.742   26.653
OBS:  56236.324  r NULL   5.670e+00   3.735e+00   1.52   25.616    1.168   25.197
OBS:  56236.340  i NULL   1.045e+01   6.089e+00   1.72   24.953    0.950   24.493
OBS:  56237.074  z NULL   1.571e+01   7.020e+00   2.24   24.509    0.643   24.124
OBS:  56237.340  g NULL  -1.309e+01   1.182e+01  -1.11  128.000    0.000   26.648
