SURVEY: DES   
SNID:   460921   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.39517 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.39517 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.39517 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19094 
HOST_GALAXY_PHOTO-Z:   0.3702  +- 0.0308  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.3915  
SIM_HOSTLIB_TRUEZ:  0.3900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19094  
SIM_DLMU:      41.629307  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0085   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.409  mag  (host extinction at 5510 A)
SIM_RV:         2.751   (CCM89 extinction parameter) 
SIM_PEAKMAG:   23.02  22.22  22.12  22.35  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56184.605469  days 
SIM_DELTA:     -0.371  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.371  
SIM_MAGDIM:    0.351  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -6.05   days 
SIM_TRESTMAX:    69.44   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56184.539  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 114 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   7.707e+01   5.022e+00  15.35   22.783    0.073   22.848
OBS:  56176.199  r NULL   1.111e+02   2.996e+00  37.09   22.386    0.030   22.387
OBS:  56176.215  i NULL   1.150e+02   3.824e+00  30.07   22.349    0.037   22.343
OBS:  56176.238  z NULL   1.065e+02   3.185e+00  33.44   22.432    0.033   22.464
OBS:  56179.188  g NULL   7.653e+01   3.026e+00  25.29   22.790    0.044   22.808
OBS:  56179.195  r NULL   1.216e+02   2.866e+00  42.41   22.288    0.026   22.250
OBS:  56179.234  i NULL   1.305e+02   3.162e+00  41.28   22.211    0.027   22.220
OBS:  56179.266  z NULL   1.079e+02   4.243e+00  25.43   22.417    0.044   22.377
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   8.035e+01   3.034e+00  26.49   22.738    0.041   22.845
OBS:  56180.281  r NULL   1.276e+02   2.744e+00  46.49   22.235    0.024   22.239
OBS:  56180.297  i NULL   1.288e+02   4.417e+00  29.16   22.225    0.038   22.187
OBS:  56180.328  z NULL   1.199e+02   5.017e+00  23.89   22.303    0.046   22.363
OBS:  56188.160  g NULL   5.715e+01   5.843e+00   9.78   23.107    0.117   23.173
OBS:  56188.176  r NULL   1.244e+02   6.082e+00  20.46   22.263    0.054   22.256
OBS:  56188.211  i NULL   1.465e+02   5.311e+00  27.59   22.085    0.040   22.122
OBS:  56188.238  z NULL   1.198e+02   4.073e+00  29.41   22.304    0.037   22.349
OBS:  56189.254  g NULL   5.276e+01   2.559e+00  20.61   23.194    0.054   23.232
OBS:  56189.270  r NULL   1.235e+02   4.045e+00  30.54   22.271    0.036   22.279
OBS:  56189.281  i NULL   1.483e+02   9.490e+00  15.63   22.072    0.072   22.125
OBS:  56189.312  z NULL   1.184e+02   3.704e+00  31.96   22.317    0.034   22.349
OBS:  56194.258  g NULL   3.814e+01   2.787e+00  13.68   23.547    0.083   23.505
OBS:  56194.270  r NULL   1.036e+02   2.478e+00  41.79   22.462    0.027   22.428
OBS:  56194.285  i NULL   1.303e+02   3.373e+00  38.62   22.213    0.029   22.190
OBS:  56194.305  z NULL   1.041e+02   3.082e+00  33.78   22.456    0.033   22.445
OBS:  56202.160  g NULL   2.408e+01   4.825e+00   4.99   24.046    0.243   24.163
