SURVEY: DES   
SNID:   467229   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.52303 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.52303 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.52303 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16433 
HOST_GALAXY_PHOTO-Z:   0.4334  +- 0.0527  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.5190  
SIM_HOSTLIB_TRUEZ:  0.5200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16433  
SIM_DLMU:      42.358719  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0100   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.36  22.77  22.90  22.79  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56192.312500  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   8.331e-06   
SIM_SALT2x1:   -1.2909   
SIM_SALT2c:     0.0617   
SIM_SALT2mB:   23.3332   
SIM_MAGDIM:    1.457  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.00   days 
SIM_TRESTMAX:    68.29   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56192.676  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 89 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   7.816e+01   7.810e+01   1.00   22.768    7.575   32.544
OBS:  56172.039  r NULL   3.717e+01   1.760e+01   2.11   23.575    0.696   25.399
OBS:  56172.051  i NULL  -2.176e+01   4.995e+01  -0.44  128.000    0.000   25.456
OBS:  56176.160  z NULL   2.653e+01   3.620e+00   7.33   23.941    0.159   24.189
OBS:  56179.023  g NULL   1.916e+01   6.405e+00   2.99   24.294    0.441   24.762
OBS:  56179.031  r NULL   3.035e+01   4.389e+00   6.91   23.795    0.170   23.569
OBS:  56179.047  i NULL   3.347e+01   7.177e+00   4.66   23.688    0.262   23.684
OBS:  56179.062  z NULL   3.529e+01   8.169e+00   4.32   23.631    0.286   23.611
OBS:  56180.031  g NULL   1.888e+01   5.708e+00   3.31   24.310    0.391   24.595
OBS:  56180.047  r NULL   4.402e+01   4.590e+00   9.59   23.391    0.119   23.416
OBS:  56180.062  i NULL   5.115e+01   6.817e+00   7.50   23.228    0.155   23.539
OBS:  56180.078  z NULL   4.905e+01   1.021e+01   4.80   23.273    0.253   23.466
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.004  g NULL   2.735e+01   5.735e+00   4.77   23.908    0.255   24.210
OBS:  56188.016  r NULL   8.224e+01   4.669e+00  17.61   22.712    0.063   22.809
OBS:  56188.027  i NULL   7.063e+01   6.616e+00  10.68   22.878    0.106   22.976
OBS:  56188.035  z NULL   7.341e+01   6.624e+00  11.08   22.836    0.102   22.885
OBS:  56189.004  g NULL   2.169e+01   5.697e+00   3.81   24.159    0.331   24.224
OBS:  56189.016  r NULL   7.771e+01   4.607e+00  16.87   22.774    0.066   22.788
OBS:  56189.027  i NULL   4.159e+01   6.476e+00   6.42   23.453    0.186   22.947
OBS:  56189.035  z NULL   6.657e+01   6.535e+00  10.19   22.942    0.113   22.853
OBS:  56194.012  g NULL   2.332e+01   6.242e+00   3.74   24.081    0.338   24.504
OBS:  56194.016  r NULL   7.274e+01   3.897e+00  18.66   22.846    0.060   22.790
OBS:  56194.023  i NULL   7.083e+01   6.325e+00  11.20   22.874    0.101   22.897
OBS:  56194.031  z NULL   8.870e+01   1.519e+01   5.84   22.630    0.204   22.780
OBS:  56198.992  g NULL   3.075e+01   1.870e+01   1.64   23.780    1.016   24.957
OBS:  56199.000  r NULL   6.452e+01   9.145e+00   7.06   22.976    0.166   22.946
OBS:  56199.008  i NULL   6.490e+01   1.188e+01   5.46   22.969    0.220   22.955
OBS:  56199.016  z NULL   8.610e+01   7.868e+00  10.94   22.662    0.103   22.856
OBS:  56199.039  g NULL  -4.843e+01   3.351e+01  -1.45  128.000    0.000   24.961
OBS:  56208.215  g NULL   7.009e+00   2.677e+00   2.62   25.386    0.522   25.730
OBS:  56208.223  r NULL   3.967e+01   1.958e+00  20.26   23.504    0.055   23.562
OBS:  56208.238  i NULL   5.409e+01   3.154e+00  17.15   23.167    0.065   23.249
OBS:  56209.160  z NULL   4.826e+01   3.376e+00  14.30   23.291    0.079   23.319
OBS:  56216.215  g NULL   3.394e+00   2.474e+00   1.37   26.173    1.417   26.575
OBS:  56216.223  r NULL   1.893e+01   1.937e+00   9.77   24.307    0.117   24.287
OBS:  56216.230  i NULL   3.184e+01   3.095e+00  10.29   23.742    0.112   23.629
OBS:  56218.152  z NULL   4.018e+01   2.787e+00  14.42   23.490    0.078   23.551
OBS:  56221.004  g NULL  -6.314e+00   5.230e+00  -1.21  128.000    0.000   26.842
OBS:  56221.016  r NULL   9.334e+00   3.590e+00   2.60   25.075    0.528   24.732
OBS:  56221.027  i NULL   3.221e+01   5.514e+00   5.84   23.730    0.204   23.892
OBS:  56221.035  z NULL   3.527e+01   5.449e+00   6.47   23.631    0.182   23.608
OBS:  56222.016  g NULL   4.000e-03   6.244e+00   0.00   33.495   94.505   26.893
OBS:  56222.027  r NULL   1.195e+01   3.633e+00   3.29   24.807    0.394   24.813
OBS:  56222.035  i NULL   2.102e+01   4.949e+00   4.25   24.193    0.292   23.946
OBS:  56228.012  z NULL   3.142e+01   5.581e+00   5.63   23.757    0.212   23.814
OBS:  56229.012  g NULL  -5.353e+00   9.819e+00  -0.55  128.000    0.000   27.556
OBS:  56229.016  r NULL   1.787e+01   4.335e+00   4.12   24.370    0.301   25.237
OBS:  56229.023  i NULL   1.043e+01   7.818e+00   1.33   24.954    1.506   24.298
OBS:  56230.012  z NULL   3.019e+01   4.952e+00   6.10   23.800    0.194   23.891
OBS:  56231.012  g NULL   1.898e+00   6.916e+00   0.27   26.804  101.196   27.788
OBS:  56231.020  r NULL   5.897e+00   2.793e+00   2.11   25.573    0.697   25.349
OBS:  56231.027  i NULL   1.568e+01   4.091e+00   3.83   24.512    0.328   24.409
OBS:  56235.020  z NULL   1.636e+01   5.701e+00   2.87   24.466    0.466   24.109
OBS:  56236.027  g NULL   2.357e-01   5.172e+00   0.05   29.069   98.931   28.388
OBS:  56236.035  r NULL   1.324e+00   5.384e+00   0.25   27.195  100.805   25.613
OBS:  56236.039  i NULL   1.162e+01   7.627e+00   1.52   24.837    1.160   24.676
OBS:  56237.023  z NULL   2.313e+01   5.145e+00   4.49   24.090    0.273   24.201
OBS:  56238.023  g NULL   6.501e+00   3.615e+00   1.80   25.467    0.881   28.618
OBS:  56238.031  r NULL   2.309e+00   2.790e+00   0.83   26.592  101.408   25.698
OBS:  56238.039  i NULL   7.516e+00   4.817e+00   1.56   25.310    1.113   24.758
OBS:  56243.070  z NULL   1.188e+01   5.351e+00   2.22   24.813    0.651   24.490
OBS:  56244.047  g NULL   2.643e+00   4.183e+00   0.63   26.445  101.555   28.894
OBS:  56244.055  r NULL   6.315e+00   2.829e+00   2.23   25.499    0.645   25.880
OBS:  56244.070  i NULL   4.998e+00   4.413e+00   1.13   25.753    2.336   24.934
OBS:  56245.027  z NULL   1.216e+01   3.550e+00   3.42   24.788    0.375   24.566
OBS:  56246.082  g NULL  -2.571e+00   2.835e+00  -0.91  128.000    0.000   28.655
OBS:  56246.098  r NULL   2.603e+00   2.468e+00   1.05   26.461    3.223   25.920
OBS:  56246.109  i NULL   1.473e+01   5.446e+00   2.70   24.580    0.501   24.987
OBS:  56247.250  z NULL   2.451e+01   6.311e+00   3.88   24.026    0.322   24.636
OBS:  56254.199  g NULL  -3.459e+00   6.132e+00  -0.56  128.000    0.000   27.657
OBS:  56254.211  r NULL   2.327e+00   3.377e+00   0.69   26.583  101.417   26.012
OBS:  56254.227  i NULL   4.622e+00   6.214e+00   0.74   25.838  102.162   25.189
OBS:  56258.191  z NULL   1.089e+01   5.867e+00   1.86   24.907    0.840   24.814
OBS:  56261.066  g NULL  -5.858e+00   6.916e+00  -0.85  128.000    0.000   27.839
OBS:  56261.082  r NULL   4.467e+00   4.059e+00   1.10   25.875    2.599   26.194
OBS:  56261.090  i NULL   9.454e+00   8.217e+00   1.15   25.061    2.207   25.346
OBS:  56266.156  z NULL   6.166e+00   5.285e+00   1.17   25.525    2.115   24.979
OBS:  56276.152  g NULL   1.881e+00   4.037e+00   0.47   26.814  101.186   28.950
OBS:  56276.172  r NULL   1.598e+00   2.885e+00   0.55   26.991  101.009   26.446
OBS:  56277.164  i NULL   6.558e+00   3.547e+00   1.85   25.458    0.845   25.463
OBS:  56278.164  z NULL   2.731e+00   4.286e+00   0.64   26.409  101.591   24.994
OBS:  56288.035  g NULL  -1.658e+01   1.451e+01  -1.14  128.000    0.000   28.950
OBS:  56288.043  r NULL  -8.442e-01   5.401e+00  -0.16  128.000    0.000   26.446
OBS:  56288.051  i NULL   6.656e+00   5.982e+00   1.11   25.442    2.487   25.463
OBS:  56288.066  z NULL   1.317e+01   6.740e+00   1.95   24.701    0.778   24.994
OBS:  56292.109  g NULL   7.904e+00   7.762e+00   1.02   25.255    4.348   28.950
OBS:  56292.125  r NULL   4.263e+00   3.870e+00   1.10   25.926    2.586   26.446
OBS:  56296.039  i NULL   1.477e+00   3.478e+00   0.42   27.076  100.924   25.463
OBS:  56296.051  z NULL   8.514e+00   4.465e+00   1.91   25.175    0.807   24.994
END: 
