SURVEY: DES   
SNID:   475606   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  3 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.60949 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.60949 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.60949 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14414 
HOST_GALAXY_PHOTO-Z:   0.5705  +- 0.0277  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      1   (non1a index) 
SIM_COMMENT:  SN Type = Ibc , MODEL = NUGENT1bc  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.6137  
SIM_HOSTLIB_TRUEZ:  0.6100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14414  
SIM_DLMU:      42.798462  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0101   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.74  23.40  23.18  22.78  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56225.179688  days 
SIM_SALT2x0:   7.597e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -33.54   days 
SIM_TRESTMAX:    57.54   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56224.742  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 97 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   4.240e+01   7.809e+01   0.54   99.000    5.000   96.482
OBS:  56172.039  r NULL   4.560e+00   1.758e+01   0.26   99.000    5.000   96.502
OBS:  56172.051  i NULL   6.571e+01   4.996e+01   1.32   99.000    5.000   96.549
OBS:  56176.160  z NULL  -1.190e+00   3.581e+00  -0.33   99.000    5.000   96.507
OBS:  56179.023  g NULL  -2.450e+00   6.376e+00  -0.38   99.000    5.000   96.482
OBS:  56179.031  r NULL   4.770e+00   4.331e+00   1.10   99.000    5.000   96.502
OBS:  56179.047  i NULL   6.928e+00   7.141e+00   0.97   99.000    5.000   96.549
OBS:  56179.062  z NULL  -8.954e+00   8.140e+00  -1.10   99.000    5.000   96.507
OBS:  56180.031  g NULL   8.520e+00   5.673e+00   1.50   99.000    5.000   96.482
OBS:  56180.047  r NULL   6.765e-01   4.492e+00   0.15   99.000    5.000   96.502
OBS:  56180.062  i NULL  -5.556e+00   6.738e+00  -0.82   99.000    5.000   96.549
OBS:  56180.078  z NULL   3.989e+00   1.016e+01   0.39   99.000    5.000   96.507
OBS:  56188.004  g NULL   3.752e+00   5.677e+00   0.66   99.000    5.000   96.482
OBS:  56188.016  r NULL   1.195e-01   4.368e+00   0.03   99.000    5.000   96.502
OBS:  56188.027  i NULL   1.368e+01   6.467e+00   2.12   99.000    5.000   96.549
OBS:  56188.035  z NULL   1.096e+00   6.471e+00   0.17   99.000    5.000   96.507
OBS:  56189.004  g NULL   1.654e-01   5.646e+00   0.03   99.000    5.000   96.482
OBS:  56189.016  r NULL  -4.216e+00   4.331e+00  -0.97   99.000    5.000   96.502
OBS:  56189.027  i NULL   3.862e+00   6.406e+00   0.60   99.000    5.000   96.549
OBS:  56189.035  z NULL   2.168e+00   6.406e+00   0.34   99.000    5.000   96.507
OBS:  56194.012  g NULL   9.525e-01   6.199e+00   0.15   99.000    5.000   96.482
OBS:  56194.016  r NULL  -1.736e+00   3.584e+00  -0.48   99.000    5.000   96.502
OBS:  56194.023  i NULL   7.575e+00   6.149e+00   1.23   99.000    5.000   96.549
OBS:  56194.031  z NULL   1.501e+01   1.508e+01   1.00   99.000    5.000   96.507
OBS:  56198.992  g NULL  -2.868e+01   1.869e+01  -1.53  128.000    0.000   27.696
OBS:  56199.000  r NULL   3.565e+00   9.049e+00   0.39   26.120  101.880   26.590
OBS:  56199.008  i NULL   6.168e+00   1.181e+01   0.52   25.525  102.475   26.062
OBS:  56199.016  z NULL   1.171e+00   7.695e+00   0.15   27.329  100.671   25.743
OBS:  56199.039  g NULL   3.392e+01   3.349e+01   1.01   23.674    4.733   27.735
OBS:  56208.215  g NULL   2.615e+00   2.668e+00   0.98   26.456  101.544   26.180
OBS:  56208.223  r NULL   2.074e+01   1.834e+00  11.31   24.208    0.101   24.182
OBS:  56208.238  i NULL   3.200e+01   3.035e+00  10.54   23.737    0.108   23.778
OBS:  56209.160  z NULL   4.379e+01   3.353e+00  13.06   23.397    0.086   23.474
OBS:  56216.215  g NULL   9.053e+00   2.496e+00   3.63   25.108    0.350   25.327
OBS:  56216.223  r NULL   4.098e+01   2.076e+00  19.74   23.469    0.057   23.458
OBS:  56216.230  i NULL   5.655e+01   3.226e+00  17.53   23.119    0.063   23.218
OBS:  56218.152  z NULL   6.804e+01   2.978e+00  22.85   22.918    0.048   22.929
OBS:  56221.004  g NULL  -3.158e+00   5.238e+00  -0.60  128.000    0.000   25.449
OBS:  56221.016  r NULL   4.875e+01   3.722e+00  13.10   23.280    0.086   23.313
OBS:  56221.027  i NULL   5.652e+01   5.591e+00  10.11   23.120    0.113   23.195
OBS:  56221.035  z NULL   6.984e+01   5.570e+00  12.54   22.890    0.091   22.836
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56222.016  g NULL   1.236e+01   6.256e+00   1.98   24.770    0.765   25.497
OBS:  56222.027  r NULL   4.882e+01   3.762e+00  12.98   23.278    0.087   23.315
OBS:  56222.035  i NULL   5.161e+01   5.038e+00  10.24   23.218    0.112   23.183
OBS:  56228.012  z NULL   7.414e+01   5.728e+00  12.94   22.825    0.088   22.777
OBS:  56229.012  g NULL   3.412e+00   9.821e+00   0.35   26.168  101.832   26.221
OBS:  56229.016  r NULL   3.733e+01   4.400e+00   8.48   23.570    0.136   23.590
OBS:  56229.023  i NULL   3.667e+01   7.860e+00   4.67   23.589    0.263   23.228
OBS:  56230.012  z NULL   7.496e+01   5.124e+00  14.63   22.813    0.077   22.782
OBS:  56231.012  g NULL   6.401e-01   6.918e+00   0.09   27.984  100.016   26.568
OBS:  56231.020  r NULL   3.316e+01   2.882e+00  11.51   23.699    0.099   23.734
OBS:  56231.027  i NULL   4.795e+01   4.195e+00  11.43   23.298    0.100   23.226
OBS:  56235.020  z NULL   6.691e+01   5.837e+00  11.46   22.936    0.100   22.846
OBS:  56236.027  g NULL   1.302e+00   5.175e+00   0.25   27.213  100.787   27.156
OBS:  56236.035  r NULL   2.910e+01   5.426e+00   5.36   23.840    0.224   24.102
OBS:  56236.039  i NULL   3.988e+01   7.674e+00   5.20   23.498    0.232   23.393
OBS:  56237.023  z NULL   6.525e+01   5.277e+00  12.36   22.964    0.092   22.922
OBS:  56238.023  g NULL  -1.206e+00   3.615e+00  -0.33  128.000    0.000   27.444
OBS:  56238.031  r NULL   2.239e+01   2.834e+00   7.90   24.125    0.147   24.261
OBS:  56238.039  i NULL   3.882e+01   4.881e+00   7.95   23.527    0.146   23.520
OBS:  56243.070  z NULL   5.648e+01   5.456e+00  10.35   23.120    0.110   23.186
OBS:  56244.047  g NULL   6.092e+00   4.186e+00   1.46   25.538    1.261   27.406
OBS:  56244.055  r NULL   1.060e+01   2.840e+00   3.73   24.937    0.339   24.849
OBS:  56244.070  i NULL   3.112e+01   4.459e+00   6.98   23.768    0.168   23.829
OBS:  56245.027  z NULL   4.478e+01   3.648e+00  12.28   23.372    0.093   23.289
OBS:  56246.082  g NULL  -3.859e+00   2.838e+00  -1.36  128.000    0.000   27.474
