SURVEY: DES   
SNID:   478031   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.68234 +- 0.01620  (Helio, z_best) 
REDSHIFT_FINAL:   0.68234 +- 0.01620  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10756 
HOST_GALAXY_PHOTO-Z:   0.6823  +- 0.0162  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6887  
SIM_HOSTLIB_TRUEZ:  0.6900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10756  
SIM_DLMU:      43.103825  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0750   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.04  23.71  23.49  23.38  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56192.347656  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.878e-06   
SIM_SALT2x1:    0.2833   
SIM_SALT2c:     0.0646   
SIM_SALT2mB:   23.9144   
SIM_STRETCH:    1.283  
SIM_MAGDIM:    1.294  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -8.36   days 
SIM_TRESTMAX:    66.17   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56192.090  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 99 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   8.902e+00   1.048e+01   0.85   25.126  102.874   26.079
OBS:  56178.250  r NULL   2.261e+01   7.860e+00   2.88   24.114    0.464   24.098
OBS:  56178.266  i NULL   2.928e+01   9.333e+00   3.14   23.833    0.416   23.997
OBS:  56179.211  z NULL   3.300e+01   5.368e+00   6.15   23.704    0.192   23.853
OBS:  56180.219  g NULL   4.504e+00   3.218e+00   1.40   25.866    1.361   25.929
OBS:  56180.234  r NULL   2.765e+01   2.504e+00  11.05   23.896    0.103   23.932
OBS:  56180.250  i NULL   2.808e+01   4.356e+00   6.45   23.879    0.183   23.839
OBS:  56188.191  z NULL   3.700e+01   2.734e+01   1.35   23.580    1.459   23.432
OBS:  56188.340  g NULL   2.789e+01   2.559e+01   1.09   23.887    2.710   25.880
OBS:  56188.355  r NULL   3.363e+01   4.229e+00   7.95   23.683    0.146   23.676
OBS:  56189.195  i NULL   8.470e+01   3.101e+01   2.73   22.680    0.494   23.512
OBS:  56194.215  g NULL  -6.728e-01   4.772e+00  -0.14  128.000    0.000   26.141
OBS:  56194.223  r NULL   3.667e+01   5.476e+00   6.70   23.589    0.175   23.751
OBS:  56194.227  z NULL   4.393e+01   6.602e+00   6.65   23.393    0.177   23.373
OBS:  56200.234  i NULL   3.517e+01   1.201e+01   2.93   23.635    0.454   23.612
OBS:  56208.160  g NULL   6.792e+00   2.979e+00   2.28   25.420    0.626   27.245
OBS:  56208.176  r NULL   2.012e+01   2.473e+00   8.13   24.241    0.142   24.425
OBS:  56208.191  z NULL   4.073e+01   5.002e+00   8.14   23.475    0.142   23.596
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56210.156  i NULL   3.157e+01   7.057e+00   4.47   23.752    0.274   23.983
OBS:  56216.164  g NULL  -1.947e+00   2.688e+00  -0.72  128.000    0.000   27.839
OBS:  56216.176  r NULL   8.772e+00   2.053e+00   4.27   25.142    0.290   24.977
OBS:  56216.191  z NULL   2.968e+01   4.089e+00   7.26   23.819    0.161   23.889
OBS:  56219.211  i NULL   1.769e+01   3.017e+00   5.86   24.381    0.203   24.441
OBS:  56221.148  g NULL   9.750e-02   1.591e+01   0.01   30.027   97.973   28.365
OBS:  56221.160  r NULL  -6.296e+00   6.055e+00  -1.04  128.000    0.000   25.349
