SURVEY: DES   
SNID:   483816   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   1.00213 +- 0.02720  (Helio, z_best) 
REDSHIFT_FINAL:   1.00213 +- 0.02720  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15120 
HOST_GALAXY_PHOTO-Z:   1.0021  +- 0.0272  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9970  
SIM_HOSTLIB_TRUEZ:  1.0000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15120  
SIM_DLMU:      44.092243  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0235   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.97  24.65  24.56  24.67  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56339.312500  days 
SIM_SALT2x0:   2.307e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.11   days 
SIM_TRESTMAX:     5.85   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56339.676  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 43 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56261.215  g NULL   5.363e+00   3.959e+00   1.35   99.000    5.000   97.337
OBS:  56261.230  r NULL  -5.248e-01   1.853e+00  -0.28   99.000    5.000   97.345
OBS:  56267.156  i NULL   5.434e-01   2.211e+00   0.25   99.000    5.000   97.307
OBS:  56267.180  z NULL  -1.503e-02   3.049e+00  -0.00   99.000    5.000   97.394
OBS:  56274.160  g NULL  -2.391e+00   2.033e+00  -1.18   99.000    5.000   97.337
OBS:  56274.176  r NULL   5.754e-01   1.444e+00   0.40   99.000    5.000   97.345
OBS:  56275.223  i NULL  -5.844e-01   3.008e+00  -0.19   99.000    5.000   97.307
OBS:  56276.191  z NULL  -2.668e+00   3.402e+00  -0.78   99.000    5.000   97.394
OBS:  56282.160  g NULL  -1.182e+00   3.403e+00  -0.35   99.000    5.000   97.337
OBS:  56282.184  r NULL  -2.141e+00   2.178e+00  -0.98   99.000    5.000   97.345
OBS:  56287.160  i NULL   7.629e+00   4.987e+00   1.53   99.000    5.000   97.307
OBS:  56287.191  z NULL  -1.485e+00   3.894e+00  -0.38   99.000    5.000   97.394
OBS:  56289.035  g NULL   2.258e+01   1.190e+01   1.90   99.000    5.000   97.337
OBS:  56289.043  r NULL   1.010e+00   4.183e+00   0.24   99.000    5.000   97.345
OBS:  56289.152  i NULL   1.882e+00   4.327e+00   0.43   99.000    5.000   97.307
OBS:  56289.176  z NULL   5.517e+00   4.465e+00   1.24   99.000    5.000   97.394
OBS:  56297.039  g NULL  -2.431e+00   1.580e+00  -1.54   99.000    5.000   97.337
OBS:  56297.047  r NULL   2.139e-01   1.219e+00   0.18   99.000    5.000   97.345
OBS:  56297.062  i NULL   2.805e-01   1.862e+00   0.15   99.000    5.000   97.307
OBS:  56297.090  z NULL  -8.655e-01   2.119e+00  -0.41   99.000    5.000   97.394
OBS:  56305.094  g NULL   9.260e-01   1.645e+00   0.56   27.583  100.417   27.754
OBS:  56305.102  r NULL   4.031e-01   1.301e+00   0.31   28.486   99.514   27.982
OBS:  56305.113  i NULL  -1.143e+00   2.191e+00  -0.52  128.000    0.000   28.167
OBS:  56306.043  z NULL   7.077e-01   2.710e+00   0.26   27.875  100.125   27.948
OBS:  56313.047  g NULL   2.249e+01   5.983e+00   3.76   24.120    0.335   24.712
OBS:  56313.055  r NULL   9.967e+00   2.534e+00   3.93   25.004    0.319   24.819
OBS:  56313.090  i NULL   1.426e+01   3.092e+00   4.61   24.614    0.265   24.940
OBS:  56317.066  z NULL   9.601e+00   4.253e+00   2.26   25.044    0.636   24.815
OBS:  56321.035  g NULL   1.471e+01   2.944e+00   5.00   24.581    0.242   24.533
OBS:  56321.043  r NULL   1.591e+01   1.406e+00  11.31   24.496    0.101   24.454
OBS:  56321.066  i NULL   1.181e+01   3.229e+00   3.66   24.820    0.348   24.487
OBS:  56326.039  z NULL   1.447e+01   2.622e+00   5.52   24.599    0.217   24.631
OBS:  56333.043  g NULL   1.227e+01   1.854e+00   6.62   24.778    0.178   24.739
OBS:  56333.051  r NULL   1.340e+01   1.414e+00   9.48   24.682    0.122   24.535
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56334.043  i NULL   1.179e+01   2.192e+00   5.38   24.821    0.224   24.507
OBS:  56335.043  z NULL   1.278e+01   3.390e+00   3.77   24.734    0.335   24.659
OBS:  56344.992  g NULL   1.029e+00   4.333e+00   0.24   27.469  100.531   25.201
OBS:  56345.000  r NULL   1.362e+01   1.883e+00   7.23   24.665    0.161   24.772
OBS:  56345.016  i NULL   1.113e+01   3.459e+00   3.22   24.884    0.405   24.626
OBS:  56345.992  z NULL   1.002e+01   3.704e+00   2.70   24.998    0.502   24.717
OBS:  56349.996  g NULL   6.305e+00   3.971e+00   1.59   25.501    1.079   25.351
OBS:  56350.004  r NULL   1.145e+01   2.073e+00   5.52   24.853    0.217   24.861
OBS:  56350.996  i NULL   1.142e+01   3.031e+00   3.77   24.855    0.335   24.703
END: 
