SURVEY: DES   
SNID:   490172   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.61733 +- 0.01630  (Helio, z_best) 
REDSHIFT_FINAL:   0.61733 +- 0.01630  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15112 
HOST_GALAXY_PHOTO-Z:   0.6173  +- 0.0163  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      22   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SDSS-014475  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.5964  
SIM_HOSTLIB_TRUEZ:  0.6000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15112  
SIM_DLMU:      42.723282  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0071   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   98.99  24.90  24.28  23.83  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56287.230469  days 
SIM_SALT2x0:   8.141e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.07   days 
SIM_TRESTMAX:    40.01   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56287.805  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 117 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56228.059  g NULL  -1.322e+01   7.697e+00  -1.72   99.000    5.000   98.994
OBS:  56228.066  r NULL   3.215e+00   2.391e+00   1.34   99.000    5.000   99.042
OBS:  56228.086  i NULL   7.719e+00   5.110e+00   1.51   99.000    5.000   99.078
OBS:  56228.109  z NULL   4.701e+00   4.134e+00   1.14   99.000    5.000   99.068
OBS:  56229.047  g NULL  -8.131e+00   2.392e+01  -0.34   99.000    5.000   98.994
OBS:  56229.059  r NULL   4.614e+00   3.851e+00   1.20   99.000    5.000   99.042
OBS:  56229.074  i NULL  -1.388e+01   5.429e+00  -2.56   99.000    5.000   99.078
OBS:  56229.102  z NULL   4.648e+00   4.849e+00   0.96   99.000    5.000   99.068
OBS:  56230.059  g NULL  -1.358e+00   6.570e+00  -0.21   99.000    5.000   98.994
OBS:  56230.102  r NULL  -7.308e-01   2.916e+00  -0.25   99.000    5.000   99.042
OBS:  56230.113  i NULL   3.816e+00   5.175e+00   0.74   99.000    5.000   99.078
OBS:  56230.145  z NULL  -1.502e+00   2.664e+00  -0.56   99.000    5.000   99.068
OBS:  56231.043  g NULL  -1.991e+01   6.056e+00  -3.29   99.000    5.000   98.994
OBS:  56231.059  r NULL  -8.014e-01   2.550e+00  -0.31   99.000    5.000   99.042
OBS:  56231.070  i NULL  -3.091e+00   4.240e+00  -0.73   99.000    5.000   99.078
OBS:  56231.102  z NULL  -5.635e+00   3.279e+00  -1.72   99.000    5.000   99.068
OBS:  56235.039  g NULL   3.058e+00   5.184e+00   0.59   99.000    5.000   98.994
OBS:  56235.047  r NULL   1.350e+00   3.705e+00   0.36   99.000    5.000   99.042
OBS:  56235.062  i NULL   1.412e-01   4.191e+00   0.03   99.000    5.000   99.078
OBS:  56235.090  z NULL   7.827e+00   8.233e+00   0.95   99.000    5.000   99.068
OBS:  56236.047  g NULL  -4.296e+00   4.873e+00  -0.88   99.000    5.000   98.994
OBS:  56236.062  r NULL   2.642e+00   2.660e+00   0.99   99.000    5.000   99.042
OBS:  56236.074  i NULL  -3.490e+00   5.222e+00  -0.67   99.000    5.000   99.078
OBS:  56236.105  z NULL  -1.259e+01   5.324e+00  -2.36   99.000    5.000   99.068
OBS:  56237.039  g NULL   1.406e+00   3.164e+00   0.44   99.000    5.000   98.994
OBS:  56237.051  r NULL   1.529e+00   2.212e+00   0.69   99.000    5.000   99.042
OBS:  56237.094  i NULL  -2.147e+00   2.491e+00  -0.86   99.000    5.000   99.078
OBS:  56237.125  z NULL  -5.852e-01   3.695e+00  -0.16   99.000    5.000   99.068
OBS:  56238.074  g NULL  -7.292e-01   2.522e+00  -0.29   99.000    5.000   98.994
OBS:  56238.094  r NULL  -5.591e-01   1.588e+00  -0.35   99.000    5.000   99.042
OBS:  56238.109  i NULL   2.618e+00   2.722e+00   0.96   99.000    5.000   99.078
OBS:  56238.129  z NULL   1.606e+00   3.106e+00   0.52   99.000    5.000   99.068
OBS:  56243.098  g NULL   5.325e-01   2.167e+00   0.25   99.000    5.000   98.994
OBS:  56243.109  r NULL  -9.088e-02   1.654e+00  -0.05  128.000    0.000   56.260
OBS:  56243.125  i NULL  -2.299e+00   2.564e+00  -0.90  128.000    0.000   56.360
OBS:  56243.152  z NULL   3.549e+00   2.550e+00   1.39   26.125    1.375   55.962
OBS:  56244.082  g NULL   3.563e+00   2.191e+00   1.63   99.000    5.000   98.994
OBS:  56244.098  r NULL   2.659e-01   1.634e+00   0.16   28.938   99.062   55.934
OBS:  56244.109  i NULL   3.141e+00   2.589e+00   1.21   26.257    1.886   55.965
OBS:  56244.133  z NULL  -5.556e-01   2.982e+00  -0.19  128.000    0.000   55.578
OBS:  56245.070  g NULL   6.676e-01   1.718e+00   0.39   99.000    5.000   98.994
OBS:  56245.082  r NULL  -3.094e-01   1.352e+00  -0.23  128.000    0.000   55.670
OBS:  56245.109  i NULL  -8.738e-01   3.211e+00  -0.27  128.000    0.000   55.621
OBS:  56245.137  z NULL   1.734e+00   2.836e+00   0.61   26.902  101.098   55.239
OBS:  56246.117  g NULL   5.314e+00   6.562e+00   0.81   99.000    5.000   98.994
OBS:  56246.125  r NULL  -2.510e+00   2.810e+00  -0.89  128.000    0.000   55.442
OBS:  56246.152  i NULL   3.195e-01   1.959e+00   0.16   28.739   99.261   55.334
OBS:  56246.180  z NULL  -3.729e+00   1.934e+00  -1.93  128.000    0.000   54.957
OBS:  56247.281  g NULL  -8.369e-01   1.489e+00  -0.56   99.000    5.000   98.994
OBS:  56247.297  r NULL   8.861e-01   1.132e+00   0.78   27.631  100.369   55.226
OBS:  56247.316  i NULL  -1.050e+00   1.974e+00  -0.53  128.000    0.000   55.062
OBS:  56247.340  z NULL  -1.897e+00   2.490e+00  -0.76  128.000    0.000   54.693
OBS:  56248.324  g NULL   8.174e-02   1.701e+00   0.05   99.000    5.000   98.994
OBS:  56248.340  r NULL   1.067e+00   1.335e+00   0.80   27.430  100.570   55.065
OBS:  56258.035  i NULL   7.154e+00   9.886e+00   0.72   25.364  102.636   32.370
OBS:  56258.066  z NULL  -1.384e+00   3.968e+00  -0.35  128.000    0.000   32.310
