SURVEY: DES   
SNID:   494260   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.88507 +- 0.01220  (Helio, z_best) 
REDSHIFT_FINAL:   0.88507 +- 0.01220  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11340 
HOST_GALAXY_PHOTO-Z:   0.8851  +- 0.0122  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.8755  
SIM_HOSTLIB_TRUEZ:  0.8800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11340  
SIM_DLMU:      43.743633  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0101   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.38  24.41  23.67  23.67  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56341.828125  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.189e-06   
SIM_SALT2x1:    0.9192   
SIM_SALT2c:     0.0307   
SIM_SALT2mB:   24.3759   
SIM_STRETCH:    1.919  
SIM_MAGDIM:    1.115  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.61   days 
SIM_TRESTMAX:     4.94   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56340.523  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 55 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56273.160  g NULL   6.065e+00   1.756e+00   3.45   99.000    5.000   99.153
OBS:  56273.176  r NULL   2.379e+00   1.214e+00   1.96   99.000    5.000   99.012
OBS:  56273.188  i NULL   1.721e+00   2.024e+00   0.85   99.000    5.000   99.058
OBS:  56273.219  z NULL   4.890e-01   2.251e+00   0.22   99.000    5.000   99.013
OBS:  56281.160  g NULL   1.865e-01   2.074e+00   0.09   99.000    5.000   99.153
OBS:  56281.184  r NULL  -1.744e+00   1.273e+00  -1.37   99.000    5.000   99.012
OBS:  56281.203  i NULL  -6.818e-01   1.798e+00  -0.38   99.000    5.000   99.058
OBS:  56281.227  z NULL   2.903e-02   2.290e+00   0.01   99.000    5.000   99.013
OBS:  56288.086  g NULL   2.427e+00   4.849e+00   0.50   99.000    5.000   99.153
OBS:  56288.094  r NULL  -1.012e+00   2.113e+00  -0.48   99.000    5.000   99.012
OBS:  56288.109  i NULL  -3.571e+00   3.059e+00  -1.17   99.000    5.000   99.058
OBS:  56288.141  z NULL  -8.643e-01   2.584e+00  -0.33   99.000    5.000   99.013
OBS:  56289.227  g NULL   1.599e+00   6.491e+00   0.25   99.000    5.000   99.153
OBS:  56289.242  r NULL   4.424e+00   2.702e+00   1.64   99.000    5.000   99.012
OBS:  56289.258  i NULL  -4.853e+00   5.085e+00  -0.95   99.000    5.000   99.058
OBS:  56292.035  z NULL   3.390e+00   2.062e+00   1.64   99.000    5.000   99.013
OBS:  56292.141  g NULL   1.790e+00   3.053e+00   0.59   99.000    5.000   99.153
OBS:  56292.156  r NULL  -1.422e-01   1.735e+00  -0.08   99.000    5.000   99.012
OBS:  56292.172  i NULL  -2.966e+00   2.654e+00  -1.12   99.000    5.000   99.058
OBS:  56303.039  g NULL   1.191e+00   1.371e+00   0.87   99.000    5.000   99.153
OBS:  56303.051  r NULL  -2.781e-01   8.995e-01  -0.31   99.000    5.000   99.012
OBS:  56303.070  i NULL  -2.170e-01   1.413e+00  -0.15   99.000    5.000   99.058
OBS:  56303.094  z NULL   2.837e+00   2.209e+00   1.28   99.000    5.000   99.013
OBS:  56311.043  g NULL   3.493e+00   2.671e+00   1.31   26.142    1.569   29.145
OBS:  56311.055  r NULL   5.483e-01   1.496e+00   0.37   28.153   99.847   27.331
OBS:  56311.074  i NULL   6.916e+00   2.392e+00   2.89   25.400    0.460   26.469
OBS:  56311.098  z NULL   2.169e+00   2.435e+00   0.89   26.659  101.341   26.579
OBS:  56317.125  g NULL  -4.552e+00   4.218e+00  -1.08  128.000    0.000   27.822
OBS:  56317.141  r NULL   1.663e+00   1.862e+00   0.89   26.948  101.052   25.874
OBS:  56318.109  i NULL   9.840e+00   2.789e+00   3.53   25.017    0.362   24.929
OBS:  56318.141  z NULL   9.015e+00   2.981e+00   3.02   25.113    0.436   25.021
OBS:  56321.090  g NULL   8.176e-01   6.628e+00   0.12   27.719  100.281   27.511
OBS:  56321.098  r NULL   1.190e+01   2.901e+00   4.10   24.811    0.303   25.208
OBS:  56321.109  i NULL   2.042e+01   3.428e+00   5.96   24.225    0.199   24.543
OBS:  56321.141  z NULL   1.359e+01   2.970e+00   4.58   24.667    0.268   24.613
OBS:  56332.039  g NULL   3.083e-01   1.462e+00   0.21   28.778   99.222   27.344
OBS:  56332.051  r NULL   1.808e+01   1.046e+00  17.29   24.357    0.065   24.310
OBS:  56332.070  i NULL   2.972e+01   1.690e+00  17.59   23.817    0.064   23.751
OBS:  56332.094  z NULL   3.461e+01   2.659e+00  13.02   23.652    0.086   23.846
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56340.043  g NULL   3.197e+00   2.751e+00   1.16   26.238    2.137   27.353
OBS:  56340.055  r NULL   1.801e+01   1.689e+00  10.66   24.361    0.107   24.357
OBS:  56340.074  i NULL   3.315e+01   2.798e+00  11.85   23.699    0.096   23.655
OBS:  56340.098  z NULL   3.317e+01   3.047e+00  10.88   23.698    0.105   23.676
OBS:  56348.055  g NULL   3.358e-01   3.250e+00   0.10   28.685   99.315   27.602
OBS:  56348.070  r NULL   1.523e+01   2.123e+00   7.17   24.544    0.163   24.639
OBS:  56349.004  i NULL   3.234e+01   2.439e+00  13.26   23.726    0.085   23.799
OBS:  56349.027  z NULL   3.064e+01   2.497e+00  12.27   23.784    0.093   23.739
OBS:  56350.043  g NULL   9.514e+00   3.840e+00   2.48   25.054    0.560   27.755
OBS:  56350.055  r NULL   1.282e+01   1.835e+00   6.99   24.730    0.168   24.729
OBS:  56350.070  i NULL   3.209e+01   3.221e+00   9.96   23.734    0.115   23.831
OBS:  56350.098  z NULL   4.376e+01   4.929e+00   8.88   23.397    0.129   23.753
OBS:  56351.043  g NULL   4.495e+00   3.352e+00   1.34   25.868    1.486   27.852
OBS:  56351.055  r NULL   1.389e+01   1.785e+00   7.78   24.643    0.149   24.778
OBS:  56351.070  i NULL   3.014e+01   3.115e+00   9.68   23.802    0.118   23.862
OBS:  56351.098  z NULL   2.578e+01   4.807e+00   5.36   23.972    0.225   23.766
END: 
