SURVEY: DES   
SNID:   504681   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.44131 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.44131 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.44131 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12967 
HOST_GALAXY_PHOTO-Z:   0.4702  +- 0.0303  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.4337  
SIM_HOSTLIB_TRUEZ:  0.4300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12967  
SIM_DLMU:      41.892422  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0215   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.54  21.71  21.90  22.16  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56172.703125  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.546e-05   
SIM_SALT2x1:    0.2778   
SIM_SALT2c:    -0.1177   
SIM_SALT2mB:   22.1202   
SIM_STRETCH:    1.278  
SIM_MAGDIM:    0.711  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     3.12   days 
SIM_TRESTMAX:    65.90   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56171.605  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 96 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   8.066e+01   5.068e+00  15.92   22.733    0.070   22.800
OBS:  56177.188  r NULL   1.895e+02   6.419e+00  29.53   21.806    0.038   21.795
OBS:  56177.203  i NULL   1.714e+02   6.321e+00  27.12   21.915    0.041   21.900
OBS:  56177.234  z NULL   1.356e+02   5.334e+00  25.42   22.169    0.044   22.163
OBS:  56179.172  g NULL   6.905e+01   2.660e+00  25.96   22.902    0.042   22.938
OBS:  56179.312  r NULL   1.773e+02   4.519e+00  39.24   21.878    0.028   21.862
OBS:  56179.328  i NULL   1.656e+02   5.234e+00  31.64   21.952    0.035   21.930
OBS:  56179.359  z NULL   1.350e+02   4.331e+00  31.16   22.174    0.035   22.197
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   3.935e+01   1.919e+00  20.51   23.513    0.054   23.543
OBS:  56187.172  r NULL   1.289e+02   2.743e+00  46.99   22.225    0.023   22.247
OBS:  56187.188  i NULL   1.318e+02   3.131e+00  42.11   22.200    0.026   22.194
OBS:  56187.211  z NULL   9.933e+01   2.865e+00  34.68   22.507    0.032   22.491
OBS:  56189.148  g NULL   2.023e+01   9.799e+00   2.06   24.235    0.721   23.706
OBS:  56189.160  r NULL   1.180e+02   4.495e+00  26.24   22.321    0.042   22.376
OBS:  56189.176  i NULL   1.272e+02   8.441e+00  15.07   22.238    0.074   22.286
OBS:  56189.203  z NULL   8.790e+01   4.976e+00  17.67   22.640    0.064   22.591
OBS:  56194.121  g NULL   1.806e+01   3.809e+00   4.74   24.358    0.258   24.203
OBS:  56194.129  r NULL   8.284e+01   2.841e+00  29.16   22.704    0.038   22.719
OBS:  56200.156  i NULL   8.291e+01   8.218e+00  10.09   22.704    0.113   22.724
OBS:  56200.180  z NULL   7.064e+01   5.790e+00  12.20   22.877    0.093   22.804
OBS:  56207.156  g NULL   8.608e+00   2.293e+00   3.75   25.163    0.336   25.559
OBS:  56207.172  r NULL   3.724e+01   1.761e+00  21.14   23.573    0.052   23.624
OBS:  56209.191  i NULL   6.194e+01   2.448e+00  25.30   23.020    0.044   23.012
OBS:  56209.215  z NULL   6.478e+01   2.516e+00  25.74   22.971    0.044   22.919
OBS:  56215.164  g NULL   7.028e+00   1.612e+00   4.36   25.383    0.283   25.621
