SURVEY: DES   
SNID:   508532   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.74115 +- 0.02490  (Helio, z_best) 
REDSHIFT_FINAL:   0.74115 +- 0.02490  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19732 
HOST_GALAXY_PHOTO-Z:   0.7412  +- 0.0249  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7486  
SIM_HOSTLIB_TRUEZ:  0.7500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19732  
SIM_DLMU:      43.325283  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0250   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.18  23.24  22.99  23.12  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56280.507812  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.984e-06   
SIM_SALT2x1:    0.6447   
SIM_SALT2c:    -0.0615   
SIM_SALT2mB:   23.6925   
SIM_STRETCH:    1.645  
SIM_MAGDIM:    0.850  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.37   days 
SIM_TRESTMAX:    40.31   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56280.711  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56215.164  g NULL  -3.975e+00   1.597e+00  -2.49   99.000    5.000   98.906
OBS:  56215.180  r NULL  -9.686e-01   1.096e+00  -0.88   99.000    5.000   98.843
OBS:  56217.152  i NULL  -2.623e+00   1.397e+00  -1.88   99.000    5.000   98.970
OBS:  56217.191  z NULL   6.735e-01   1.816e+00   0.37   99.000    5.000   98.940
OBS:  56221.062  g NULL   2.755e+00   4.488e+00   0.61   99.000    5.000   98.906
OBS:  56221.074  r NULL   2.595e+00   3.581e+00   0.72   99.000    5.000   98.843
OBS:  56221.195  i NULL  -2.448e+00   1.345e+01  -0.18   99.000    5.000   98.970
OBS:  56221.227  z NULL  -3.001e+00   4.014e+00  -0.75   99.000    5.000   98.940
OBS:  56222.047  g NULL  -4.325e+00   6.419e+00  -0.67   99.000    5.000   98.906
OBS:  56222.062  r NULL  -1.460e-01   3.125e+00  -0.05   99.000    5.000   98.843
OBS:  56222.191  i NULL  -6.854e+00   9.791e+00  -0.70   99.000    5.000   98.970
OBS:  56222.211  z NULL  -9.091e+00   4.837e+00  -1.88   99.000    5.000   98.940
OBS:  56228.031  g NULL   2.983e+01   2.612e+01   1.14   99.000    5.000   98.906
OBS:  56228.047  r NULL   2.897e+00   1.164e+01   0.25   99.000    5.000   98.843
OBS:  56228.156  i NULL  -4.273e+00   5.179e+00  -0.83   99.000    5.000   98.970
OBS:  56228.188  z NULL   3.364e+00   2.843e+00   1.18   99.000    5.000   98.940
OBS:  56229.031  g NULL  -3.146e+01   3.075e+01  -1.02   99.000    5.000   98.906
OBS:  56229.156  r NULL   1.535e+00   3.595e+00   0.43   99.000    5.000   98.843
OBS:  56229.172  i NULL  -6.550e+00   7.054e+00  -0.93   99.000    5.000   98.970
OBS:  56229.199  z NULL   4.596e-01   2.925e+00   0.16   99.000    5.000   98.940
OBS:  56230.035  g NULL   2.724e+00   9.315e+00   0.29   99.000    5.000   98.906
OBS:  56230.043  r NULL   4.251e+00   3.864e+00   1.10   99.000    5.000   98.843
OBS:  56230.191  i NULL   1.141e+01   6.321e+00   1.81   99.000    5.000   98.970
OBS:  56230.215  z NULL   6.778e+00   2.924e+00   2.32   99.000    5.000   98.940
OBS:  56231.035  g NULL   8.709e+00   7.696e+00   1.13   99.000    5.000   98.906
