SURVEY: DES   
SNID:   512167   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.16747 +- 0.03080  (Helio, z_best) 
REDSHIFT_FINAL:   0.16747 +- 0.03080  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12321 
HOST_GALAXY_PHOTO-Z:   0.1675  +- 0.0308  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      42   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-018793  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.2059  
SIM_HOSTLIB_TRUEZ:  0.2100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12321  
SIM_DLMU:      40.026482  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0080   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   21.48  21.35  21.29  21.58  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56162.593750  days 
SIM_SALT2x0:   9.759e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    11.28   days 
SIM_TRESTMAX:    69.32   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56164.465  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 92 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   1.161e+02   5.305e+00  21.89   22.338    0.051   22.282
OBS:  56176.199  r NULL   2.551e+02   5.237e+00  48.71   21.483    0.022   21.486
OBS:  56176.215  i NULL   2.790e+02   6.097e+00  45.76   21.386    0.024   21.406
OBS:  56176.238  z NULL   2.065e+02   4.586e+00  45.04   21.713    0.024   21.713
OBS:  56179.188  g NULL   1.028e+02   3.310e+00  31.05   22.470    0.036   22.455
OBS:  56179.195  r NULL   2.529e+02   5.039e+00  50.19   21.493    0.021   21.521
OBS:  56179.234  i NULL   2.662e+02   5.366e+00  49.61   21.437    0.022   21.439
OBS:  56179.266  z NULL   1.941e+02   5.202e+00  37.32   21.780    0.030   21.741
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   9.392e+01   3.191e+00  29.43   22.568    0.038   22.519
OBS:  56180.281  r NULL   2.457e+02   4.793e+00  51.27   21.524    0.021   21.534
OBS:  56180.297  i NULL   2.576e+02   6.076e+00  42.39   21.473    0.026   21.451
OBS:  56180.328  z NULL   2.091e+02   5.948e+00  35.15   21.699    0.031   21.751
OBS:  56188.160  g NULL   6.271e+01   5.875e+00  10.68   23.007    0.107   22.987
OBS:  56188.176  r NULL   2.193e+02   6.982e+00  31.41   21.647    0.035   21.628
OBS:  56188.211  i NULL   2.455e+02   6.471e+00  37.93   21.525    0.029   21.543
OBS:  56188.238  z NULL   1.893e+02   4.906e+00  38.59   21.807    0.028   21.825
OBS:  56189.254  g NULL   6.511e+01   2.669e+00  24.40   22.966    0.045   23.050
OBS:  56189.270  r NULL   2.125e+02   5.198e+00  40.88   21.682    0.027   21.641
OBS:  56189.281  i NULL   2.537e+02   1.025e+01  24.74   21.489    0.044   21.555
OBS:  56189.312  z NULL   1.843e+02   4.547e+00  40.53   21.836    0.027   21.834
OBS:  56194.258  g NULL   3.743e+01   2.793e+00  13.40   23.567    0.086   23.342
OBS:  56194.270  r NULL   2.129e+02   4.280e+00  49.74   21.680    0.022   21.699
OBS:  56194.285  i NULL   2.256e+02   4.826e+00  46.75   21.617    0.024   21.614
OBS:  56194.305  z NULL   1.707e+02   3.984e+00  42.84   21.920    0.026   21.879
OBS:  56202.160  g NULL   3.518e+01   4.854e+00   7.25   23.634    0.161   23.792
OBS:  56202.176  r NULL   1.901e+02   4.265e+00  44.56   21.803    0.025   21.786
OBS:  56202.191  i NULL   2.014e+02   5.626e+00  35.80   21.740    0.031   21.710
OBS:  56202.215  z NULL   1.650e+02   4.105e+00  40.18   21.957    0.027   21.948
OBS:  56210.172  g NULL   1.905e+01   3.726e+00   5.11   24.300    0.236   24.242
OBS:  56210.188  r NULL   1.811e+02   4.688e+00  38.63   21.855    0.028   21.876
OBS:  56210.203  i NULL   1.830e+02   4.705e+00  38.90   21.844    0.029   21.807
OBS:  56210.234  z NULL   1.458e+02   4.715e+00  30.92   22.091    0.037   22.022
OBS:  56218.172  g NULL   1.303e+01   1.307e+00   9.97   24.713    0.115   24.675
OBS:  56218.191  r NULL   1.635e+02   3.229e+00  50.63   21.967    0.022   21.970
OBS:  56218.211  i NULL   1.732e+02   3.590e+00  48.26   21.903    0.023   21.901
OBS:  56219.156  z NULL   1.444e+02   3.322e+00  43.48   22.101    0.025   22.110
OBS:  56221.273  g NULL   1.190e+01   3.933e+00   3.03   24.811    0.435   24.832
OBS:  56221.281  r NULL   1.628e+02   6.412e+00  25.39   21.971    0.043   22.005
OBS:  56221.297  i NULL   1.723e+02   5.551e+00  31.04   21.909    0.035   21.938
OBS:  56221.324  z NULL   1.751e+02   1.477e+01  11.85   21.892    0.095   22.130
OBS:  56222.074  g NULL   1.264e+01   5.921e+00   2.14   24.745    0.686   24.872
OBS:  56222.090  r NULL   1.575e+02   3.970e+00  39.67   22.007    0.028   22.014
OBS:  56222.113  i NULL   1.660e+02   4.566e+00  36.36   21.950    0.030   21.947
OBS:  56222.133  z NULL   1.402e+02   5.700e+00  24.59   22.133    0.045   22.138
OBS:  56228.059  g NULL   2.061e+01   7.707e+00   2.67   24.215    0.508   25.168
OBS:  56228.066  r NULL   1.477e+02   3.675e+00  40.20   22.076    0.027   22.082
OBS:  56228.086  i NULL   1.510e+02   5.858e+00  25.78   22.052    0.043   22.022
OBS:  56228.109  z NULL   1.293e+02   4.793e+00  26.97   22.221    0.041   22.193
OBS:  56229.047  g NULL   1.475e+01   2.392e+01   0.62   24.578  103.422   25.217
OBS:  56229.059  r NULL   1.380e+02   4.658e+00  29.62   22.151    0.038   22.094
OBS:  56229.074  i NULL   1.490e+02   6.115e+00  24.37   22.067    0.046   22.034
OBS:  56229.102  z NULL   1.318e+02   5.443e+00  24.21   22.201    0.046   22.203
OBS:  56230.059  g NULL   1.148e+01   6.578e+00   1.74   24.850    0.924   25.269
OBS:  56230.102  r NULL   1.458e+02   4.012e+00  36.35   22.090    0.030   22.106
OBS:  56230.113  i NULL   1.435e+02   5.843e+00  24.56   22.108    0.046   22.048
OBS:  56230.145  z NULL   1.362e+02   3.688e+00  36.92   22.165    0.029   22.213
OBS:  56231.043  g NULL   6.509e+00   6.050e+00   1.08   25.466    2.879   25.317
OBS:  56231.059  r NULL   1.421e+02   3.704e+00  38.35   22.119    0.029   22.117
OBS:  56231.070  i NULL   1.443e+02   5.039e+00  28.63   22.102    0.039   22.059
OBS:  56231.102  z NULL   1.379e+02   4.171e+00  33.05   22.151    0.033   22.222
OBS:  56235.039  g NULL   6.891e+00   5.191e+00   1.33   25.404    1.520   25.512
OBS:  56235.047  r NULL   1.339e+02   4.509e+00  29.69   22.183    0.037   22.162
OBS:  56235.062  i NULL   1.434e+02   4.995e+00  28.71   22.108    0.039   22.106
OBS:  56235.090  z NULL   1.315e+02   8.595e+00  15.31   22.202    0.073   22.262
OBS:  56236.047  g NULL   1.364e+01   4.886e+00   2.79   24.663    0.481   25.564
OBS:  56236.062  r NULL   1.331e+02   3.672e+00  36.23   22.190    0.031   22.175
OBS:  56236.074  i NULL   1.370e+02   5.834e+00  23.48   22.158    0.048   22.117
OBS:  56236.105  z NULL   1.164e+02   5.750e+00  20.24   22.335    0.055   22.273
OBS:  56237.039  g NULL   1.357e+01   3.180e+00   4.27   24.669    0.289   25.614
OBS:  56237.051  r NULL   1.317e+02   3.333e+00  39.51   22.201    0.028   22.187
OBS:  56237.094  i NULL   1.466e+02   3.721e+00  39.40   22.085    0.027   22.128
OBS:  56237.125  z NULL   1.216e+02   4.342e+00  28.00   22.288    0.040   22.284
OBS:  56238.074  g NULL   7.671e+00   2.533e+00   3.03   25.288    0.435   25.665
OBS:  56238.094  r NULL   1.341e+02   2.993e+00  44.80   22.181    0.024   22.199
OBS:  56238.109  i NULL   1.472e+02   3.887e+00  37.88   22.080    0.028   22.138
OBS:  56238.129  z NULL   1.235e+02   3.873e+00  31.89   22.271    0.034   22.295
OBS:  56243.098  g NULL   4.930e+00   2.176e+00   2.27   25.768    0.632   25.930
OBS:  56243.109  r NULL   1.245e+02   2.880e+00  43.21   22.262    0.025   22.263
OBS:  56243.125  i NULL   1.384e+02   3.659e+00  37.81   22.147    0.029   22.191
OBS:  56243.152  z NULL   1.188e+02   3.384e+00  35.10   22.313    0.031   22.351
