SURVEY: DES   
SNID:   512407   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.45259 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.45259 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.45259 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16086 
HOST_GALAXY_PHOTO-Z:   0.3974  +- 0.0598  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.4514  
SIM_HOSTLIB_TRUEZ:  0.4500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16086  
SIM_DLMU:      41.995968  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0244   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.13  22.10  22.25  22.44  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56352.625000  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.566e-05   
SIM_SALT2x1:   -1.9519   
SIM_SALT2c:    -0.0619   
SIM_SALT2mB:   22.6477   
SIM_MAGDIM:    1.135  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.30   days 
SIM_TRESTMAX:    -1.12   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56353.105  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 27 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56297.039  g NULL  -1.671e+00   1.580e+00  -1.06   99.000    5.000   98.872
OBS:  56297.047  r NULL  -1.473e+00   1.219e+00  -1.21   99.000    5.000   98.933
OBS:  56297.062  i NULL  -5.974e-01   1.862e+00  -0.32   99.000    5.000   98.909
OBS:  56297.090  z NULL  -1.739e+00   2.119e+00  -0.82   99.000    5.000   98.973
OBS:  56305.094  g NULL  -9.934e-01   1.644e+00  -0.60   99.000    5.000   98.872
OBS:  56305.102  r NULL  -6.793e-01   1.300e+00  -0.52   99.000    5.000   98.933
OBS:  56305.113  i NULL   6.569e-01   2.190e+00   0.30   99.000    5.000   98.909
OBS:  56306.043  z NULL   2.388e+00   2.711e+00   0.88   99.000    5.000   98.973
OBS:  56313.047  g NULL   6.698e+00   5.961e+00   1.12   99.000    5.000   98.872
OBS:  56313.055  r NULL  -1.168e-01   2.524e+00  -0.05   99.000    5.000   98.933
OBS:  56313.090  i NULL  -6.463e-01   3.078e+00  -0.21   99.000    5.000   98.909
OBS:  56317.066  z NULL  -4.607e+00   4.250e+00  -1.08   99.000    5.000   98.973
OBS:  56321.035  g NULL   1.791e+00   2.913e+00   0.61   99.000    5.000   98.872
OBS:  56321.043  r NULL   1.245e-01   1.365e+00   0.09   99.000    5.000   98.933
OBS:  56321.066  i NULL  -3.992e-01   3.215e+00  -0.12   99.000    5.000   98.909
OBS:  56326.039  z NULL  -1.368e+00   2.606e+00  -0.52  128.000    0.000   28.896
OBS:  56333.043  g NULL   3.981e+00   1.817e+00   2.19   99.000    5.000   98.872
OBS:  56333.051  r NULL   4.191e+00   1.387e+00   3.02   25.944    0.436   26.114
OBS:  56334.043  i NULL   1.210e+01   2.191e+00   5.52   24.793    0.216   24.979
OBS:  56335.043  z NULL   1.230e+01   3.389e+00   3.63   24.775    0.350   24.700
OBS:  56344.992  g NULL   5.297e+01   4.476e+00  11.84   23.190    0.096   23.243
OBS:  56345.000  r NULL   1.179e+02   2.907e+00  40.54   22.321    0.027   22.357
OBS:  56345.016  i NULL   8.685e+01   3.827e+00  22.69   22.653    0.050   22.567
OBS:  56345.992  z NULL   9.292e+01   4.090e+00  22.72   22.580    0.049   22.609
OBS:  56349.996  g NULL   5.619e+01   4.147e+00  13.55   23.126    0.084   23.074
OBS:  56350.004  r NULL   1.378e+02   3.323e+00  41.46   22.152    0.027   22.117
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56350.996  i NULL   1.300e+02   3.892e+00  33.40   22.215    0.032   22.276
END: 
