SURVEY: DES   
SNID:   522768   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.17505 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.17505 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.17505 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13557 
HOST_GALAXY_PHOTO-Z:   0.1473  +- 0.0349  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.1711  
SIM_HOSTLIB_TRUEZ:  0.1700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13557  
SIM_DLMU:      39.580631  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0302   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   20.14  20.17  20.48  21.01  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56160.187500  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.599e-04   
SIM_SALT2x1:   -1.2819   
SIM_SALT2c:    -0.0722   
SIM_SALT2mB:   20.1256   
SIM_MAGDIM:    1.028  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    14.50   days 
SIM_TRESTMAX:    66.65   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56160.664  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 68 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   2.569e+02   6.886e+00  37.30   21.476    0.029   21.528
OBS:  56177.188  r NULL   4.511e+02   9.979e+00  45.20   20.864    0.025   20.838
OBS:  56177.203  i NULL   3.492e+02   8.496e+00  41.10   21.142    0.027   21.152
OBS:  56177.234  z NULL   2.571e+02   6.711e+00  38.32   21.475    0.029   21.455
OBS:  56179.172  g NULL   1.893e+02   4.312e+00  43.89   21.807    0.025   21.789
OBS:  56179.312  r NULL   4.305e+02   8.609e+00  50.01   20.915    0.022   20.937
OBS:  56179.328  i NULL   3.357e+02   7.561e+00  44.41   21.185    0.025   21.169
OBS:  56179.359  z NULL   2.854e+02   6.381e+00  44.72   21.362    0.025   21.364
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   8.918e+01   2.498e+00  35.70   22.624    0.031   22.606
OBS:  56187.172  r NULL   2.915e+02   5.606e+00  52.00   21.338    0.021   21.345
OBS:  56187.188  i NULL   3.231e+02   6.335e+00  50.99   21.227    0.021   21.253
OBS:  56187.211  z NULL   2.869e+02   5.775e+00  49.67   21.356    0.022   21.367
OBS:  56189.148  g NULL   7.535e+01   9.935e+00   7.58   22.807    0.154   22.756
OBS:  56189.160  r NULL   2.629e+02   6.307e+00  41.68   21.451    0.026   21.459
OBS:  56189.176  i NULL   2.937e+02   9.810e+00  29.94   21.330    0.037   21.325
OBS:  56189.203  z NULL   2.602e+02   6.754e+00  38.52   21.462    0.029   21.418
OBS:  56194.121  g NULL   6.402e+01   4.019e+00  15.93   22.984    0.070   23.052
OBS:  56194.129  r NULL   2.033e+02   4.498e+00  45.19   21.730    0.024   21.760
OBS:  56200.156  i NULL   1.582e+02   8.597e+00  18.40   22.002    0.061   21.992
OBS:  56200.180  z NULL   1.582e+02   6.365e+00  24.86   22.002    0.045   21.948
OBS:  56207.156  g NULL   3.358e+01   2.409e+00  13.94   23.685    0.081   23.611
OBS:  56207.172  r NULL   1.129e+02   2.675e+00  42.19   22.369    0.027   22.301
OBS:  56209.191  i NULL   1.189e+02   3.104e+00  38.31   22.312    0.028   22.340
OBS:  56209.215  z NULL   1.092e+02   3.006e+00  36.34   22.404    0.031   22.350
OBS:  56215.164  g NULL   3.151e+01   1.758e+00  17.92   23.754    0.062   23.785
OBS:  56215.180  r NULL   9.750e+01   2.154e+00  45.27   22.528    0.024   22.534
OBS:  56217.152  i NULL   8.261e+01   2.104e+00  39.26   22.707    0.028   22.714
OBS:  56217.191  z NULL   8.570e+01   2.427e+00  35.31   22.668    0.031   22.710
OBS:  56221.062  g NULL   3.667e+01   4.564e+00   8.03   23.589    0.144   23.824
OBS:  56221.074  r NULL   8.698e+01   3.954e+00  22.00   22.652    0.051   22.586
OBS:  56221.195  i NULL   7.213e+01   1.355e+01   5.32   22.855    0.226   22.740
OBS:  56221.227  z NULL   8.335e+01   4.311e+00  19.34   22.698    0.057   22.730
OBS:  56222.047  g NULL   3.534e+01   6.476e+00   5.46   23.629    0.219   23.824
OBS:  56222.062  r NULL   8.866e+01   3.558e+00  24.92   22.631    0.045   22.586
OBS:  56222.191  i NULL   7.287e+01   9.908e+00   7.35   22.844    0.159   22.740
OBS:  56222.211  z NULL   7.986e+01   5.066e+00  15.76   22.744    0.071   22.730
OBS:  56228.031  g NULL  -1.333e+01   2.613e+01  -0.51  128.000    0.000   23.824
OBS:  56228.047  r NULL   9.273e+01   1.179e+01   7.86   22.582    0.148   22.586
OBS:  56228.156  i NULL   7.907e+01   5.396e+00  14.65   22.755    0.077   22.740
OBS:  56228.188  z NULL   7.773e+01   3.198e+00  24.31   22.773    0.046   22.730
OBS:  56229.031  g NULL   4.323e+01   3.077e+01   1.41   23.410    1.350   23.824
OBS:  56229.156  r NULL   9.595e+01   4.036e+00  23.77   22.545    0.046   22.586
OBS:  56229.172  i NULL   7.677e+01   7.207e+00  10.65   22.787    0.107   22.740
OBS:  56229.199  z NULL   7.848e+01   3.277e+00  23.95   22.763    0.047   22.730
OBS:  56230.035  g NULL   2.365e+01   9.336e+00   2.53   24.065    0.545   23.824
