SURVEY: DES   
SNID:   525603   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.32495 +- 0.02980  (Helio, z_best) 
REDSHIFT_FINAL:   0.32495 +- 0.02980  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10224 
HOST_GALAXY_PHOTO-Z:   0.3250  +- 0.0298  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.3615  
SIM_HOSTLIB_TRUEZ:  0.3600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10224  
SIM_DLMU:      41.425781  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0239   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.46  21.76  21.83  22.03  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56251.093750  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.577e-05   
SIM_SALT2x1:   -1.6210   
SIM_SALT2c:    -0.0412   
SIM_SALT2mB:   22.1073   
SIM_MAGDIM:    1.165  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.41   days 
SIM_TRESTMAX:    69.70   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56251.590  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 114 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56200.156  i NULL  -2.021e+00   8.065e+00  -0.25   99.000    5.000   98.931
OBS:  56200.180  z NULL   6.036e+00   5.636e+00   1.07   99.000    5.000   98.949
OBS:  56207.156  g NULL   1.894e-01   2.279e+00   0.08   99.000    5.000   99.066
OBS:  56207.172  r NULL  -1.642e+00   1.603e+00  -1.02   99.000    5.000   98.954
OBS:  56209.191  i NULL   1.216e-01   2.139e+00   0.06   99.000    5.000   98.931
OBS:  56209.215  z NULL  -1.068e-01   2.200e+00  -0.05   99.000    5.000   98.949
OBS:  56215.164  g NULL  -2.058e+00   1.596e+00  -1.29   99.000    5.000   99.066
OBS:  56215.180  r NULL   1.756e-01   1.096e+00   0.16   99.000    5.000   98.954
OBS:  56217.152  i NULL  -1.303e+00   1.396e+00  -0.93   99.000    5.000   98.931
OBS:  56217.191  z NULL  -2.989e+00   1.817e+00  -1.64   99.000    5.000   98.949
OBS:  56221.062  g NULL   2.798e+00   4.488e+00   0.62   99.000    5.000   99.066
OBS:  56221.074  r NULL  -6.354e+00   3.583e+00  -1.77   99.000    5.000   98.954
OBS:  56221.195  i NULL   1.393e+01   1.346e+01   1.04   99.000    5.000   98.931
OBS:  56221.227  z NULL  -3.542e+00   4.014e+00  -0.88   99.000    5.000   98.949
OBS:  56222.047  g NULL   5.849e+00   6.420e+00   0.91   99.000    5.000   99.066
OBS:  56222.062  r NULL  -3.868e+00   3.126e+00  -1.24   99.000    5.000   98.954
OBS:  56222.191  i NULL  -7.641e+00   9.791e+00  -0.78   99.000    5.000   98.931
OBS:  56222.211  z NULL  -1.290e+00   4.835e+00  -0.27   99.000    5.000   98.949
OBS:  56228.031  g NULL   1.172e+01   2.612e+01   0.45   99.000    5.000   99.066
OBS:  56228.047  r NULL   1.540e+01   1.164e+01   1.32   24.531    1.530   27.084
OBS:  56228.156  i NULL  -1.717e+00   5.179e+00  -0.33  128.000    0.000   26.593
OBS:  56228.188  z NULL  -5.541e-01   2.843e+00  -0.19  128.000    0.000   26.339
OBS:  56229.031  g NULL   7.153e+01   3.077e+01   2.32   99.000    5.000   99.066
OBS:  56229.156  r NULL   3.615e+00   3.596e+00   1.01   26.105    5.655   26.559
OBS:  56229.172  i NULL   1.440e+00   7.053e+00   0.20   27.104  100.896   26.127
