SURVEY: DES   
SNID:   527290   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.82849 +- 0.02470  (Helio, z_best) 
REDSHIFT_FINAL:   0.82849 +- 0.02470  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14901 
HOST_GALAXY_PHOTO-Z:   0.8285  +- 0.0247  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7968  
SIM_HOSTLIB_TRUEZ:  0.8000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14901  
SIM_DLMU:      43.491817  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0073   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.72  25.14  24.16  24.27  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56217.214844  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.695e-06   
SIM_SALT2x1:   -2.4932   
SIM_SALT2c:     0.2065   
SIM_SALT2mB:   25.0618   
SIM_MAGDIM:    2.053  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -22.83   days 
SIM_TRESTMAX:    68.39   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56217.820  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 149 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   4.313e+00   4.765e+00   0.91   99.000    5.000   98.408
OBS:  56176.199  r NULL  -2.656e+00   2.130e+00  -1.25   99.000    5.000   98.930
OBS:  56176.215  i NULL  -4.525e+00   3.146e+00  -1.44   99.000    5.000   98.910
OBS:  56176.238  z NULL  -4.374e+00   2.484e+00  -1.76   99.000    5.000   98.918
OBS:  56179.188  g NULL   5.646e+00   2.586e+00   2.18   99.000    5.000   98.408
OBS:  56179.195  r NULL  -6.901e-01   1.709e+00  -0.40   99.000    5.000   98.930
OBS:  56179.234  i NULL  -1.160e+00   1.984e+00  -0.58   99.000    5.000   98.910
OBS:  56179.266  z NULL   2.670e+00   3.729e+00   0.72   99.000    5.000   98.918
OBS:  56180.266  g NULL  -6.762e-01   2.550e+00  -0.27   99.000    5.000   98.408
OBS:  56180.281  r NULL  -1.012e+00   1.301e+00  -0.78   99.000    5.000   98.930
OBS:  56180.297  i NULL  -5.715e-02   3.683e+00  -0.02   99.000    5.000   98.910
OBS:  56180.328  z NULL  -8.932e-01   4.486e+00  -0.20   99.000    5.000   98.918
OBS:  56188.160  g NULL  -6.013e+00   5.684e+00  -1.06   99.000    5.000   98.408
OBS:  56188.176  r NULL   3.740e+00   5.569e+00   0.67   99.000    5.000   98.930
OBS:  56188.211  i NULL   2.532e+00   4.519e+00   0.56   99.000    5.000   98.910
OBS:  56188.238  z NULL   6.951e-01   3.399e+00   0.20   99.000    5.000   98.918
OBS:  56189.254  g NULL   9.688e-01   2.284e+00   0.42   99.000    5.000   98.408
OBS:  56189.270  r NULL   1.587e+00   3.267e+00   0.49   99.000    5.000   98.930
OBS:  56189.281  i NULL   2.506e+00   9.045e+00   0.28   99.000    5.000   98.910
OBS:  56189.312  z NULL  -1.389e+00   2.964e+00  -0.47   99.000    5.000   98.918
OBS:  56194.258  g NULL  -3.682e+00   2.637e+00  -1.40   99.000    5.000   98.408
OBS:  56194.270  r NULL  -4.072e-01   1.485e+00  -0.27   99.000    5.000   98.930
OBS:  56194.285  i NULL  -4.663e-01   2.291e+00  -0.20  128.000    0.000   29.354
OBS:  56194.305  z NULL   3.628e+00   2.385e+00   1.52   26.101    1.162   27.882
OBS:  56202.160  g NULL  -5.653e+00   4.792e+00  -1.18  128.000    0.000   28.149
OBS:  56202.176  r NULL   6.283e+00   2.326e+00   2.70   25.505    0.501   26.134
OBS:  56202.191  i NULL   3.189e+00   4.164e+00   0.77   26.241  101.759   25.106
OBS:  56202.215  z NULL   1.298e+01   2.722e+00   4.77   24.717    0.255   25.160
OBS:  56210.172  g NULL   3.279e+00   3.691e+00   0.89   26.211  101.789   27.598
OBS:  56210.188  r NULL   6.629e+00   3.219e+00   2.06   25.446    0.722   25.211
OBS:  56210.203  i NULL   1.197e+01   3.220e+00   3.72   24.805    0.342   24.310
OBS:  56210.234  z NULL   1.355e+01   3.855e+00   3.52   24.670    0.364   24.444
OBS:  56218.172  g NULL  -1.543e+00   1.252e+00  -1.23  128.000    0.000   27.788
OBS:  56218.191  r NULL   7.109e+00   9.725e-01   7.31   25.370    0.160   25.176
OBS:  56218.211  i NULL   2.401e+01   1.575e+00  15.25   24.049    0.073   24.165
OBS:  56219.156  z NULL   1.695e+01   1.961e+00   8.64   24.427    0.134   24.269
OBS:  56221.273  g NULL  -3.455e+00   3.911e+00  -0.88  128.000    0.000   28.058
OBS:  56221.281  r NULL   2.202e+00   5.584e+00   0.39   26.643  101.357   25.347
OBS:  56221.297  i NULL   2.157e+01   4.506e+00   4.79   24.165    0.254   24.217
OBS:  56221.324  z NULL   1.718e+01   1.440e+01   1.19   24.412    1.978   24.282
OBS:  56222.074  g NULL   1.617e+00   5.909e+00   0.27   26.978  101.022   28.132
OBS:  56222.090  r NULL   5.871e+00   2.630e+00   2.23   25.578    0.646   25.395
OBS:  56222.113  i NULL   1.993e+01   3.348e+00   5.95   24.251    0.200   24.240
OBS:  56222.133  z NULL   2.028e+01   5.071e+00   4.00   24.232    0.312   24.289
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56228.059  g NULL   3.334e+00   7.693e+00   0.43   26.193  101.807   28.616
OBS:  56228.066  r NULL   4.244e+00   2.393e+00   1.77   25.931    0.901   25.727
OBS:  56228.086  i NULL   1.380e+01   5.117e+00   2.70   24.651    0.503   24.513
OBS:  56228.109  z NULL   2.172e+01   4.155e+00   5.23   24.158    0.230   24.375
OBS:  56229.047  g NULL   3.281e+00   2.392e+01   0.14   26.210  101.790   28.680
OBS:  56229.059  r NULL   9.911e+00   3.855e+00   2.57   25.010    0.534   25.785
OBS:  56229.074  i NULL   9.032e+00   5.429e+00   1.66   25.111    0.999   24.570
OBS:  56229.102  z NULL   2.268e+01   4.868e+00   4.66   24.111    0.262   24.397
OBS:  56230.059  g NULL  -9.542e+00   6.573e+00  -1.45  128.000    0.000   28.746
OBS:  56230.102  r NULL   5.754e+00   2.919e+00   1.97   25.600    0.768   25.850
OBS:  56230.113  i NULL   9.791e+00   5.180e+00   1.89   25.023    0.818   24.634
OBS:  56230.145  z NULL   1.949e+01   2.691e+00   7.24   24.275    0.161   24.422
OBS:  56231.043  g NULL   6.395e+00   6.046e+00   1.06   25.485    3.154   28.805
OBS:  56231.059  r NULL   4.827e+00   2.553e+00   1.89   25.791    0.817   25.914
OBS:  56231.070  i NULL   1.593e+01   4.253e+00   3.75   24.495    0.337   24.693
OBS:  56231.102  z NULL   1.565e+01   3.292e+00   4.75   24.514    0.257   24.448
OBS:  56235.039  g NULL   9.916e+00   5.187e+00   1.91   25.009    0.803   29.002
OBS:  56235.047  r NULL   3.574e+00   3.707e+00   0.96   26.117  101.883   26.247
OBS:  56235.062  i NULL   1.364e+01   4.201e+00   3.25   24.663    0.399   24.966
OBS:  56235.090  z NULL   1.564e+01   8.238e+00   1.90   24.514    0.812   24.585
OBS:  56236.047  g NULL  -2.910e+00   4.872e+00  -0.60  128.000    0.000   29.042
OBS:  56236.062  r NULL   4.253e+00   2.662e+00   1.60   25.928    1.067   26.346
OBS:  56236.074  i NULL   7.877e+00   5.226e+00   1.51   25.259    1.183   25.041
OBS:  56236.105  z NULL   1.843e+01   5.331e+00   3.46   24.336    0.370   24.626
OBS:  56237.039  g NULL  -5.595e+00   3.166e+00  -1.77  128.000    0.000   29.082
OBS:  56237.051  r NULL   3.109e+00   2.213e+00   1.40   26.269    1.351   26.450
OBS:  56237.094  i NULL   5.857e+00   2.496e+00   2.35   25.581    0.604   25.122
OBS:  56237.125  z NULL   1.827e+01   3.712e+00   4.92   24.345    0.246   24.668
OBS:  56238.074  g NULL   1.555e+00   2.522e+00   0.62   27.021  100.979   29.123
OBS:  56238.094  r NULL   5.155e-01   1.589e+00   0.32   28.219   99.781   26.557
OBS:  56238.109  i NULL   6.288e+00   2.727e+00   2.31   25.504    0.618   25.202
OBS:  56238.129  z NULL   1.230e+01   3.115e+00   3.95   24.775    0.317   24.710
OBS:  56243.098  g NULL  -1.313e-01   2.168e+00  -0.06  128.000    0.000   29.324
OBS:  56243.109  r NULL  -1.950e-01   1.654e+00  -0.12  128.000    0.000   27.115
OBS:  56243.125  i NULL   1.020e+01   2.572e+00   3.96   24.979    0.315   25.654
OBS:  56243.152  z NULL   1.224e+01   2.561e+00   4.78   24.780    0.255   24.935
OBS:  56244.082  g NULL  -2.200e+00   2.191e+00  -1.00  128.000    0.000   29.363
OBS:  56244.098  r NULL   2.563e+00   1.635e+00   1.57   26.478    1.103   27.231
OBS:  56244.109  i NULL   7.808e-01   2.590e+00   0.30   27.769  100.231   25.754
OBS:  56244.133  z NULL   8.679e+00   2.987e+00   2.91   25.154    0.458   24.983
OBS:  56245.070  g NULL   4.943e+00   1.721e+00   2.87   25.765    0.464   29.396
OBS:  56245.082  r NULL   2.262e+00   1.353e+00   1.67   26.614    0.990   27.341
OBS:  56245.109  i NULL   5.392e+00   3.214e+00   1.68   25.671    0.984   25.851
OBS:  56245.137  z NULL   1.271e+01   2.847e+00   4.46   24.740    0.275   25.036
OBS:  56246.117  g NULL  -7.117e+00   6.563e+00  -1.08  128.000    0.000   29.432
OBS:  56246.125  r NULL  -3.049e-01   2.810e+00  -0.11  128.000    0.000   27.465
OBS:  56246.152  i NULL   5.545e+00   1.963e+00   2.82   25.640    0.474   25.957
OBS:  56246.180  z NULL   1.050e+01   1.944e+00   5.40   24.947    0.222   25.094
OBS:  56247.281  g NULL   2.494e+00   1.490e+00   1.67   26.508    0.987   29.464
OBS:  56247.297  r NULL   5.100e-01   1.133e+00   0.45   28.231   99.769   27.592
OBS:  56247.316  i NULL   2.014e+00   1.976e+00   1.02   26.740    4.315   26.066
OBS:  56247.340  z NULL   7.364e+00   2.494e+00   2.95   25.332    0.449   25.163
OBS:  56248.324  g NULL   2.616e-01   1.702e+00   0.15   28.956   99.044   29.489
OBS:  56248.340  r NULL   2.295e+00   1.336e+00   1.72   26.598    0.947   27.697
OBS:  56258.035  i NULL  -1.615e+00   9.885e+00  -0.16  128.000    0.000   26.750
OBS:  56258.066  z NULL   8.715e+00   3.971e+00   2.19   25.149    0.660   25.743
OBS:  56258.215  g NULL   2.148e+00   4.947e+00   0.43   26.670  101.330   30.037
OBS:  56258.227  r NULL   2.467e-01   2.381e+00   0.10   29.020   98.980   28.333
OBS:  56261.098  g NULL  -3.909e+00   8.828e+00  -0.44  128.000    0.000   32.411
OBS:  56261.102  r NULL  -5.129e+00   3.395e+00  -1.51  128.000    0.000   28.548
OBS:  56261.125  i NULL  -1.324e+00   3.854e+00  -0.34  128.000    0.000   26.904
OBS:  56261.156  z NULL   8.501e+00   3.090e+00   2.75   25.176    0.490   25.879
OBS:  56273.160  g NULL  -9.064e-01   1.752e+00  -0.52   99.000    5.000   98.408
OBS:  56273.176  r NULL  -4.282e-01   1.213e+00  -0.35  128.000    0.000   28.827
OBS:  56273.188  i NULL   1.613e+00   2.024e+00   0.80   26.981  101.019   27.305
OBS:  56273.219  z NULL   3.961e+00   2.252e+00   1.76   26.006    0.913   26.464
OBS:  56281.160  g NULL  -9.852e-01   2.074e+00  -0.48  128.000    0.000   31.572
OBS:  56281.184  r NULL   4.705e-01   1.273e+00   0.37   28.319   99.681   28.331
OBS:  56281.203  i NULL  -1.511e+00   1.799e+00  -0.84  128.000    0.000   27.308
