SURVEY: DES   
SNID:   530012   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.48951 +- 0.02970  (Helio, z_best) 
REDSHIFT_FINAL:   0.48951 +- 0.02970  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14855 
HOST_GALAXY_PHOTO-Z:   0.4895  +- 0.0297  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.4998  
SIM_HOSTLIB_TRUEZ:  0.5000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14855  
SIM_DLMU:      42.260185  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0296   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.083  mag  (host extinction at 5510 A)
SIM_RV:         2.037   (CCM89 extinction parameter) 
SIM_PEAKMAG:   23.66  22.43  22.65  22.62  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56339.660156  days 
SIM_DELTA:     -0.035  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.035  
SIM_MAGDIM:    0.270  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.31   days 
SIM_TRESTMAX:     6.22   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56339.938  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 33 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56282.203  g NULL  -5.147e+00   6.353e+00  -0.81   99.000    5.000   99.000
OBS:  56283.156  r NULL   9.199e-01   3.129e+00   0.29   99.000    5.000   99.000
OBS:  56283.168  i NULL   1.836e+00   5.038e+00   0.36   99.000    5.000   99.000
OBS:  56283.184  z NULL  -4.160e+00   4.104e+00  -1.01   99.000    5.000   99.000
OBS:  56288.191  g NULL   1.441e+01   1.255e+01   1.15   99.000    5.000   99.000
OBS:  56289.066  r NULL   3.475e+00   5.047e+00   0.69   99.000    5.000   99.000
OBS:  56289.078  i NULL  -2.381e+00   8.734e+00  -0.27   99.000    5.000   99.000
OBS:  56289.086  z NULL  -4.564e+00   5.622e+00  -0.81   99.000    5.000   99.000
OBS:  56292.090  g NULL   2.147e+00   1.142e+01   0.19   99.000    5.000   99.000
OBS:  56298.039  r NULL   6.490e-01   2.411e+00   0.27   99.000    5.000   99.000
OBS:  56298.047  i NULL   4.468e+00   3.550e+00   1.26   99.000    5.000   99.000
OBS:  56298.055  z NULL   1.298e+00   3.958e+00   0.33   99.000    5.000   99.000
OBS:  56304.043  g NULL   4.584e+00   2.547e+00   1.80   99.000    5.000   99.000
OBS:  56306.102  r NULL   4.006e+00   3.208e+00   1.25   99.000    5.000   99.000
OBS:  56306.113  i NULL   1.035e+00   4.303e+00   0.24   99.000    5.000   99.000
OBS:  56306.121  z NULL   6.278e+00   5.390e+00   1.16   99.000    5.000   99.000
OBS:  56312.047  g NULL  -2.139e+00   9.602e+00  -0.22  128.000    0.000   29.635
OBS:  56318.066  r NULL   1.389e+01   4.582e+00   3.03   24.643    0.435   24.710
OBS:  56318.078  i NULL   2.087e+01   7.982e+00   2.62   24.201    0.523   24.937
OBS:  56318.086  z NULL   4.640e+00   6.369e+00   0.73   25.834  102.166   24.970
OBS:  56320.035  g NULL   5.339e+00   1.145e+01   0.47   25.681  102.319   25.867
OBS:  56327.039  r NULL   6.096e+01   3.067e+00  19.87   23.037    0.056   23.089
OBS:  56327.047  i NULL   5.506e+01   4.321e+00  12.74   23.148    0.088   23.309
OBS:  56327.055  z NULL   4.456e+01   4.832e+00   9.22   23.378    0.125   23.292
OBS:  56328.039  g NULL   2.011e+01   3.790e+00   5.31   24.242    0.227   23.999
OBS:  56336.043  r NULL   1.052e+02   3.720e+00  28.27   22.445    0.039   22.458
OBS:  56336.055  i NULL   8.627e+01   5.293e+00  16.30   22.660    0.068   22.714
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56337.043  z NULL   8.969e+01   4.387e+00  20.44   22.618    0.054   22.677
OBS:  56338.043  g NULL   3.935e+01   3.723e+00  10.57   23.513    0.108   23.573
OBS:  56347.996  r NULL   8.874e+01   3.060e+00  29.00   22.630    0.038   22.684
OBS:  56348.004  i NULL   7.990e+01   5.128e+00  15.58   22.744    0.072   22.740
OBS:  56348.008  z NULL   8.006e+01   6.741e+00  11.88   22.741    0.096   22.719
OBS:  56348.996  g NULL   1.158e+01   5.542e+00   2.09   24.841    0.708   24.497
END: 
