SURVEY: DES   
SNID:   530219   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.74360 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.74360 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.74360 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11463 
HOST_GALAXY_PHOTO-Z:   0.7104  +- 0.0341  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.7400  
SIM_HOSTLIB_TRUEZ:  0.7400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11463  
SIM_DLMU:      43.294544  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0302   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.55  23.21  22.96  23.10  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56274.750000  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   6.878e-06   
SIM_SALT2x1:   -0.1429   
SIM_SALT2c:    -0.1262   
SIM_SALT2mB:   23.5413   
SIM_STRETCH:    0.857  
SIM_MAGDIM:    0.730  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.83   days 
SIM_TRESTMAX:    42.67   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56273.543  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 104 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56207.188  g NULL  -2.626e+00   4.365e+00  -0.60   99.000    5.000   99.438
OBS:  56207.195  r NULL  -7.630e+00   3.462e+00  -2.20   99.000    5.000   99.015
OBS:  56207.203  i NULL  -2.701e+00   6.247e+00  -0.43   99.000    5.000   99.064
OBS:  56207.219  z NULL  -3.502e+00   5.952e+00  -0.59   99.000    5.000   99.018
OBS:  56215.195  g NULL   9.788e-02   2.681e+00   0.04   99.000    5.000   99.438
OBS:  56215.203  r NULL   1.100e+00   2.171e+00   0.51   99.000    5.000   99.015
OBS:  56215.211  i NULL  -2.814e+00   2.633e+00  -1.07   99.000    5.000   99.064
OBS:  56215.227  z NULL  -1.102e+00   3.426e+00  -0.32   99.000    5.000   99.018
OBS:  56221.090  g NULL  -6.280e+00   6.269e+00  -1.00   99.000    5.000   99.438
OBS:  56221.105  r NULL  -3.223e+00   5.078e+00  -0.63   99.000    5.000   99.015
OBS:  56221.113  i NULL   2.544e+00   5.576e+00   0.46   99.000    5.000   99.064
OBS:  56221.117  z NULL   1.352e+01   7.709e+00   1.75   99.000    5.000   99.018
OBS:  56222.270  g NULL   1.001e+01   7.731e+00   1.29   99.000    5.000   99.438
OBS:  56222.273  r NULL  -4.502e-01   5.695e+00  -0.08   99.000    5.000   99.015
OBS:  56222.281  i NULL  -3.538e+00   1.698e+01  -0.21   99.000    5.000   99.064
OBS:  56222.289  z NULL   8.911e-01   8.065e+00   0.11   99.000    5.000   99.018
OBS:  56228.234  g NULL   2.730e+01   1.235e+01   2.21   99.000    5.000   99.438
OBS:  56228.242  r NULL  -8.112e-01   5.568e+00  -0.15   99.000    5.000   99.015
OBS:  56228.258  i NULL   6.978e+00   1.202e+01   0.58   99.000    5.000   99.064
OBS:  56228.270  z NULL   5.862e-02   6.648e+00   0.01   99.000    5.000   99.018
OBS:  56229.258  g NULL   1.313e+01   1.721e+01   0.76   99.000    5.000   99.438
OBS:  56229.270  r NULL   1.693e+00   8.063e+00   0.21   99.000    5.000   99.015
OBS:  56229.285  i NULL   8.630e+00   1.506e+01   0.57   99.000    5.000   99.064
OBS:  56229.297  z NULL  -3.625e-01   8.899e+00  -0.04   99.000    5.000   99.018
OBS:  56230.273  g NULL  -1.358e+00   1.383e+01  -0.10   99.000    5.000   99.438
