SURVEY: DES   
SNID:   530323   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.41290 +- 0.03680  (Helio, z_best) 
REDSHIFT_FINAL:   0.41290 +- 0.03680  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14538 
HOST_GALAXY_PHOTO-Z:   0.4129  +- 0.0368  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.4521  
SIM_HOSTLIB_TRUEZ:  0.4500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14538  
SIM_DLMU:      41.999748  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0095   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.88  21.89  22.10  22.20  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56349.984375  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.863e-05   
SIM_SALT2x1:    0.0309   
SIM_SALT2c:    -0.0538   
SIM_SALT2mB:   22.4593   
SIM_STRETCH:    1.031  
SIM_MAGDIM:    0.943  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.91   days 
SIM_TRESTMAX:     0.77   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56349.527  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 40 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56292.035  z NULL  -3.806e+00   2.062e+00  -1.85   99.000    5.000   98.942
OBS:  56292.141  g NULL   2.553e+00   3.054e+00   0.84   99.000    5.000   99.027
OBS:  56292.156  r NULL   3.230e+00   1.736e+00   1.86   99.000    5.000   98.963
OBS:  56292.172  i NULL   2.416e-01   2.653e+00   0.09   99.000    5.000   98.992
OBS:  56303.039  g NULL  -8.070e-01   1.371e+00  -0.59   99.000    5.000   99.027
OBS:  56303.051  r NULL   5.629e-01   8.995e-01   0.63   99.000    5.000   98.963
OBS:  56303.070  i NULL  -2.405e+00   1.413e+00  -1.70   99.000    5.000   98.992
OBS:  56303.094  z NULL  -1.374e+00   2.209e+00  -0.62   99.000    5.000   98.942
OBS:  56311.043  g NULL   3.421e+00   2.670e+00   1.28   99.000    5.000   99.027
OBS:  56311.055  r NULL   7.362e-01   1.496e+00   0.49   99.000    5.000   98.963
OBS:  56311.074  i NULL   7.428e-01   2.388e+00   0.31   99.000    5.000   98.992
OBS:  56311.098  z NULL  -4.762e+00   2.436e+00  -1.96   99.000    5.000   98.942
OBS:  56317.125  g NULL  -8.218e+00   4.219e+00  -1.95   99.000    5.000   99.027
OBS:  56317.141  r NULL  -5.420e-01   1.860e+00  -0.29   99.000    5.000   98.963
OBS:  56318.109  i NULL  -1.883e+00   2.781e+00  -0.68   99.000    5.000   98.992
OBS:  56318.141  z NULL  -2.974e+00   2.976e+00  -1.00   99.000    5.000   98.942
OBS:  56321.090  g NULL   4.107e+00   6.627e+00   0.62   25.966  102.034   31.804
OBS:  56321.098  r NULL  -1.423e+00   2.887e+00  -0.49  128.000    0.000   30.418
OBS:  56321.109  i NULL  -1.469e+00   3.401e+00  -0.43  128.000    0.000   30.487
OBS:  56321.141  z NULL  -1.730e+00   2.957e+00  -0.58  128.000    0.000   30.346
OBS:  56332.039  g NULL   1.709e+01   1.532e+00  11.15   24.418    0.102   24.498
OBS:  56332.051  r NULL   4.144e+01   1.271e+00  32.61   23.457    0.034   23.431
OBS:  56332.070  i NULL   3.798e+01   1.748e+00  21.73   23.551    0.051   23.607
OBS:  56332.094  z NULL   3.144e+01   2.647e+00  11.88   23.756    0.096   23.638
OBS:  56340.043  g NULL   6.438e+01   3.071e+00  20.96   22.978    0.053   22.935
OBS:  56340.055  r NULL   1.308e+02   2.974e+00  43.98   22.209    0.025   22.221
OBS:  56340.074  i NULL   9.440e+01   3.261e+00  28.95   22.563    0.039   22.469
OBS:  56340.098  z NULL   1.006e+02   3.528e+00  28.52   22.493    0.039   22.511
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56348.055  g NULL   7.797e+01   3.638e+00  21.43   22.770    0.052   22.812
OBS:  56348.070  r NULL   1.701e+02   3.832e+00  44.40   21.923    0.025   21.892
OBS:  56349.004  i NULL   1.388e+02   3.527e+00  39.35   22.144    0.028   22.115
OBS:  56349.027  z NULL   1.345e+02   3.499e+00  38.45   22.178    0.028   22.213
OBS:  56350.043  g NULL   7.606e+01   4.147e+00  18.34   22.797    0.060   22.880
OBS:  56350.055  r NULL   1.744e+02   3.756e+00  46.42   21.896    0.024   21.890
OBS:  56350.070  i NULL   1.534e+02   4.280e+00  35.84   22.035    0.030   22.103
OBS:  56350.098  z NULL   1.236e+02   5.384e+00  22.96   22.270    0.049   22.202
OBS:  56351.043  g NULL   6.372e+01   3.619e+00  17.61   22.989    0.064   22.931
OBS:  56351.055  r NULL   1.744e+02   3.731e+00  46.75   21.896    0.023   21.901
OBS:  56351.070  i NULL   1.446e+02   4.097e+00  35.30   22.099    0.031   22.097
OBS:  56351.098  z NULL   1.330e+02   5.391e+00  24.67   22.190    0.045   22.198
END: 
