SURVEY: DES   
SNID:   531574   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.37403 +- 0.06070  (Helio, z_best) 
REDSHIFT_FINAL:   0.37403 +- 0.06070  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17131 
HOST_GALAXY_PHOTO-Z:   0.3740  +- 0.0607  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.3444  
SIM_HOSTLIB_TRUEZ:  0.3400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17131  
SIM_DLMU:      41.303360  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0130   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.286  mag  (host extinction at 5510 A)
SIM_RV:         2.313   (CCM89 extinction parameter) 
SIM_PEAKMAG:   22.15  21.58  21.51  21.95  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56170.320312  days 
SIM_DELTA:     -0.475  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.475  
SIM_MAGDIM:    0.138  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     4.37   days 
SIM_TRESTMAX:    67.56   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56172.367  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 106 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   1.110e+02   5.263e+00  21.09   22.387    0.053   22.354
OBS:  56176.199  r NULL   2.233e+02   4.702e+00  47.49   21.628    0.023   21.651
OBS:  56176.215  i NULL   2.403e+02   5.494e+00  43.73   21.548    0.026   21.512
OBS:  56176.238  z NULL   1.680e+02   4.002e+00  41.97   21.937    0.026   21.941
OBS:  56179.188  g NULL   1.060e+02   3.343e+00  31.72   22.436    0.034   22.485
OBS:  56179.195  r NULL   2.072e+02   4.250e+00  48.75   21.709    0.022   21.720
OBS:  56179.234  i NULL   2.408e+02   4.929e+00  48.84   21.546    0.022   21.550
OBS:  56179.266  z NULL   1.568e+02   4.744e+00  33.06   22.012    0.033   22.001
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   9.638e+01   3.214e+00  29.99   22.540    0.037   22.543
OBS:  56180.281  r NULL   1.956e+02   3.905e+00  50.09   21.772    0.022   21.752
OBS:  56180.297  i NULL   2.327e+02   5.714e+00  40.72   21.583    0.027   21.576
OBS:  56180.328  z NULL   1.585e+02   5.377e+00  29.47   22.000    0.037   22.045
OBS:  56188.160  g NULL   5.415e+01   5.834e+00   9.28   23.166    0.124   23.172
OBS:  56188.176  r NULL   1.518e+02   6.302e+00  24.09   22.047    0.046   22.065
OBS:  56188.211  i NULL   1.701e+02   5.556e+00  30.62   21.923    0.036   21.922
OBS:  56188.238  z NULL   1.039e+02   3.918e+00  26.52   22.458    0.041   22.516
OBS:  56189.254  g NULL   5.081e+01   2.542e+00  19.99   23.235    0.055   23.283
OBS:  56189.270  r NULL   1.377e+02   4.208e+00  32.72   22.153    0.034   22.110
OBS:  56189.281  i NULL   1.585e+02   9.552e+00  16.59   22.000    0.068   21.982
OBS:  56189.312  z NULL   9.109e+01   3.425e+00  26.60   22.601    0.042   22.569
OBS:  56194.258  g NULL   3.127e+01   2.746e+00  11.39   23.762    0.100   23.738
OBS:  56194.270  r NULL   1.102e+02   2.577e+00  42.76   22.395    0.026   22.388
OBS:  56194.285  i NULL   1.387e+02   3.487e+00  39.77   22.145    0.027   22.174
OBS:  56194.305  z NULL   8.931e+01   2.915e+00  30.64   22.623    0.035   22.674
OBS:  56202.160  g NULL   1.274e+01   4.806e+00   2.65   24.737    0.515   24.508
