SURVEY: DES   
SNID:   531612   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.60092 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.60092 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.60092 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16006 
HOST_GALAXY_PHOTO-Z:   0.6318  +- 0.0422  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.6110  
SIM_HOSTLIB_TRUEZ:  0.6100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16006  
SIM_DLMU:      42.787060  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0256   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.56  23.02  23.11  23.24  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56261.066406  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   6.288e-06   
SIM_SALT2x1:   -3.2754   
SIM_SALT2c:    -0.0449   
SIM_SALT2mB:   23.6387   
SIM_MAGDIM:    1.335  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -33.44   days 
SIM_TRESTMAX:    54.58   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56260.582  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 104 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56207.188  g NULL  -1.301e+00   4.365e+00  -0.30   99.000    5.000   98.676
OBS:  56207.195  r NULL  -5.636e-01   3.459e+00  -0.16   99.000    5.000   98.906
OBS:  56207.203  i NULL  -1.012e+01   6.249e+00  -1.62   99.000    5.000   98.951
OBS:  56207.219  z NULL  -3.601e+00   5.952e+00  -0.61   99.000    5.000   98.991
OBS:  56215.195  g NULL  -5.065e+00   2.682e+00  -1.89   99.000    5.000   98.676
OBS:  56215.203  r NULL  -3.854e+00   2.172e+00  -1.77   99.000    5.000   98.906
OBS:  56215.211  i NULL  -2.953e+00   2.633e+00  -1.12   99.000    5.000   98.951
OBS:  56215.227  z NULL  -3.276e+00   3.426e+00  -0.96   99.000    5.000   98.991
OBS:  56221.090  g NULL   7.266e+00   6.269e+00   1.16   99.000    5.000   98.676
OBS:  56221.105  r NULL   3.572e-01   5.078e+00   0.07   99.000    5.000   98.906
OBS:  56221.113  i NULL  -7.759e+00   5.578e+00  -1.39   99.000    5.000   98.951
OBS:  56221.117  z NULL   1.160e+01   7.708e+00   1.51   99.000    5.000   98.991
OBS:  56222.270  g NULL   2.686e+00   7.729e+00   0.35   99.000    5.000   98.676
OBS:  56222.273  r NULL   2.440e+00   5.695e+00   0.43   99.000    5.000   98.906
OBS:  56222.281  i NULL   9.728e+00   1.698e+01   0.57   99.000    5.000   98.951
OBS:  56222.289  z NULL  -1.463e+01   8.070e+00  -1.81   99.000    5.000   98.991
OBS:  56228.234  g NULL  -1.665e+01   1.235e+01  -1.35   99.000    5.000   98.676
OBS:  56228.242  r NULL   8.910e+00   5.571e+00   1.60   99.000    5.000   98.906
OBS:  56228.258  i NULL  -8.169e+00   1.202e+01  -0.68   99.000    5.000   98.951
OBS:  56228.270  z NULL   1.074e+01   6.651e+00   1.62   99.000    5.000   98.991
OBS:  56229.258  g NULL  -4.275e+00   1.721e+01  -0.25   99.000    5.000   98.676
OBS:  56229.270  r NULL  -2.813e+00   8.063e+00  -0.35   99.000    5.000   98.906
OBS:  56229.285  i NULL  -6.122e+00   1.506e+01  -0.41   99.000    5.000   98.951
OBS:  56229.297  z NULL  -3.759e+00   8.899e+00  -0.42   99.000    5.000   98.991
OBS:  56230.273  g NULL   1.995e+01   1.383e+01   1.44   99.000    5.000   98.676
OBS:  56230.277  r NULL   2.459e+00   6.405e+00   0.38   99.000    5.000   98.906
OBS:  56230.285  i NULL  -8.097e+00   1.120e+01  -0.72   99.000    5.000   98.951
OBS:  56230.293  z NULL   6.148e+00   6.158e+00   1.00   99.000    5.000   98.991
OBS:  56231.242  g NULL   2.286e+00   9.776e+00   0.23   99.000    5.000   98.676
OBS:  56231.258  r NULL   3.127e+00   4.944e+00   0.63   99.000    5.000   98.906
OBS:  56231.273  i NULL   6.476e+00   9.657e+00   0.67   99.000    5.000   98.951
OBS:  56231.277  z NULL   2.788e+00   5.304e+00   0.53   99.000    5.000   98.991
OBS:  56235.242  g NULL  -7.449e+00   6.867e+00  -1.08   99.000    5.000   98.676
OBS:  56235.258  r NULL   1.348e+00   3.909e+00   0.34   99.000    5.000   98.906
OBS:  56235.270  i NULL   1.192e+01   7.250e+00   1.64   99.000    5.000   98.951
OBS:  56235.277  z NULL  -1.814e+00   6.980e+00  -0.26   99.000    5.000   98.991
OBS:  56236.258  g NULL   1.750e+00   6.534e+00   0.27   99.000    5.000   98.676
OBS:  56236.270  r NULL  -5.215e+00   4.254e+00  -1.23   99.000    5.000   98.906
OBS:  56236.277  i NULL   7.642e+00   5.996e+00   1.27   99.000    5.000   98.951
OBS:  56236.285  z NULL  -1.160e+01   7.807e+00  -1.49   99.000    5.000   98.991
OBS:  56237.289  g NULL  -5.236e+01   2.676e+01  -1.96   99.000    5.000   98.676
