SURVEY: DES   
SNID:   537463   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.70753 +- 0.02970  (Helio, z_best) 
REDSHIFT_FINAL:   0.70753 +- 0.02970  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15154 
HOST_GALAXY_PHOTO-Z:   0.7075  +- 0.0297  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      3   (non1a index) 
SIM_COMMENT:  SN Type = IIP , MODEL = NUGENT2P  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7074  
SIM_HOSTLIB_TRUEZ:  0.7100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15154  
SIM_DLMU:      43.174965  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0135   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.42  25.07  24.28  24.15  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56179.910156  days 
SIM_SALT2x0:   5.370e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -2.18   days 
SIM_TRESTMAX:    65.75   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56180.117  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL  -3.150e+00   4.765e+00  -0.66  128.000    0.000   27.079
OBS:  56176.199  r NULL   1.027e+01   2.142e+00   4.80   24.971    0.254   24.918
OBS:  56176.215  i NULL   2.162e+01   3.176e+00   6.81   24.163    0.172   24.191
OBS:  56176.238  z NULL   2.224e+01   2.519e+00   8.83   24.132    0.131   24.107
OBS:  56179.188  g NULL   3.281e+00   2.586e+00   1.27   26.210    1.684   27.343
OBS:  56179.195  r NULL   9.564e+00   1.722e+00   5.55   25.048    0.216   25.041
OBS:  56179.234  i NULL   1.725e+01   2.016e+00   8.56   24.408    0.135   24.266
OBS:  56179.266  z NULL   2.113e+01   3.752e+00   5.63   24.188    0.212   24.142
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   3.110e+00   2.552e+00   1.22   26.268    1.865   27.468
OBS:  56180.281  r NULL   8.250e+00   1.315e+00   6.27   25.209    0.189   25.084
OBS:  56180.297  i NULL   1.220e+01   3.694e+00   3.30   24.784    0.393   24.286
OBS:  56180.328  z NULL   2.459e+01   4.511e+00   5.45   24.023    0.220   24.150
OBS:  56188.160  g NULL  -1.332e+00   5.684e+00  -0.23  128.000    0.000   28.905
OBS:  56188.176  r NULL   1.336e+01   5.577e+00   2.40   24.686    0.586   25.393
OBS:  56188.211  i NULL   1.834e+01   4.536e+00   4.04   24.342    0.308   24.427
OBS:  56188.238  z NULL   2.223e+01   3.426e+00   6.49   24.133    0.182   24.210
OBS:  56189.254  g NULL   7.112e-01   2.284e+00   0.31   27.870  100.130   29.183
OBS:  56189.270  r NULL   1.246e+01   3.279e+00   3.80   24.761    0.331   25.437
OBS:  56189.281  i NULL   2.238e+01   9.059e+00   2.47   24.126    0.563   24.451
OBS:  56189.312  z NULL   2.059e+01   2.991e+00   6.88   24.216    0.170   24.224
OBS:  56194.258  g NULL  -1.221e+00   2.636e+00  -0.46  128.000    0.000   30.938
OBS:  56194.270  r NULL   3.631e+00   1.491e+00   2.44   26.100    0.575   25.634
