SURVEY: DES   
SNID:   540364   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.46565 +- 0.04050  (Helio, z_best) 
REDSHIFT_FINAL:   0.46565 +- 0.04050  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13250 
HOST_GALAXY_PHOTO-Z:   0.4656  +- 0.0405  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5235  
SIM_HOSTLIB_TRUEZ:  0.5200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13250  
SIM_DLMU:      42.381252  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0773   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.90  22.72  22.76  22.69  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56317.910156  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.081e-05   
SIM_SALT2x1:    0.2135   
SIM_SALT2c:     0.0181   
SIM_SALT2mB:   23.0507   
SIM_STRETCH:    1.214  
SIM_MAGDIM:    1.152  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.22   days 
SIM_TRESTMAX:    21.73   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56317.949  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 52 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.152  g NULL  -1.945e+01   1.264e+01  -1.54   99.000    5.000   98.916
OBS:  56258.168  z NULL   1.624e+00   5.982e+00   0.27   99.000    5.000   99.006
OBS:  56258.273  r NULL  -4.755e-01   7.777e+00  -0.06   99.000    5.000   99.020
OBS:  56258.281  i NULL   9.201e+00   1.262e+01   0.73   99.000    5.000   99.009
OBS:  56261.266  g NULL   1.207e+00   1.009e+01   0.12   99.000    5.000   98.916
OBS:  56261.273  r NULL   1.010e+01   4.188e+00   2.41   99.000    5.000   99.020
OBS:  56261.281  i NULL  -1.032e+01   7.031e+00  -1.47   99.000    5.000   99.009
OBS:  56261.289  z NULL  -4.992e+00   4.892e+00  -1.02   99.000    5.000   99.006
OBS:  56275.152  g NULL   6.585e+00   3.312e+00   1.99   99.000    5.000   98.916
OBS:  56275.172  r NULL  -2.105e+00   2.240e+00  -0.94   99.000    5.000   99.020
OBS:  56275.191  i NULL   1.028e+00   4.492e+00   0.23   99.000    5.000   99.009
OBS:  56275.203  z NULL   3.117e+00   5.325e+00   0.59   99.000    5.000   99.006
OBS:  56283.203  g NULL  -6.941e+00   6.286e+00  -1.10   99.000    5.000   98.916
OBS:  56283.211  r NULL   8.754e-01   3.325e+00   0.26   99.000    5.000   99.020
OBS:  56283.215  i NULL   4.872e+00   5.817e+00   0.84   99.000    5.000   99.009
OBS:  56283.223  z NULL  -8.109e+00   5.045e+00  -1.61   99.000    5.000   99.006
OBS:  56288.199  g NULL   1.226e+00   1.179e+01   0.10   27.279  100.721   30.571
OBS:  56288.215  r NULL  -9.443e+00   6.183e+00  -1.53  128.000    0.000   29.393
OBS:  56289.109  i NULL  -4.560e+00   7.080e+00  -0.64  128.000    0.000   28.473
OBS:  56289.125  z NULL  -1.949e+00   5.422e+00  -0.36  128.000    0.000   28.368
OBS:  56292.098  g NULL   5.707e+00   1.165e+01   0.49   25.609  102.391   27.347
OBS:  56292.102  r NULL   1.025e+01   4.834e+00   2.12   24.973    0.692   26.190
OBS:  56292.191  i NULL   1.113e+01   5.605e+00   1.99   24.884    0.759   26.234
OBS:  56292.199  z NULL   1.263e+00   5.158e+00   0.24   27.246  100.754   26.152
OBS:  56304.051  g NULL   1.791e+01   2.582e+00   6.94   24.367    0.169   24.255
