SURVEY: DES   
SNID:   541292   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.80951 +- 0.02290  (Helio, z_best) 
REDSHIFT_FINAL:   0.80951 +- 0.02290  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16827 
HOST_GALAXY_PHOTO-Z:   0.8095  +- 0.0229  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.8107  
SIM_HOSTLIB_TRUEZ:  0.8100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16827  
SIM_DLMU:      43.538078  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0229   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.145  mag  (host extinction at 5510 A)
SIM_RV:         2.763   (CCM89 extinction parameter) 
SIM_PEAKMAG:   26.25  24.09  23.31  23.63  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56181.550781  days 
SIM_DELTA:     -0.468  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.468  
SIM_MAGDIM:    0.003  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -2.42   days 
SIM_TRESTMAX:    68.75   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56184.473  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   1.950e+00   4.790e+00   0.41   26.775  101.225   25.886
OBS:  56177.188  r NULL   2.680e+01   5.362e+00   5.00   23.930    0.242   23.961
OBS:  56177.203  i NULL   4.917e+01   5.518e+00   8.91   23.271    0.129   23.303
OBS:  56177.234  z NULL   3.610e+01   4.741e+00   7.61   23.606    0.153   23.637
OBS:  56179.172  g NULL   6.261e+00   2.246e+00   2.79   25.508    0.482   26.097
OBS:  56179.312  r NULL   2.174e+01   3.065e+00   7.09   24.157    0.165   24.028
OBS:  56179.328  i NULL   4.966e+01   4.309e+00  11.52   23.260    0.098   23.302
OBS:  56179.359  z NULL   3.774e+01   3.590e+00  10.51   23.558    0.108   23.629
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   1.090e+00   1.708e+00   0.64   27.407  100.593   26.378
OBS:  56187.172  r NULL   2.063e+01   1.321e+00  15.61   24.214    0.072   24.246
OBS:  56187.188  i NULL   4.442e+01   2.084e+00  21.31   23.381    0.052   23.382
OBS:  56187.211  z NULL   3.546e+01   2.278e+00  15.57   23.626    0.072   23.647
OBS:  56189.148  g NULL   5.153e+00   9.763e+00   0.53   25.720  102.280   26.492
OBS:  56189.160  r NULL   2.168e+01   3.905e+00   5.55   24.160    0.215   24.302
OBS:  56189.176  i NULL   3.686e+01   8.110e+00   4.54   23.584    0.270   23.418
OBS:  56189.203  z NULL   3.651e+01   4.743e+00   7.70   23.594    0.151   23.659
OBS:  56194.121  g NULL   6.171e+00   3.775e+00   1.63   25.524    1.026   26.741
OBS:  56194.129  r NULL   1.259e+01   2.368e+00   5.31   24.750    0.227   24.479
OBS:  56200.156  i NULL   2.252e+01   8.079e+00   2.79   24.119    0.483   23.740
OBS:  56200.180  z NULL   3.575e+01   5.676e+00   6.30   23.617    0.187   23.829
OBS:  56207.156  g NULL   1.049e+00   2.280e+00   0.46   27.448  100.552   27.936
OBS:  56207.172  r NULL   7.382e+00   1.612e+00   4.58   25.330    0.268   25.303
OBS:  56209.191  i NULL   2.109e+01   2.182e+00   9.66   24.190    0.119   24.150
OBS:  56209.215  z NULL   2.211e+01   2.241e+00   9.87   24.138    0.116   24.083
OBS:  56215.164  g NULL  -5.851e-01   1.596e+00  -0.37  128.000    0.000   28.377
