SURVEY: DES   
SNID:   549926   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.91395 +- 0.01810  (Helio, z_best) 
REDSHIFT_FINAL:   0.91395 +- 0.01810  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19961 
HOST_GALAXY_PHOTO-Z:   0.9139  +- 0.0181  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.9126  
SIM_HOSTLIB_TRUEZ:  0.9100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19961  
SIM_DLMU:      43.855042  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0555   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.49  23.98  23.21  23.25  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56303.984375  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.776e-06   
SIM_SALT2x1:    0.8395   
SIM_SALT2c:    -0.1439   
SIM_SALT2mB:   23.9373   
SIM_STRETCH:    1.839  
SIM_MAGDIM:    0.565  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.57   days 
SIM_TRESTMAX:    24.59   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56303.203  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56228.297  g NULL   1.961e+01   1.503e+01   1.30   99.000    5.000   98.546
OBS:  56228.305  r NULL   4.265e+00   5.493e+00   0.78   99.000    5.000   99.140
OBS:  56228.312  i NULL   3.279e+00   9.412e+00   0.35   99.000    5.000   98.959
OBS:  56228.320  z NULL  -3.976e+00   5.800e+00  -0.69   99.000    5.000   98.943
OBS:  56229.320  g NULL  -9.836e+00   1.406e+01  -0.70   99.000    5.000   98.546
OBS:  56229.332  r NULL  -3.471e+00   7.252e+00  -0.48   99.000    5.000   99.140
OBS:  56229.348  i NULL  -2.241e+01   1.295e+01  -1.73   99.000    5.000   98.959
OBS:  56230.070  z NULL  -4.256e+00   7.134e+00  -0.60   99.000    5.000   98.943
OBS:  56230.316  g NULL   4.096e+00   1.368e+01   0.30   99.000    5.000   98.546
OBS:  56230.328  r NULL  -2.530e+00   6.672e+00  -0.38   99.000    5.000   99.140
OBS:  56230.344  i NULL  -1.184e+01   1.239e+01  -0.96   99.000    5.000   98.959
OBS:  56231.301  g NULL   5.842e+00   1.166e+01   0.50   99.000    5.000   98.546
OBS:  56231.316  r NULL  -9.476e+00   6.020e+00  -1.57   99.000    5.000   99.140
OBS:  56231.328  i NULL  -2.186e+01   1.048e+01  -2.09   99.000    5.000   98.959
OBS:  56231.344  z NULL  -8.277e+00   5.792e+00  -1.43   99.000    5.000   98.943
OBS:  56235.297  g NULL  -1.065e+01   9.639e+00  -1.10   99.000    5.000   98.546
OBS:  56235.312  r NULL  -2.237e-01   4.660e+00  -0.05   99.000    5.000   99.140
OBS:  56235.324  i NULL  -6.017e+00   6.641e+00  -0.91   99.000    5.000   98.959
OBS:  56235.340  z NULL   5.248e+00   6.750e+00   0.78   99.000    5.000   98.943
OBS:  56236.312  g NULL   3.732e+00   7.809e+00   0.48   99.000    5.000   98.546
OBS:  56236.324  r NULL   5.516e+00   3.730e+00   1.48   99.000    5.000   99.140
OBS:  56236.340  i NULL  -2.741e+00   6.080e+00  -0.45   99.000    5.000   98.959
OBS:  56237.074  z NULL   4.910e+00   7.011e+00   0.70   99.000    5.000   98.943
OBS:  56237.340  g NULL  -5.743e+00   1.182e+01  -0.49   99.000    5.000   98.546
OBS:  56238.051  r NULL   5.457e-01   4.311e+00   0.13   99.000    5.000   99.140
