SURVEY: DES   
SNID:   558698   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.57793 +- 0.03370  (Helio, z_best) 
REDSHIFT_FINAL:   0.57793 +- 0.03370  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13546 
HOST_GALAXY_PHOTO-Z:   0.5779  +- 0.0337  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.5415  
SIM_HOSTLIB_TRUEZ:  0.5400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13546  
SIM_DLMU:      42.469604  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0088   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.126  mag  (host extinction at 5510 A)
SIM_RV:         2.239   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.26  22.90  23.02  23.02  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56341.066406  days 
SIM_DELTA:      0.003  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.997  
SIM_MAGDIM:    0.336  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.86   days 
SIM_TRESTMAX:     6.51   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56341.188  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56281.160  g NULL  -2.089e+00   2.074e+00  -1.01   99.000    5.000   99.000
OBS:  56281.184  r NULL  -1.030e+00   1.273e+00  -0.81   99.000    5.000   99.000
OBS:  56281.203  i NULL  -1.097e+00   1.798e+00  -0.61   99.000    5.000   99.000
OBS:  56281.227  z NULL   4.668e-01   2.290e+00   0.20   99.000    5.000   99.000
OBS:  56288.086  g NULL  -5.324e+00   4.850e+00  -1.10   99.000    5.000   99.000
OBS:  56288.094  r NULL   1.478e+00   2.114e+00   0.70   99.000    5.000   99.000
OBS:  56288.109  i NULL  -2.823e-01   3.059e+00  -0.09   99.000    5.000   99.000
OBS:  56288.141  z NULL   5.391e-01   2.584e+00   0.21   99.000    5.000   99.000
OBS:  56289.227  g NULL  -3.047e-01   6.491e+00  -0.05   99.000    5.000   99.000
OBS:  56289.242  r NULL  -3.901e-01   2.701e+00  -0.14   99.000    5.000   99.000
OBS:  56289.258  i NULL   6.876e+00   5.086e+00   1.35   99.000    5.000   99.000
OBS:  56292.035  z NULL  -2.008e+00   2.062e+00  -0.97   99.000    5.000   99.000
OBS:  56292.141  g NULL   1.086e-01   3.053e+00   0.04   99.000    5.000   99.000
OBS:  56292.156  r NULL  -2.204e+00   1.735e+00  -1.27   99.000    5.000   99.000
OBS:  56292.172  i NULL   1.485e-01   2.653e+00   0.06   99.000    5.000   99.000
OBS:  56303.039  g NULL   7.362e-01   1.371e+00   0.54   99.000    5.000   99.000
OBS:  56303.051  r NULL  -1.239e+00   8.997e-01  -1.38   99.000    5.000   99.000
OBS:  56303.070  i NULL  -1.349e+00   1.413e+00  -0.96   99.000    5.000   99.000
OBS:  56303.094  z NULL   1.082e-01   2.208e+00   0.05   99.000    5.000   99.000
OBS:  56311.043  g NULL   1.182e+00   2.670e+00   0.44   27.319  100.681   40.201
OBS:  56311.055  r NULL  -1.165e+00   1.496e+00  -0.78  128.000    0.000   38.315
OBS:  56311.074  i NULL   6.448e+00   2.391e+00   2.70   25.477    0.502   38.331
OBS:  56311.098  z NULL   2.394e+00   2.434e+00   0.98   26.552  101.448   38.133
OBS:  56317.125  g NULL  -3.764e+00   4.217e+00  -0.89  128.000    0.000   27.845
OBS:  56317.141  r NULL   3.401e+00   1.863e+00   1.83   26.171    0.862   25.805
