SURVEY: DES   
SNID:   558704   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.95126 +- 0.01600  (Helio, z_best) 
REDSHIFT_FINAL:   0.95126 +- 0.01600  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17837 
HOST_GALAXY_PHOTO-Z:   0.9513  +- 0.0160  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9337  
SIM_HOSTLIB_TRUEZ:  0.9300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17837  
SIM_DLMU:      43.916054  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0283   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.272  mag  (host extinction at 5510 A)
SIM_RV:         2.028   (CCM89 extinction parameter) 
SIM_PEAKMAG:   37.04  25.04  24.05  24.01  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56333.214844  days 
SIM_DELTA:     -0.283  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.283  
SIM_MAGDIM:    0.286  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.77   days 
SIM_TRESTMAX:     9.20   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56333.125  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.242  g NULL  -1.383e+01   8.085e+00  -1.71   99.000    5.000   99.000
OBS:  56258.258  r NULL   1.287e+00   4.418e+00   0.29   99.000    5.000   99.000
OBS:  56259.160  i NULL   7.995e+00   4.542e+00   1.76   99.000    5.000   99.000
OBS:  56259.180  z NULL   1.097e+00   3.059e+00   0.36   99.000    5.000   99.000
OBS:  56261.215  g NULL  -1.400e+00   3.958e+00  -0.35   99.000    5.000   99.000
OBS:  56261.230  r NULL  -2.128e+00   1.853e+00  -1.15   99.000    5.000   99.000
OBS:  56267.156  i NULL   1.278e+00   2.211e+00   0.58   99.000    5.000   99.000
OBS:  56267.180  z NULL  -4.766e+00   3.050e+00  -1.56   99.000    5.000   99.000
OBS:  56274.160  g NULL   1.263e+00   2.033e+00   0.62   99.000    5.000   99.000
OBS:  56274.176  r NULL  -1.558e+00   1.444e+00  -1.08   99.000    5.000   99.000
OBS:  56275.223  i NULL  -4.767e-01   3.008e+00  -0.16   99.000    5.000   99.000
OBS:  56276.191  z NULL  -2.423e+00   3.402e+00  -0.71   99.000    5.000   99.000
OBS:  56282.160  g NULL  -2.181e+00   3.403e+00  -0.64   99.000    5.000   99.000
OBS:  56282.184  r NULL   1.101e+00   2.178e+00   0.51   99.000    5.000   99.000
OBS:  56287.160  i NULL   3.181e+00   4.986e+00   0.64   99.000    5.000   99.000
OBS:  56287.191  z NULL   4.927e+00   3.895e+00   1.26   99.000    5.000   99.000
OBS:  56289.035  g NULL   2.037e+01   1.190e+01   1.71   99.000    5.000   99.000
OBS:  56289.043  r NULL  -2.003e+00   4.183e+00  -0.48   99.000    5.000   99.000
OBS:  56289.152  i NULL  -2.230e+00   4.327e+00  -0.52   99.000    5.000   99.000
OBS:  56289.176  z NULL  -3.045e+00   4.464e+00  -0.68   99.000    5.000   99.000
OBS:  56297.039  g NULL   3.024e-01   1.580e+00   0.19   28.798   99.202   44.272
OBS:  56297.047  r NULL   1.394e+00   1.219e+00   1.14   27.139    2.252   30.716
OBS:  56297.062  i NULL   1.304e-01   1.862e+00   0.07   29.712   98.288   29.150
OBS:  56297.090  z NULL   1.331e+00   2.119e+00   0.63   27.190  100.810   29.142
OBS:  56305.094  g NULL  -6.591e-01   1.644e+00  -0.40  128.000    0.000   39.644
