SURVEY: DES   
SNID:   569196   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.97874 +- 0.02020  (Helio, z_best) 
REDSHIFT_FINAL:   0.97874 +- 0.02020  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13518 
HOST_GALAXY_PHOTO-Z:   0.9787  +- 0.0202  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.9711  
SIM_HOSTLIB_TRUEZ:  0.9700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13518  
SIM_DLMU:      44.021645  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0164   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.85  25.03  24.13  24.01  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56312.378906  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.452e-06   
SIM_SALT2x1:   -0.0174   
SIM_SALT2c:     0.0009   
SIM_SALT2mB:   24.6613   
SIM_STRETCH:    0.983  
SIM_MAGDIM:    1.123  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.25   days 
SIM_TRESTMAX:     2.87   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56312.277  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56235.020  z NULL   7.303e+00   5.690e+00   1.28   99.000    5.000   99.123
OBS:  56236.027  g NULL  -5.249e+00   5.172e+00  -1.01   99.000    5.000   99.238
OBS:  56236.035  r NULL  -2.937e-01   5.378e+00  -0.05   99.000    5.000   99.153
OBS:  56236.039  i NULL   1.901e+00   7.618e+00   0.25   99.000    5.000   99.181
OBS:  56237.023  z NULL  -3.608e+00   5.124e+00  -0.70   99.000    5.000   99.123
OBS:  56238.023  g NULL   1.624e+00   3.612e+00   0.45   99.000    5.000   99.238
OBS:  56238.031  r NULL   8.097e-01   2.785e+00   0.29   99.000    5.000   99.153
OBS:  56238.039  i NULL   2.983e+00   4.810e+00   0.62   99.000    5.000   99.181
OBS:  56243.070  z NULL   4.287e+00   5.344e+00   0.80   99.000    5.000   99.123
OBS:  56244.047  g NULL   1.319e-01   4.182e+00   0.03   99.000    5.000   99.238
OBS:  56244.055  r NULL  -2.033e+00   2.823e+00  -0.72   99.000    5.000   99.153
OBS:  56244.070  i NULL   7.523e-01   4.407e+00   0.17   99.000    5.000   99.181
OBS:  56245.027  z NULL   1.831e+00   3.539e+00   0.52   99.000    5.000   99.123
OBS:  56246.082  g NULL  -5.825e+00   2.835e+00  -2.05   99.000    5.000   99.238
OBS:  56246.098  r NULL  -2.106e+00   2.463e+00  -0.85   99.000    5.000   99.153
OBS:  56246.109  i NULL  -3.583e-01   5.434e+00  -0.07   99.000    5.000   99.181
OBS:  56247.250  z NULL   1.033e+01   6.294e+00   1.64   99.000    5.000   99.123
OBS:  56254.199  g NULL   1.184e+00   6.130e+00   0.19   99.000    5.000   99.238
OBS:  56254.211  r NULL  -3.560e-01   3.374e+00  -0.11   99.000    5.000   99.153
OBS:  56254.227  i NULL   1.062e+00   6.211e+00   0.17   99.000    5.000   99.181
OBS:  56258.191  z NULL  -4.330e+00   5.862e+00  -0.74   99.000    5.000   99.123
OBS:  56261.066  g NULL   2.740e+00   6.913e+00   0.40   99.000    5.000   99.238
OBS:  56261.082  r NULL   2.838e+00   4.055e+00   0.70   99.000    5.000   99.153
OBS:  56261.090  i NULL  -2.499e+00   8.210e+00  -0.30   99.000    5.000   99.181
OBS:  56266.156  z NULL   9.250e+00   5.284e+00   1.75   99.000    5.000   99.123
OBS:  56276.152  g NULL   6.240e-01   4.036e+00   0.15   99.000    5.000   99.238
OBS:  56276.172  r NULL   3.802e-02   2.883e+00   0.01   31.050   96.950   30.644
OBS:  56277.164  i NULL  -3.815e+00   3.542e+00  -1.08  128.000    0.000   28.558
OBS:  56278.164  z NULL  -3.325e+00   4.284e+00  -0.78  128.000    0.000   27.997
OBS:  56288.035  g NULL  -1.205e+01   1.451e+01  -0.83   99.000    5.000   99.238
OBS:  56288.043  r NULL   4.865e+00   5.401e+00   0.90   25.782  102.218   26.803
OBS:  56288.051  i NULL   2.092e+00   5.981e+00   0.35   26.699  101.301   25.654
OBS:  56288.066  z NULL   1.202e+01   6.739e+00   1.78   24.800    0.892   25.587
OBS:  56292.109  g NULL   9.373e+00   7.762e+00   1.21   99.000    5.000   99.238
OBS:  56292.125  r NULL   8.303e+00   3.874e+00   2.14   25.202    0.682   25.866
OBS:  56296.039  i NULL   9.850e+00   3.488e+00   2.82   25.016    0.476   24.592
OBS:  56296.051  z NULL   1.123e+01   4.469e+00   2.51   24.874    0.552   24.551
OBS:  56305.043  g NULL   3.161e-01   2.872e+00   0.11   28.750   99.250   30.485
OBS:  56305.051  r NULL   1.477e+01   2.203e+00   6.71   24.576    0.175   24.883
OBS:  56305.055  i NULL   2.210e+01   3.089e+00   7.15   24.139    0.163   24.177
OBS:  56305.070  z NULL   2.172e+01   3.691e+00   5.88   24.158    0.202   24.107
OBS:  56317.035  g NULL  -2.860e+01   1.480e+01  -1.93  128.000    0.000   28.667
OBS:  56317.043  r NULL   8.010e+00   6.189e+00   1.29   25.241    1.608   25.306
OBS:  56317.051  i NULL   2.290e+01   6.929e+00   3.30   24.101    0.391   24.197
OBS:  56318.035  z NULL  -8.274e+00   1.346e+01  -0.61  128.000    0.000   24.067
END: 
