SURVEY: DES   
SNID:   570427   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.29094 +- 0.03220  (Helio, z_best) 
REDSHIFT_FINAL:   0.29094 +- 0.03220  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18990 
HOST_GALAXY_PHOTO-Z:   0.2909  +- 0.0322  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      24   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-014599  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.3177  
SIM_HOSTLIB_TRUEZ:  0.3200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18990  
SIM_DLMU:      41.099701  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0823   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.92  22.92  23.07  22.84  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56158.183594  days 
SIM_SALT2x0:   3.632e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    15.22   days 
SIM_TRESTMAX:    68.40   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56157.484  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 71 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   2.511e+01   1.051e+01   2.39   24.000    0.589   24.016
OBS:  56178.250  r NULL   5.660e+01   7.927e+00   7.14   23.118    0.163   23.328
OBS:  56178.266  i NULL   4.390e+01   9.358e+00   4.69   23.394    0.260   23.293
OBS:  56179.211  z NULL   6.396e+01   5.469e+00  11.70   22.985    0.097   23.012
OBS:  56180.219  g NULL   1.759e+01   3.284e+00   5.36   24.387    0.225   24.133
OBS:  56180.234  r NULL   4.051e+01   2.581e+00  15.70   23.481    0.072   23.349
OBS:  56180.250  i NULL   4.292e+01   4.406e+00   9.74   23.418    0.118   23.313
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.191  z NULL   7.828e+01   2.737e+01   2.86   22.766    0.467   23.103
OBS:  56188.340  g NULL   4.496e+01   2.563e+01   1.75   23.368    0.916   24.617
OBS:  56188.355  r NULL   4.194e+01   4.262e+00   9.84   23.443    0.116   23.448
OBS:  56189.195  i NULL   3.746e+01   3.098e+01   1.21   23.566    1.905   23.409
OBS:  56194.215  g NULL   1.432e+01   4.795e+00   2.99   24.610    0.442   24.938
OBS:  56194.223  r NULL   3.595e+01   5.482e+00   6.56   23.611    0.180   23.522
OBS:  56194.227  z NULL   4.848e+01   6.615e+00   7.33   23.286    0.160   23.162
OBS:  56200.234  i NULL   5.331e+01   1.203e+01   4.43   23.183    0.277   23.526
OBS:  56208.160  g NULL   2.550e+00   2.988e+00   0.85   26.484  101.516   25.721
OBS:  56208.176  r NULL   3.176e+01   2.530e+00  12.56   23.745    0.090   23.740
OBS:  56208.191  z NULL   4.280e+01   5.011e+00   8.54   23.421    0.136   23.303
OBS:  56210.156  i NULL   4.773e+01   7.091e+00   6.73   23.303    0.174   23.635
OBS:  56216.164  g NULL   6.200e+00   2.700e+00   2.30   25.519    0.620   26.145
OBS:  56216.176  r NULL   2.833e+01   2.132e+00  13.29   23.870    0.085   23.876
OBS:  56216.191  z NULL   3.310e+01   4.101e+00   8.07   23.700    0.145   23.377
OBS:  56219.211  i NULL   2.985e+01   3.061e+00   9.75   23.813    0.118   23.732
OBS:  56221.148  g NULL  -1.648e+01   1.592e+01  -1.03  128.000    0.000   26.404
OBS:  56221.160  r NULL   2.858e+01   6.092e+00   4.69   23.860    0.260   23.965
OBS:  56221.176  z NULL   3.618e+01   1.542e+01   2.35   23.604    0.603   23.422
OBS:  56222.105  i NULL   3.446e+01   9.223e+00   3.74   23.657    0.338   23.763
OBS:  56222.312  g NULL   2.923e+00   4.109e+00   0.71   26.335  101.665   26.464
OBS:  56222.324  r NULL   2.737e+01   1.520e+01   1.80   23.907    0.880   23.987
OBS:  56222.340  z NULL   4.041e+01   4.087e+01   0.99   23.484  104.516   23.432
OBS:  56228.297  g NULL  -2.080e+01   1.503e+01  -1.38  128.000    0.000   26.771
OBS:  56228.305  r NULL   2.161e+01   5.518e+00   3.92   24.163    0.320   24.097
OBS:  56228.312  i NULL   4.496e+01   9.455e+00   4.76   23.368    0.256   23.825
OBS:  56228.320  z NULL   3.120e+01   5.836e+00   5.35   23.765    0.226   23.483
OBS:  56229.320  g NULL  -9.220e+00   1.406e+01  -0.66  128.000    0.000   26.823
OBS:  56229.332  r NULL   1.863e+01   7.267e+00   2.56   24.325    0.537   24.115
OBS:  56229.348  i NULL   3.493e+01   1.297e+01   2.69   23.642    0.504   23.835
OBS:  56230.070  z NULL   3.933e+01   7.176e+00   5.48   23.513    0.219   23.496
OBS:  56230.316  g NULL  -1.036e+01   1.368e+01  -0.76  128.000    0.000   26.874
OBS:  56230.328  r NULL   2.652e+01   6.699e+00   3.96   23.941    0.316   24.134
OBS:  56230.344  i NULL   2.192e+00   1.240e+01   0.18   26.648  101.352   23.844
OBS:  56231.301  g NULL  -4.200e+00   1.166e+01  -0.36  128.000    0.000   26.924
OBS:  56231.316  r NULL   2.378e+01   6.043e+00   3.94   24.059    0.318   24.152
OBS:  56231.328  i NULL   3.943e+01   1.050e+01   3.76   23.510    0.336   23.854
OBS:  56231.344  z NULL   4.551e+01   5.858e+00   7.77   23.355    0.149   23.506
OBS:  56235.297  g NULL   2.165e+00   9.638e+00   0.22   26.661  101.339   27.131
OBS:  56235.312  r NULL   2.104e+01   4.688e+00   4.49   24.192    0.274   24.227
OBS:  56235.324  i NULL   3.224e+01   6.677e+00   4.83   23.729    0.252   23.892
OBS:  56235.340  z NULL   4.380e+01   6.804e+00   6.44   23.396    0.183   23.538
OBS:  56236.312  g NULL   1.262e+00   7.811e+00   0.16   27.247  100.753   27.183
OBS:  56236.324  r NULL   2.088e+01   3.761e+00   5.55   24.201    0.216   24.246
OBS:  56236.340  i NULL   1.931e+01   6.100e+00   3.17   24.286    0.413   23.902
OBS:  56237.074  z NULL   4.857e+01   7.074e+00   6.87   23.284    0.170   23.551
OBS:  56237.340  g NULL  -1.151e+01   1.182e+01  -0.97  128.000    0.000   27.237
OBS:  56238.051  r NULL   1.957e+01   4.337e+00   4.51   24.271    0.272   24.280
OBS:  56238.059  i NULL   2.856e+01   5.503e+00   5.19   23.861    0.232   23.918
OBS:  56238.340  g NULL  -8.389e-01   1.062e+01  -0.08  128.000    0.000   27.290
OBS:  56243.047  z NULL   3.817e+01   8.361e+00   4.57   23.546    0.268   23.599
OBS:  56243.320  g NULL   1.182e+00   4.202e+00   0.28   27.319  100.681   27.556
OBS:  56243.336  r NULL   1.620e+01   3.324e+00   4.87   24.476    0.250   24.383
OBS:  56244.039  i NULL   3.605e+01   7.072e+00   5.10   23.608    0.237   23.977
OBS:  56244.309  g NULL  -3.083e+00   4.125e+00  -0.75  128.000    0.000   27.609
OBS:  56244.320  r NULL   1.514e+01   3.249e+00   4.66   24.549    0.263   24.402
OBS:  56245.047  z NULL   3.461e+01   5.058e+00   6.84   23.652    0.172   23.615
OBS:  56245.320  g NULL  -1.541e+00   4.231e+00  -0.36  128.000    0.000   27.664
OBS:  56246.055  r NULL   1.976e+01   2.428e+00   8.14   24.261    0.142   24.437
OBS:  56246.070  i NULL   3.045e+01   3.939e+00   7.73   23.791    0.150   23.997
OBS:  56247.223  g NULL  -9.034e-01   2.982e+00  -0.30  128.000    0.000   27.767
OBS:  56247.230  z NULL   3.308e+01   4.436e+00   7.46   23.701    0.157   23.633
OBS:  56248.305  r NULL   1.672e+01   2.410e+00   6.94   24.442    0.169   24.482
OBS:  56248.316  i NULL   2.450e+01   4.264e+00   5.75   24.027    0.208   24.020
END: 
