SURVEY: DES   
SNID:   573070   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.59222 +- 0.05080  (Helio, z_best) 
REDSHIFT_FINAL:   0.59222 +- 0.05080  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10026 
HOST_GALAXY_PHOTO-Z:   0.5922  +- 0.0508  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5523  
SIM_HOSTLIB_TRUEZ:  0.5500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10026  
SIM_DLMU:      42.521313  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0712   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.141  mag  (host extinction at 5510 A)
SIM_RV:         2.771   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.67  23.23  23.28  23.21  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56336.175781  days 
SIM_DELTA:      0.709  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.291  
SIM_MAGDIM:    0.606  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.31   days 
SIM_TRESTMAX:     9.56   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56335.613  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56275.152  g NULL   5.401e+00   3.311e+00   1.63   99.000    5.000   99.000
OBS:  56275.172  r NULL   5.394e-01   2.239e+00   0.24   99.000    5.000   99.000
OBS:  56275.191  i NULL  -9.854e-01   4.492e+00  -0.22   99.000    5.000   99.000
OBS:  56275.203  z NULL  -6.434e+00   5.326e+00  -1.21   99.000    5.000   99.000
OBS:  56283.203  g NULL   1.044e+01   6.288e+00   1.66   99.000    5.000   99.000
OBS:  56283.211  r NULL  -2.393e+00   3.326e+00  -0.72   99.000    5.000   99.000
OBS:  56283.215  i NULL   4.276e+00   5.817e+00   0.74   99.000    5.000   99.000
OBS:  56283.223  z NULL   1.619e+00   5.043e+00   0.32   99.000    5.000   99.000
OBS:  56288.199  g NULL   2.900e+01   1.180e+01   2.46   99.000    5.000   99.000
OBS:  56288.215  r NULL   6.444e+00   6.181e+00   1.04   99.000    5.000   99.000
OBS:  56289.109  i NULL   5.233e+00   7.080e+00   0.74   99.000    5.000   99.000
OBS:  56289.125  z NULL   8.356e+00   5.424e+00   1.54   99.000    5.000   99.000
OBS:  56292.098  g NULL  -1.310e+01   1.165e+01  -1.12   99.000    5.000   99.000
OBS:  56292.102  r NULL  -4.619e+00   4.827e+00  -0.96   99.000    5.000   99.000
OBS:  56292.191  i NULL   1.061e+01   5.603e+00   1.89   99.000    5.000   99.000
OBS:  56292.199  z NULL  -1.524e+00   5.158e+00  -0.30   99.000    5.000   99.000
OBS:  56304.051  g NULL  -1.463e+00   2.480e+00  -0.59   99.000    5.000   99.000
OBS:  56304.055  r NULL  -2.257e+00   1.657e+00  -1.36   99.000    5.000   99.000
OBS:  56304.070  i NULL  -1.454e+00   2.506e+00  -0.58   99.000    5.000   99.000
OBS:  56304.086  z NULL  -3.539e+00   3.934e+00  -0.90   99.000    5.000   99.000
OBS:  56312.055  g NULL  -2.800e-01   7.568e+00  -0.04  128.000    0.000   27.888
OBS:  56312.066  r NULL  -2.862e+00   2.962e+00  -0.97  128.000    0.000   29.008
OBS:  56312.090  i NULL   4.493e+00   5.021e+00   0.89   25.869  102.131   28.567
OBS:  56312.113  z NULL   1.483e+00   5.429e+00   0.27   27.072  100.928   27.636
OBS:  56320.043  g NULL   1.137e+01   6.174e+00   1.84   24.861    0.850   26.943
