SURVEY: DES   
SNID:   573782   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.52795 +- 0.03740  (Helio, z_best) 
REDSHIFT_FINAL:   0.52795 +- 0.03740  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10982 
HOST_GALAXY_PHOTO-Z:   0.5280  +- 0.0374  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5592  
SIM_HOSTLIB_TRUEZ:  0.5600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10982  
SIM_DLMU:      42.553562  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0843   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.090  mag  (host extinction at 5510 A)
SIM_RV:         2.605   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.44  22.93  22.96  23.00  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56316.308594  days 
SIM_DELTA:     -0.176  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.176  
SIM_MAGDIM:    0.183  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.30   days 
SIM_TRESTMAX:    22.27   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56315.625  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 52 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.152  g NULL  -2.672e+00   1.263e+01  -0.21   99.000    5.000   99.000
OBS:  56258.168  z NULL   1.229e+01   5.987e+00   2.05   99.000    5.000   99.000
OBS:  56258.273  r NULL   5.155e+00   7.778e+00   0.66   99.000    5.000   99.000
OBS:  56258.281  i NULL   3.251e+00   1.262e+01   0.26   99.000    5.000   99.000
OBS:  56261.266  g NULL  -5.148e+00   1.009e+01  -0.51   99.000    5.000   99.000
OBS:  56261.273  r NULL  -9.453e-01   4.184e+00  -0.23   99.000    5.000   99.000
OBS:  56261.281  i NULL   5.578e+00   7.030e+00   0.79   99.000    5.000   99.000
OBS:  56261.289  z NULL  -3.650e+00   4.892e+00  -0.75   99.000    5.000   99.000
OBS:  56275.152  g NULL   3.553e+00   3.310e+00   1.07   99.000    5.000   99.000
OBS:  56275.172  r NULL  -2.432e-01   2.239e+00  -0.11   99.000    5.000   99.000
OBS:  56275.191  i NULL  -1.241e+00   4.492e+00  -0.28   99.000    5.000   99.000
OBS:  56275.203  z NULL   2.611e-01   5.325e+00   0.05   99.000    5.000   99.000
OBS:  56283.203  g NULL  -1.882e+00   6.285e+00  -0.30   99.000    5.000   99.000
OBS:  56283.211  r NULL  -5.196e+00   3.327e+00  -1.56   99.000    5.000   99.000
OBS:  56283.215  i NULL  -2.297e+00   5.816e+00  -0.39   99.000    5.000   99.000
OBS:  56283.223  z NULL  -1.562e+00   5.043e+00  -0.31   99.000    5.000   99.000
OBS:  56288.199  g NULL   1.966e+01   1.180e+01   1.67   24.266    0.994   29.409
OBS:  56288.215  r NULL   8.822e+00   6.183e+00   1.43   25.136    1.309   27.206
OBS:  56289.109  i NULL   1.120e+01   7.083e+00   1.58   24.877    1.086   26.791
OBS:  56289.125  z NULL  -1.110e+00   5.422e+00  -0.20  128.000    0.000   26.821
OBS:  56292.098  g NULL   7.440e+00   1.165e+01   0.64   25.321  102.679   27.578
OBS:  56292.102  r NULL   1.708e+00   4.834e+00   0.35   26.919  101.081   25.426
OBS:  56292.191  i NULL   5.535e+00   5.603e+00   0.99   25.642  102.358   25.505
OBS:  56292.199  z NULL   1.843e+01   5.170e+00   3.56   24.336    0.357   25.540
OBS:  56304.051  g NULL   1.820e+01   2.560e+00   7.11   24.350    0.164   24.617
