SURVEY: DES   
SNID:   573958   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.28280 +- 0.02360  (Helio, z_best) 
REDSHIFT_FINAL:   0.28280 +- 0.02360  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13219 
HOST_GALAXY_PHOTO-Z:   0.2828  +- 0.0236  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      33   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-018297  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.2774  
SIM_HOSTLIB_TRUEZ:  0.2800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13219  
SIM_DLMU:      40.759941  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0689   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.26  23.74  23.29  23.48  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56339.867188  days 
SIM_SALT2x0:   4.966e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.74   days 
SIM_TRESTMAX:     8.73   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56339.055  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 34 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56289.109  i NULL   9.330e+00   7.082e+00   1.32   99.000    5.000   98.990
OBS:  56289.125  z NULL  -6.514e+00   5.423e+00  -1.20   99.000    5.000   98.992
OBS:  56292.098  g NULL  -8.673e+00   1.165e+01  -0.74   99.000    5.000   99.020
OBS:  56292.102  r NULL  -5.568e+00   4.827e+00  -1.15   99.000    5.000   98.991
OBS:  56292.191  i NULL   8.759e+00   5.602e+00   1.56   99.000    5.000   98.990
OBS:  56292.199  z NULL  -1.080e+00   5.158e+00  -0.21   99.000    5.000   98.992
OBS:  56304.051  g NULL  -5.192e-01   2.479e+00  -0.21  128.000    0.000   45.029
OBS:  56304.055  r NULL  -9.630e-02   1.657e+00  -0.06  128.000    0.000   44.773
OBS:  56304.070  i NULL  -1.124e+00   2.506e+00  -0.45  128.000    0.000   45.176
OBS:  56304.086  z NULL  -6.686e-01   3.934e+00  -0.17  128.000    0.000   46.068
OBS:  56312.055  g NULL   3.253e-02   7.568e+00   0.00   31.219   96.781   34.105
OBS:  56312.066  r NULL  -2.413e+00   2.962e+00  -0.81  128.000    0.000   34.507
OBS:  56312.090  i NULL   2.225e+00   5.020e+00   0.44   26.631  101.369   33.306
OBS:  56312.113  z NULL  -6.772e+00   5.430e+00  -1.25  128.000    0.000   33.860
OBS:  56320.043  g NULL  -5.010e+00   6.170e+00  -0.81  128.000    0.000   27.733
OBS:  56320.051  r NULL   4.892e+00   2.492e+00   1.96   25.776    0.772   26.974
OBS:  56320.059  i NULL  -1.331e+00   3.655e+00  -0.36  128.000    0.000   25.944
OBS:  56320.070  z NULL  -4.220e+00   4.395e+00  -0.96  128.000    0.000   26.501
OBS:  56328.047  g NULL   3.577e+01   3.529e+00  10.13   23.616    0.113   23.569
OBS:  56328.055  r NULL   2.558e+01   2.481e+00  10.31   23.980    0.111   23.862
OBS:  56328.070  i NULL   3.325e+01   4.112e+00   8.09   23.695    0.144   23.641
OBS:  56328.086  z NULL   1.938e+00   6.784e+00   0.29   26.782  101.218   24.308
OBS:  56336.062  g NULL   7.623e+01   4.144e+00  18.40   22.795    0.060   22.891
OBS:  56336.082  r NULL   3.647e+01   3.111e+00  11.72   23.595    0.096   23.677
OBS:  56337.062  i NULL   5.306e+01   3.123e+00  16.99   23.188    0.065   23.265
OBS:  56337.078  z NULL   3.628e+01   3.816e+00   9.51   23.601    0.121   23.534
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56345.039  g NULL   4.188e+01   7.223e+00   5.80   23.445    0.205   23.783
OBS:  56345.055  r NULL   3.366e+01   3.843e+00   8.76   23.682    0.131   23.760
OBS:  56346.055  i NULL   4.592e+01   6.064e+00   7.57   23.345    0.154   23.379
OBS:  56348.027  z NULL   4.359e+01   5.094e+00   8.56   23.402    0.135   23.389
OBS:  56350.023  g NULL   1.609e+01   6.867e+00   2.34   24.483    0.605   24.221
OBS:  56350.027  r NULL   2.671e+01   3.989e+00   6.70   23.933    0.176   23.739
OBS:  56350.035  i NULL   5.327e+01   6.770e+00   7.87   23.184    0.147   23.434
OBS:  56351.023  z NULL   4.744e+01   6.167e+00   7.69   23.310    0.151   23.387
END: 
