SURVEY: DES   
SNID:   574654   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.78936 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.78936 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.78936 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19136 
HOST_GALAXY_PHOTO-Z:   0.7906  +- 0.0240  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.7842  
SIM_HOSTLIB_TRUEZ:  0.7800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19136  
SIM_DLMU:      43.449371  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0121   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.31  23.92  23.21  23.52  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56226.371094  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.094e-06   
SIM_SALT2x1:   -1.8709   
SIM_SALT2c:    -0.0580   
SIM_SALT2mB:   24.1047   
SIM_MAGDIM:    1.138  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -31.01   days 
SIM_TRESTMAX:    51.38   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56227.941  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 97 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL  -4.218e+01   7.809e+01  -0.54   99.000    5.000   98.829
OBS:  56172.039  r NULL   5.968e+00   1.758e+01   0.34   99.000    5.000   98.973
OBS:  56172.051  i NULL  -3.874e+01   4.995e+01  -0.78   99.000    5.000   98.889
OBS:  56176.160  z NULL   3.935e-01   3.581e+00   0.11   99.000    5.000   98.919
OBS:  56179.023  g NULL  -8.102e+00   6.378e+00  -1.27   99.000    5.000   98.829
OBS:  56179.031  r NULL   3.128e+00   4.331e+00   0.72   99.000    5.000   98.973
OBS:  56179.047  i NULL   3.620e+00   7.140e+00   0.51   99.000    5.000   98.889
OBS:  56179.062  z NULL  -9.652e+00   8.140e+00  -1.19   99.000    5.000   98.919
OBS:  56180.031  g NULL  -4.051e+00   5.671e+00  -0.71   99.000    5.000   98.829
OBS:  56180.047  r NULL   1.268e+01   4.499e+00   2.82   99.000    5.000   98.973
OBS:  56180.062  i NULL   2.047e+00   6.737e+00   0.30   99.000    5.000   98.889
OBS:  56180.078  z NULL  -9.206e+00   1.017e+01  -0.91   99.000    5.000   98.919
OBS:  56188.004  g NULL   1.558e+00   5.676e+00   0.27   99.000    5.000   98.829
OBS:  56188.016  r NULL  -2.114e+00   4.368e+00  -0.48   99.000    5.000   98.973
OBS:  56188.027  i NULL   6.326e+00   6.463e+00   0.98   99.000    5.000   98.889
OBS:  56188.035  z NULL   6.637e+00   6.472e+00   1.03   99.000    5.000   98.919
OBS:  56189.004  g NULL   2.085e+00   5.646e+00   0.37   99.000    5.000   98.829
OBS:  56189.016  r NULL   5.849e-01   4.330e+00   0.14   99.000    5.000   98.973
OBS:  56189.027  i NULL  -3.719e+00   6.406e+00  -0.58   99.000    5.000   98.889
OBS:  56189.035  z NULL  -4.447e+00   6.406e+00  -0.69   99.000    5.000   98.919
OBS:  56194.012  g NULL   3.538e+00   6.200e+00   0.57   99.000    5.000   98.829
OBS:  56194.016  r NULL  -4.487e+00   3.585e+00  -1.25   99.000    5.000   98.973
OBS:  56194.023  i NULL   2.976e+00   6.147e+00   0.48   26.316  101.684   30.521
OBS:  56194.031  z NULL  -4.977e+00   1.508e+01  -0.33  128.000    0.000   29.670
OBS:  56198.992  g NULL   1.980e+01   1.869e+01   1.06   99.000    5.000   98.829
OBS:  56199.000  r NULL   1.918e-01   9.048e+00   0.02   99.000    5.000   98.973
OBS:  56199.008  i NULL  -2.350e+01   1.182e+01  -1.99  128.000    0.000   28.512
OBS:  56199.016  z NULL   1.195e+01   7.698e+00   1.55   24.806    1.120   27.663
OBS:  56199.039  g NULL   2.196e+01   3.349e+01   0.66   99.000    5.000   98.829
OBS:  56208.215  g NULL   6.870e+00   2.659e+00   2.58   25.408    0.531   31.476
OBS:  56208.223  r NULL   6.409e+00   1.777e+00   3.61   25.483    0.353   25.451
OBS:  56208.238  i NULL   1.660e+01   2.980e+00   5.57   24.450    0.214   24.689
OBS:  56209.160  z NULL   1.091e+01   3.252e+00   3.36   24.905    0.384   24.686
OBS:  56216.215  g NULL   3.659e+00   2.478e+00   1.48   26.091    1.227   26.173
OBS:  56216.223  r NULL   2.096e+01   1.947e+00  10.77   24.196    0.106   24.166
OBS:  56216.230  i NULL   4.116e+01   3.135e+00  13.13   23.464    0.086   23.536
OBS:  56218.152  z NULL   3.272e+01   2.751e+00  11.90   23.713    0.095   23.742
OBS:  56221.004  g NULL   1.388e+01   5.238e+00   2.65   24.644    0.514   26.149
OBS:  56221.016  r NULL   2.618e+01   3.629e+00   7.21   23.955    0.162   23.907
OBS:  56221.027  i NULL   5.163e+01   5.573e+00   9.26   23.218    0.124   23.281
OBS:  56221.035  z NULL   3.966e+01   5.459e+00   7.27   23.504    0.160   23.618
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56222.016  g NULL   1.123e+01   6.250e+00   1.80   24.874    0.882   26.164
OBS:  56222.027  r NULL   2.201e+01   3.660e+00   6.01   24.143    0.198   23.891
OBS:  56222.035  i NULL   3.899e+01   4.997e+00   7.80   23.523    0.150   23.256
OBS:  56228.012  z NULL   3.768e+01   5.596e+00   6.73   23.560    0.175   23.513
OBS:  56229.012  g NULL   5.860e+00   9.821e+00   0.60   25.580  102.420   26.478
OBS:  56229.016  r NULL   2.308e+01   4.356e+00   5.30   24.092    0.227   24.041
OBS:  56229.023  i NULL   3.962e+01   7.865e+00   5.04   23.505    0.241   23.240
OBS:  56230.012  z NULL   3.277e+01   4.960e+00   6.61   23.711    0.179   23.520
OBS:  56231.012  g NULL   7.546e+00   6.919e+00   1.09   25.306    2.699   26.633
OBS:  56231.020  r NULL   2.531e+01   2.844e+00   8.90   23.992    0.129   24.151
OBS:  56231.027  i NULL   4.909e+01   4.198e+00  11.69   23.273    0.097   23.283
OBS:  56235.020  z NULL   3.965e+01   5.744e+00   6.90   23.504    0.170   23.577
OBS:  56236.027  g NULL  -4.235e+00   5.176e+00  -0.82  128.000    0.000   27.051
OBS:  56236.035  r NULL   1.890e+01   5.405e+00   3.50   24.309    0.366   24.417
OBS:  56236.039  i NULL   4.022e+01   7.673e+00   5.24   23.489    0.230   23.476
OBS:  56237.023  z NULL   3.296e+01   5.167e+00   6.38   23.705    0.185   23.613
OBS:  56238.023  g NULL   3.879e+00   3.616e+00   1.07   26.028    2.921   27.215
OBS:  56238.031  r NULL   1.746e+01   2.818e+00   6.20   24.395    0.191   24.527
OBS:  56238.039  i NULL   3.936e+01   4.882e+00   8.06   23.512    0.144   23.581
OBS:  56243.070  z NULL   3.020e+01   5.379e+00   5.61   23.800    0.213   23.785
OBS:  56244.047  g NULL  -1.288e+00   4.185e+00  -0.31  128.000    0.000   27.515
