SURVEY: DES   
SNID:   576200   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.79162 +- 0.02250  (Helio, z_best) 
REDSHIFT_FINAL:   0.79162 +- 0.02250  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15023 
HOST_GALAXY_PHOTO-Z:   0.7916  +- 0.0225  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7760  
SIM_HOSTLIB_TRUEZ:  0.7800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15023  
SIM_DLMU:      43.421333  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0818   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.53  24.83  24.04  24.00  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56257.398438  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.310e-06   
SIM_SALT2x1:   -0.0189   
SIM_SALT2c:     0.2087   
SIM_SALT2mB:   24.7262   
SIM_STRETCH:    0.981  
SIM_MAGDIM:    1.788  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.97   days 
SIM_TRESTMAX:    52.72   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56256.230  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56188.191  z NULL  -3.015e+01   2.733e+01  -1.10   99.000    5.000   98.919
OBS:  56188.340  g NULL   2.310e+01   2.558e+01   0.90   99.000    5.000   99.119
OBS:  56188.355  r NULL   2.207e-01   4.152e+00   0.05   99.000    5.000   98.905
OBS:  56189.195  i NULL  -4.684e+01   3.096e+01  -1.51   99.000    5.000   98.940
OBS:  56194.215  g NULL  -8.825e+00   4.766e+00  -1.85   99.000    5.000   99.119
OBS:  56194.223  r NULL   3.633e+00   5.400e+00   0.67   99.000    5.000   98.905
OBS:  56194.227  z NULL   6.549e+00   6.542e+00   1.00   99.000    5.000   98.919
OBS:  56200.234  i NULL  -6.526e+00   1.198e+01  -0.54   99.000    5.000   98.940
OBS:  56208.160  g NULL  -4.387e+00   2.973e+00  -1.48   99.000    5.000   99.119
OBS:  56208.176  r NULL  -3.486e+00   2.429e+00  -1.44   99.000    5.000   98.905
OBS:  56208.191  z NULL  -2.994e+00   4.938e+00  -0.61   99.000    5.000   98.919
OBS:  56210.156  i NULL   2.279e+00   7.024e+00   0.32   99.000    5.000   98.940
OBS:  56216.164  g NULL  -2.107e-01   2.686e+00  -0.08   99.000    5.000   99.119
OBS:  56216.176  r NULL  -5.139e-01   2.036e+00  -0.25   99.000    5.000   98.905
OBS:  56216.191  z NULL   5.341e-01   4.045e+00   0.13   99.000    5.000   98.919
OBS:  56219.211  i NULL  -1.469e+00   2.987e+00  -0.49   99.000    5.000   98.940
OBS:  56221.148  g NULL   7.480e+00   1.591e+01   0.47   99.000    5.000   99.119
OBS:  56221.160  r NULL   6.257e-01   6.048e+00   0.10   99.000    5.000   98.905
OBS:  56221.176  z NULL  -1.794e+01   1.540e+01  -1.16   99.000    5.000   98.919
OBS:  56222.105  i NULL  -8.580e+00   9.191e+00  -0.93  128.000    0.000   32.387
OBS:  56222.312  g NULL  -3.135e+00   4.101e+00  -0.76  128.000    0.000   35.174
OBS:  56222.324  r NULL   2.099e+01   1.517e+01   1.38   24.195    1.392   32.499
OBS:  56222.340  z NULL  -8.240e-01   4.086e+01  -0.02  128.000    0.000   31.503
OBS:  56228.297  g NULL   1.435e+00   1.503e+01   0.10   27.108  100.892   30.790
OBS:  56228.305  r NULL   2.225e+00   5.493e+00   0.41   26.632  101.368   28.141
