SURVEY: DES   
SNID:   582052   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.77083 +- 0.02420  (Helio, z_best) 
REDSHIFT_FINAL:   0.77083 +- 0.02420  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14114 
HOST_GALAXY_PHOTO-Z:   0.7708  +- 0.0242  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7849  
SIM_HOSTLIB_TRUEZ:  0.7800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14114  
SIM_DLMU:      43.451813  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0582   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.63  24.31  23.48  23.60  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56162.382812  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.337e-06   
SIM_SALT2x1:    0.1447   
SIM_SALT2c:     0.0799   
SIM_SALT2mB:   24.3267   
SIM_STRETCH:    1.145  
SIM_MAGDIM:    1.358  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     8.88   days 
SIM_TRESTMAX:    67.70   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56161.555  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 87 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   3.712e+00   1.048e+01   0.35   26.076  101.924   27.755
OBS:  56178.250  r NULL   1.081e+01   7.847e+00   1.38   24.916    1.406   25.056
OBS:  56178.266  i NULL   4.581e+01   9.356e+00   4.90   23.348    0.247   23.918
OBS:  56179.211  z NULL   3.228e+01   5.366e+00   6.01   23.728    0.197   23.836
OBS:  56180.219  g NULL   2.259e-01   3.207e+00   0.07   29.115   98.885   27.767
OBS:  56180.234  r NULL   4.453e+00   2.434e+00   1.83   25.878    0.861   25.192
OBS:  56180.250  i NULL   3.012e+01   4.359e+00   6.91   23.803    0.169   24.016
OBS:  56188.191  z NULL   4.085e+01   2.734e+01   1.49   23.472    1.201   24.133
OBS:  56188.340  g NULL  -2.893e+01   2.558e+01  -1.13  128.000    0.000   28.650
OBS:  56188.355  r NULL   3.667e+00   4.157e+00   0.88   26.089  101.911   25.818
OBS:  56189.195  i NULL   2.864e+01   3.096e+01   0.92   23.858  104.142   24.531
OBS:  56194.215  g NULL  -1.974e-01   4.764e+00  -0.04  128.000    0.000   31.730
OBS:  56194.223  r NULL   7.377e+00   5.405e+00   1.36   25.330    1.432   26.325
OBS:  56194.227  z NULL   2.270e+01   6.559e+00   3.46   24.110    0.370   24.334
OBS:  56200.234  i NULL   1.648e+01   1.199e+01   1.37   24.457    1.410   25.233
OBS:  56208.160  g NULL  -4.945e+00   2.974e+00  -1.66  128.000    0.000   29.096
OBS:  56208.176  r NULL   5.145e+00   2.431e+00   2.12   25.722    0.694   27.042
OBS:  56208.191  z NULL   9.162e+00   4.943e+00   1.85   25.095    0.842   24.879
OBS:  56210.156  i NULL   4.580e+00   7.026e+00   0.65   25.848  102.152   25.720
OBS:  56216.164  g NULL   3.054e+00   2.687e+00   1.14   26.288    2.297   29.291
OBS:  56216.176  r NULL   1.504e+00   2.037e+00   0.74   27.057  100.943   27.515
OBS:  56216.191  z NULL   6.985e+00   4.049e+00   1.73   25.390    0.941   25.161
OBS:  56219.211  i NULL  -4.234e+00   2.991e+00  -1.42  128.000    0.000   26.104
OBS:  56221.148  g NULL   1.848e+01   1.592e+01   1.16   24.333    2.143   29.218
OBS:  56221.160  r NULL  -6.404e-01   6.048e+00  -0.11  128.000    0.000   27.693
