SURVEY: DES   
SNID:   585368   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.67735 +- 0.03990  (Helio, z_best) 
REDSHIFT_FINAL:   0.67735 +- 0.03990  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13245 
HOST_GALAXY_PHOTO-Z:   0.6774  +- 0.0399  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7129  
SIM_HOSTLIB_TRUEZ:  0.7100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13245  
SIM_DLMU:      43.195251  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0097   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.98  24.23  23.71  23.11  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56345.171875  days 
SIM_SALT2x0:   5.271e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.37   days 
SIM_TRESTMAX:     3.46   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56346.809  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56281.160  g NULL   5.667e-01   2.074e+00   0.27   99.000    5.000   99.059
OBS:  56281.184  r NULL   2.154e-01   1.273e+00   0.17   99.000    5.000   98.991
OBS:  56281.203  i NULL  -2.275e+00   1.799e+00  -1.26   99.000    5.000   98.989
OBS:  56281.227  z NULL   1.403e+00   2.290e+00   0.61   99.000    5.000   98.901
OBS:  56288.086  g NULL   6.045e+00   4.850e+00   1.25   99.000    5.000   99.059
OBS:  56288.094  r NULL  -1.064e+00   2.113e+00  -0.50   99.000    5.000   98.991
OBS:  56288.109  i NULL  -2.889e+00   3.059e+00  -0.94   99.000    5.000   98.989
OBS:  56288.141  z NULL  -8.112e-01   2.584e+00  -0.31   99.000    5.000   98.901
OBS:  56289.227  g NULL   6.423e+00   6.492e+00   0.99   99.000    5.000   99.059
OBS:  56289.242  r NULL   1.056e-01   2.701e+00   0.04   99.000    5.000   98.991
OBS:  56289.258  i NULL  -3.617e+00   5.085e+00  -0.71   99.000    5.000   98.989
OBS:  56292.035  z NULL  -8.494e-01   2.061e+00  -0.41   99.000    5.000   98.901
OBS:  56292.141  g NULL  -3.599e+00   3.054e+00  -1.18   99.000    5.000   99.059
OBS:  56292.156  r NULL   2.956e+00   1.735e+00   1.70   99.000    5.000   98.991
OBS:  56292.172  i NULL   4.296e+00   2.654e+00   1.62   99.000    5.000   98.989
OBS:  56303.039  g NULL  -2.856e+00   1.372e+00  -2.08  128.000    0.000   31.926
OBS:  56303.051  r NULL   3.495e-01   8.995e-01   0.39   28.641   99.359   32.251
OBS:  56303.070  i NULL  -1.853e-01   1.413e+00  -0.13  128.000    0.000   32.363
OBS:  56303.094  z NULL   1.853e-01   2.208e+00   0.08   29.330   98.670   32.149
OBS:  56311.043  g NULL   4.225e+00   2.673e+00   1.58   25.936    1.087   27.075
OBS:  56311.055  r NULL   2.316e+00   1.497e+00   1.55   26.588    1.128   27.285
OBS:  56311.074  i NULL   2.480e+00   2.389e+00   1.04   26.514    3.584   27.141
OBS:  56311.098  z NULL  -4.250e-01   2.434e+00  -0.17  128.000    0.000   26.669
