SURVEY: DES   
SNID:   618202   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.63819 +- 0.05180  (Helio, z_best) 
REDSHIFT_FINAL:   0.63819 +- 0.05180  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16923 
HOST_GALAXY_PHOTO-Z:   0.6382  +- 0.0518  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.5588  
SIM_HOSTLIB_TRUEZ:  0.5600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16923  
SIM_DLMU:      42.551872  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0296   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.53  22.40  22.46  22.50  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56314.738281  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.197e-05   
SIM_SALT2x1:    0.1575   
SIM_SALT2c:    -0.0717   
SIM_SALT2mB:   22.9401   
SIM_STRETCH:    1.157  
SIM_MAGDIM:    0.871  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.24   days 
SIM_TRESTMAX:    23.26   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56314.945  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.242  g NULL  -5.023e+00   8.081e+00  -0.62   99.000    5.000   98.779
OBS:  56258.258  r NULL  -5.617e+00   4.419e+00  -1.27   99.000    5.000   98.915
OBS:  56259.160  i NULL   4.571e+00   4.541e+00   1.01   99.000    5.000   98.914
OBS:  56259.180  z NULL   1.983e+00   3.059e+00   0.65   99.000    5.000   98.937
OBS:  56261.215  g NULL  -1.611e+00   3.958e+00  -0.41   99.000    5.000   98.779
OBS:  56261.230  r NULL  -3.005e+00   1.854e+00  -1.62   99.000    5.000   98.915
OBS:  56267.156  i NULL   2.984e+00   2.211e+00   1.35   99.000    5.000   98.914
OBS:  56267.180  z NULL  -5.336e+00   3.051e+00  -1.75   99.000    5.000   98.937
OBS:  56274.160  g NULL  -2.932e+00   2.033e+00  -1.44   99.000    5.000   98.779
OBS:  56274.176  r NULL   7.366e-01   1.444e+00   0.51   99.000    5.000   98.915
OBS:  56275.223  i NULL   2.971e+00   3.008e+00   0.99   99.000    5.000   98.914
OBS:  56276.191  z NULL  -9.275e-01   3.402e+00  -0.27   99.000    5.000   98.937
OBS:  56282.160  g NULL  -1.782e-01   3.403e+00  -0.05   99.000    5.000   98.779
OBS:  56282.184  r NULL  -2.363e+00   2.179e+00  -1.08   99.000    5.000   98.915
OBS:  56287.160  i NULL   6.577e+00   4.987e+00   1.32   25.455    1.541   26.626
OBS:  56287.191  z NULL  -2.028e+00   3.894e+00  -0.52  128.000    0.000   26.629
OBS:  56289.035  g NULL   1.007e+01   1.189e+01   0.85   24.992  103.008   26.497
OBS:  56289.043  r NULL   1.215e+01   4.190e+00   2.90   24.789    0.459   25.577
OBS:  56289.152  i NULL   6.402e+00   4.329e+00   1.48   25.484    1.224   25.671
OBS:  56289.176  z NULL   1.197e+01   4.469e+00   2.68   24.805    0.507   25.685
OBS:  56297.039  g NULL   1.881e+01   1.655e+00  11.37   24.314    0.100   24.410
OBS:  56297.047  r NULL   3.836e+01   1.436e+00  26.72   23.540    0.041   23.536
OBS:  56297.062  i NULL   3.366e+01   1.978e+00  17.02   23.682    0.066   23.657
OBS:  56297.090  z NULL   3.278e+01   2.210e+00  14.83   23.711    0.076   23.738
OBS:  56305.094  g NULL   3.880e+01   1.871e+00  20.74   23.528    0.054   23.446
