SURVEY: DES   
SNID:   621558   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.59856 +- 0.01950  (Helio, z_best) 
REDSHIFT_FINAL:   0.59856 +- 0.01950  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13263 
HOST_GALAXY_PHOTO-Z:   0.5986  +- 0.0195  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5883  
SIM_HOSTLIB_TRUEZ:  0.5900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13263  
SIM_DLMU:      42.686928  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0727   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.94  23.64  23.31  22.72  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56202.648438  days 
SIM_SALT2x0:   8.418e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -15.37   days 
SIM_TRESTMAX:    68.92   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56201.707  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 103 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.064e+01   1.048e+01   1.01   24.933    4.565   27.021
OBS:  56178.250  r NULL   1.004e+01   7.846e+00   1.28   24.995    1.650   25.104
OBS:  56178.266  i NULL   1.570e+01   9.319e+00   1.68   24.510    0.977   24.551
OBS:  56179.211  z NULL   3.042e+01   5.362e+00   5.67   23.792    0.210   24.046
OBS:  56180.219  g NULL   1.527e+00   3.212e+00   0.48   27.040  100.960   26.543
OBS:  56180.234  r NULL   1.461e+01   2.454e+00   5.95   24.588    0.200   24.620
OBS:  56180.250  i NULL   2.285e+01   4.342e+00   5.26   24.103    0.229   24.140
OBS:  56188.191  z NULL   6.683e+01   2.736e+01   2.44   22.938    0.572   23.044
OBS:  56188.340  g NULL   1.459e+01   2.560e+01   0.57   24.590  103.410   25.052
OBS:  56188.355  r NULL   4.017e+01   4.254e+00   9.44   23.490    0.121   23.522
OBS:  56189.195  i NULL   8.970e+01   3.102e+01   2.89   22.618    0.460   23.307
OBS:  56194.215  g NULL   1.387e+01   4.792e+00   2.89   24.645    0.460   25.075
OBS:  56194.223  r NULL   4.722e+01   5.520e+00   8.55   23.315    0.135   23.313
OBS:  56194.227  z NULL   6.391e+01   6.665e+00   9.59   22.986    0.120   22.792
OBS:  56200.234  i NULL   3.800e+01   1.201e+01   3.16   23.550    0.413   23.275
OBS:  56208.160  g NULL   2.089e+00   2.979e+00   0.70   26.700  101.300   26.731
OBS:  56208.176  r NULL   2.289e+01   2.487e+00   9.20   24.101    0.125   24.110
OBS:  56208.191  z NULL   7.307e+01   5.135e+00  14.23   22.841    0.079   22.811
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56210.156  i NULL   4.251e+01   7.080e+00   6.00   23.429    0.197   23.584
OBS:  56216.164  g NULL   1.886e+00   2.689e+00   0.70   26.811  101.189   27.552
OBS:  56216.176  r NULL   7.173e+00   2.051e+00   3.50   25.361    0.367   24.981
OBS:  56216.191  z NULL   6.169e+01   4.216e+00  14.63   23.024    0.076   23.144
OBS:  56219.211  i NULL   2.424e+01   3.037e+00   7.98   24.039    0.145   24.088
OBS:  56221.148  g NULL   2.851e+01   1.592e+01   1.79   23.862    0.887   27.931
OBS:  56221.160  r NULL  -7.544e-01   6.053e+00  -0.12  128.000    0.000   25.492
OBS:  56221.176  z NULL   3.176e+01   1.541e+01   2.06   23.745    0.722   23.400
OBS:  56222.105  i NULL   2.119e+01   9.205e+00   2.30   24.185    0.619   24.255
OBS:  56222.312  g NULL   4.120e+00   4.103e+00   1.00   25.963    5.907   28.019
