SURVEY: DES   
SNID:   624366   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.48641 +- 0.03810  (Helio, z_best) 
REDSHIFT_FINAL:   0.48641 +- 0.03810  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10938 
HOST_GALAXY_PHOTO-Z:   0.4864  +- 0.0381  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      7   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2004gv  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.4620  
SIM_HOSTLIB_TRUEZ:  0.4600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10938  
SIM_DLMU:      42.055862  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0122   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.97  24.39  24.19  23.98  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56358.769531  days 
SIM_SALT2x0:   1.505e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.12   days 
SIM_TRESTMAX:    -5.25   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56359.105  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56303.039  g NULL   2.450e-02   1.371e+00   0.02   99.000    5.000   98.980
OBS:  56303.051  r NULL   9.711e-01   8.996e-01   1.08   99.000    5.000   98.927
OBS:  56303.070  i NULL  -1.416e+00   1.413e+00  -1.00   99.000    5.000   99.020
OBS:  56303.094  z NULL   8.027e-01   2.209e+00   0.36   99.000    5.000   98.974
OBS:  56311.043  g NULL   2.695e+00   2.670e+00   1.01   99.000    5.000   98.980
OBS:  56311.055  r NULL  -1.628e+00   1.496e+00  -1.09   99.000    5.000   98.927
OBS:  56311.074  i NULL   5.895e-01   2.388e+00   0.25   99.000    5.000   99.020
OBS:  56311.098  z NULL  -6.046e-01   2.434e+00  -0.25   99.000    5.000   98.974
OBS:  56317.125  g NULL   7.844e+00   4.219e+00   1.86   25.264    0.837   45.650
OBS:  56317.141  r NULL  -3.174e-01   1.860e+00  -0.17  128.000    0.000   45.887
OBS:  56318.109  i NULL  -3.024e+00   2.781e+00  -1.09  128.000    0.000   44.294
OBS:  56318.141  z NULL  -8.573e-01   2.975e+00  -0.29  128.000    0.000   44.165
OBS:  56321.090  g NULL  -3.842e+00   6.627e+00  -0.58  128.000    0.000   36.195
OBS:  56321.098  r NULL   2.503e+00   2.887e+00   0.87   26.504  101.496   36.432
OBS:  56321.109  i NULL   8.627e-01   3.401e+00   0.25   27.660  100.340   36.671
OBS:  56321.141  z NULL  -4.308e-01   2.957e+00  -0.15  128.000    0.000   36.557
OBS:  56332.039  g NULL  -2.340e+00   1.461e+00  -1.60  128.000    0.000   28.058
OBS:  56332.051  r NULL  -7.218e-01   9.747e-01  -0.74  128.000    0.000   27.534
OBS:  56332.070  i NULL   1.642e+00   1.582e+00   1.04   26.962    3.602   27.121
OBS:  56332.094  z NULL   2.264e+00   2.577e+00   0.88   26.613  101.387   27.121
OBS:  56340.043  g NULL   1.876e+00   2.752e+00   0.68   26.817  101.183   26.642
OBS:  56340.055  r NULL   7.769e+00   1.656e+00   4.69   25.274    0.260   25.385
OBS:  56340.074  i NULL   9.945e+00   2.729e+00   3.64   25.006    0.348   24.978
OBS:  56340.098  z NULL   8.210e+00   2.985e+00   2.75   25.214    0.491   25.017
OBS:  56348.055  g NULL   8.308e+00   3.260e+00   2.55   25.201    0.541   25.467
OBS:  56348.070  r NULL   1.369e+01   2.120e+00   6.46   24.659    0.183   24.443
OBS:  56349.004  i NULL   1.974e+01   2.388e+00   8.27   24.262    0.140   24.293
OBS:  56349.027  z NULL   2.196e+01   2.464e+00   8.92   24.146    0.129   24.222
OBS:  56350.043  g NULL   4.360e+00   3.842e+00   1.13   25.901    2.316   25.402
OBS:  56350.055  r NULL   1.720e+01   1.850e+00   9.29   24.411    0.124   24.340
OBS:  56350.070  i NULL   2.240e+01   3.191e+00   7.02   24.124    0.166   24.261
OBS:  56350.098  z NULL   2.749e+01   4.888e+00   5.62   23.902    0.212   24.169
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56351.043  g NULL   7.499e+00   3.360e+00   2.23   25.312    0.645   25.396
OBS:  56351.055  r NULL   1.875e+01   1.804e+00  10.40   24.317    0.110   24.303
OBS:  56351.070  i NULL   2.310e+01   3.092e+00   7.47   24.091    0.156   24.236
OBS:  56351.098  z NULL   2.178e+01   4.799e+00   4.54   24.155    0.270   24.126
END: 
