SURVEY: DES   
SNID:   625246   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.44386 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.44386 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.44386 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16497 
HOST_GALAXY_PHOTO-Z:   0.4256  +- 0.0214  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.4356  
SIM_HOSTLIB_TRUEZ:  0.4400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16497  
SIM_DLMU:      41.903568  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0114   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.249  mag  (host extinction at 5510 A)
SIM_RV:         2.348   (CCM89 extinction parameter) 
SIM_PEAKMAG:   23.26  22.24  22.21  22.49  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56158.707031  days 
SIM_DELTA:     -0.379  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.379  
SIM_MAGDIM:    0.184  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    12.18   days 
SIM_TRESTMAX:    69.32   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56159.453  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 102 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   1.861e+01   4.788e+00   3.89   24.326    0.323   24.457
OBS:  56176.199  r NULL   7.042e+01   2.522e+00  27.92   22.881    0.040   22.838
OBS:  56176.215  i NULL   9.197e+01   3.598e+00  25.56   22.591    0.044   22.562
OBS:  56176.238  z NULL   7.201e+01   2.828e+00  25.47   22.857    0.043   22.915
OBS:  56179.188  g NULL   1.180e+01   2.608e+00   4.53   24.820    0.271   24.767
OBS:  56179.195  r NULL   6.419e+01   2.107e+00  30.47   22.981    0.036   22.992
OBS:  56179.234  i NULL   8.592e+01   2.569e+00  33.44   22.665    0.033   22.695
OBS:  56179.266  z NULL   6.470e+01   3.923e+00  16.49   22.973    0.067   23.046
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   1.239e+01   2.574e+00   4.81   24.768    0.253   24.884
OBS:  56180.281  r NULL   5.973e+01   1.739e+00  34.35   23.059    0.032   23.055
OBS:  56180.297  i NULL   7.744e+01   3.970e+00  19.51   22.778    0.057   22.743
OBS:  56180.328  z NULL   4.956e+01   4.584e+00  10.81   23.262    0.106   23.083
OBS:  56188.160  g NULL   4.197e+00   5.691e+00   0.74   25.943  102.057   25.494
OBS:  56188.176  r NULL   3.833e+01   5.630e+00   6.81   23.541    0.172   23.597
OBS:  56188.211  i NULL   5.631e+01   4.656e+00  12.09   23.124    0.094   22.978
OBS:  56188.238  z NULL   4.574e+01   3.509e+00  13.04   23.349    0.088   23.157
OBS:  56189.254  g NULL   2.594e+00   2.293e+00   1.13   26.465    2.345   25.629
OBS:  56189.270  r NULL   3.361e+01   3.343e+00  10.05   23.684    0.114   23.671
OBS:  56189.281  i NULL   7.310e+01   9.163e+00   7.98   22.840    0.145   23.003
OBS:  56189.312  z NULL   5.621e+01   3.150e+00  17.85   23.125    0.062   23.155
OBS:  56194.258  g NULL  -2.937e+00   2.642e+00  -1.11  128.000    0.000   26.133
OBS:  56194.270  r NULL   2.496e+01   1.574e+00  15.86   24.007    0.071   23.963
OBS:  56194.285  i NULL   5.152e+01   2.505e+00  20.57   23.220    0.055   23.130
OBS:  56194.305  z NULL   5.369e+01   2.591e+00  20.72   23.175    0.054   23.166
OBS:  56202.160  g NULL   1.065e+01   4.797e+00   2.22   24.931    0.649   26.072
