SURVEY: DES   
SNID:   631570   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  33 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.17494 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.17494 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.17494 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18763 
HOST_GALAXY_PHOTO-Z:   0.2238  +- 0.0308  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      6   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = CSP-2004gq  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.1726  
SIM_HOSTLIB_TRUEZ:  0.1700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18763  
SIM_DLMU:      39.600765  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0322   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.60  22.79  22.68  22.65  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56245.328125  days 
SIM_SALT2x0:   1.444e-16   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -32.53   days 
SIM_TRESTMAX:    69.70   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56245.141  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 95 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56207.188  g NULL  -4.923e+00   4.366e+00  -1.13   99.000    5.000   99.093
OBS:  56207.195  r NULL   1.681e+00   3.459e+00   0.49   99.000    5.000   98.929
OBS:  56207.203  i NULL   2.745e+00   6.247e+00   0.44   99.000    5.000   99.055
OBS:  56207.219  z NULL   6.834e+00   5.953e+00   1.15   99.000    5.000   99.081
OBS:  56215.195  g NULL  -1.571e+00   2.681e+00  -0.59  128.000    0.000   33.283
OBS:  56215.203  r NULL  -4.396e-01   2.171e+00  -0.20  128.000    0.000   32.936
OBS:  56215.211  i NULL   3.191e+00   2.633e+00   1.21   26.240    1.893   32.776
OBS:  56215.227  z NULL  -1.723e-01   3.426e+00  -0.05  128.000    0.000   32.799
OBS:  56221.090  g NULL   1.298e+01   6.273e+00   2.07   24.716    0.716   27.934
OBS:  56221.105  r NULL   2.077e+00   5.079e+00   0.41   26.706  101.294   27.167
OBS:  56221.113  i NULL   3.248e+00   5.577e+00   0.58   26.221  101.779   26.935
OBS:  56221.117  z NULL   5.067e+00   7.706e+00   0.66   25.738  102.262   27.142
OBS:  56222.270  g NULL  -1.003e+01   7.735e+00  -1.30  128.000    0.000   27.229
OBS:  56222.273  r NULL  -1.176e+00   5.697e+00  -0.21  128.000    0.000   26.348
OBS:  56222.281  i NULL  -3.252e+01   1.699e+01  -1.91  128.000    0.000   26.130
OBS:  56222.289  z NULL   1.894e+00   8.066e+00   0.23   26.807  101.193   26.369
OBS:  56228.234  g NULL   1.445e+01   1.236e+01   1.17   24.600    2.095   24.849
OBS:  56228.242  r NULL   2.451e+01   5.601e+00   4.38   24.026    0.282   23.930
OBS:  56228.258  i NULL   1.151e+01   1.203e+01   0.96   24.847  103.153   23.863
OBS:  56228.270  z NULL   1.952e+01   6.662e+00   2.93   24.274    0.454   24.117
OBS:  56229.258  g NULL  -5.694e+00   1.722e+01  -0.33  128.000    0.000   24.519
OBS:  56229.270  r NULL   2.916e+01   8.094e+00   3.60   23.838    0.353   23.701
OBS:  56229.285  i NULL   4.303e+01   1.509e+01   2.85   23.416    0.469   23.656
OBS:  56229.297  z NULL   2.553e+01   8.916e+00   2.86   23.982    0.467   23.884
OBS:  56230.273  g NULL   1.434e+01   1.384e+01   1.04   24.608    3.651   24.226
OBS:  56230.277  r NULL   3.015e+01   6.445e+00   4.68   23.802    0.262   23.505
OBS:  56230.285  i NULL   5.110e+01   1.124e+01   4.54   23.229    0.269   23.482
OBS:  56230.293  z NULL   3.452e+01   6.195e+00   5.57   23.655    0.215   23.683
OBS:  56231.242  g NULL   3.345e+01   9.823e+00   3.40   23.689    0.377   23.998
OBS:  56231.258  r NULL   4.277e+01   5.030e+00   8.50   23.422    0.136   23.355
OBS:  56231.273  i NULL   5.306e+01   9.717e+00   5.46   23.188    0.219   23.343
OBS:  56231.277  z NULL   4.708e+01   5.383e+00   8.75   23.318    0.131   23.522
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56235.242  g NULL   4.410e+01   6.979e+00   6.32   23.389    0.187   23.392
OBS:  56235.258  r NULL   6.006e+01   4.107e+00  14.62   23.054    0.077   22.956
OBS:  56235.270  i NULL   5.838e+01   7.348e+00   7.95   23.084    0.146   22.964
OBS:  56235.277  z NULL   5.448e+01   7.062e+00   7.71   23.159    0.151   23.058
OBS:  56236.258  g NULL   5.166e+01   6.677e+00   7.74   23.217    0.150   23.319
OBS:  56236.270  r NULL   7.983e+01   4.544e+00  17.57   22.745    0.063   22.899
OBS:  56236.277  i NULL   7.309e+01   6.172e+00  11.84   22.840    0.096   22.906
OBS:  56236.285  z NULL   6.143e+01   7.895e+00   7.78   23.029    0.150   22.983
OBS:  56237.289  g NULL   4.456e+01   2.684e+01   1.66   23.378    1.002   23.271
OBS:  56237.297  r NULL   8.943e+01   4.076e+01   2.19   22.621    0.660   22.856
OBS:  56237.301  i NULL   6.696e+01   4.387e+01   1.53   22.936    1.156   22.858
OBS:  56237.316  z NULL   4.845e+01   2.569e+01   1.89   23.287    0.821   22.918
OBS:  56238.301  g NULL   1.850e+00   4.144e+01   0.04   26.832  101.168   23.249
OBS:  56238.316  r NULL   9.727e+01   1.385e+01   7.02   22.530    0.166   22.822
OBS:  56238.328  i NULL   7.780e+01   8.092e+00   9.61   22.773    0.119   22.815
OBS:  56243.027  z NULL   8.187e+01   7.978e+00  10.26   22.717    0.111   22.683
OBS:  56243.309  g NULL   4.340e+01   4.660e+00   9.31   23.406    0.123   23.428
OBS:  56244.027  r NULL   7.864e+01   4.401e+00  17.87   22.761    0.062   22.779
OBS:  56244.031  i NULL   7.892e+01   6.803e+00  11.60   22.757    0.098   22.689
OBS:  56244.273  g NULL   3.426e+01   4.206e+00   8.15   23.663    0.143   23.508
OBS:  56244.277  z NULL   8.445e+01   6.267e+00  13.48   22.684    0.084   22.661
OBS:  56245.293  g NULL   2.759e+01   1.391e+01   1.98   23.898    0.763   23.599
OBS:  56245.309  r NULL   6.298e+01   1.025e+01   6.14   23.002    0.194   22.794
OBS:  56246.027  i NULL   9.127e+01   4.109e+00  22.21   22.599    0.049   22.687
OBS:  56246.035  z NULL   9.396e+01   4.652e+00  20.20   22.568    0.055   22.649
OBS:  56247.207  g NULL   3.240e+01   3.144e+00  10.30   23.724    0.111   23.794
OBS:  56247.215  r NULL   7.203e+01   2.715e+00  26.53   22.856    0.042   22.841
OBS:  56254.160  i NULL   7.370e+01   5.132e+00  14.36   22.831    0.078   22.925
OBS:  56254.172  z NULL   7.011e+01   4.238e+00  16.54   22.886    0.068   22.812
OBS:  56258.125  g NULL   1.897e+00   1.063e+01   0.18   26.805  101.195   25.195
OBS:  56258.141  r NULL   3.976e+01   5.128e+00   7.75   23.501    0.150   23.488
OBS:  56261.035  i NULL   5.380e+01   6.187e+00   8.70   23.173    0.132   23.252
OBS:  56261.043  z NULL   6.093e+01   4.764e+00  12.79   23.038    0.088   23.115
OBS:  56261.242  g NULL   6.518e+00   7.748e+00   0.84   25.465  102.535   25.494
OBS:  56261.258  r NULL   3.513e+01   3.995e+00   8.79   23.636    0.131   23.687
OBS:  56274.188  g NULL   9.416e-01   3.598e+00   0.26   27.565  100.435   25.985
OBS:  56274.195  r NULL   1.905e+01   2.770e+00   6.88   24.301    0.171   24.341
OBS:  56274.203  i NULL   3.812e+01   4.335e+00   8.79   23.547    0.130   23.759
OBS:  56274.219  z NULL   3.300e+01   5.055e+00   6.53   23.704    0.181   23.585
OBS:  56282.203  g NULL  -8.671e+00   6.360e+00  -1.36  128.000    0.000   26.066
OBS:  56283.156  r NULL   1.323e+01   3.151e+00   4.20   24.696    0.296   24.551
OBS:  56283.168  i NULL   2.739e+01   5.074e+00   5.40   23.906    0.222   23.962
OBS:  56283.184  z NULL   2.577e+01   4.139e+00   6.23   23.972    0.191   23.771
OBS:  56288.191  g NULL   3.359e+00   1.255e+01   0.27   26.184  101.816   26.085
OBS:  56289.066  r NULL   1.959e+01   5.064e+00   3.87   24.270    0.324   24.659
OBS:  56289.078  i NULL   1.757e+01   8.744e+00   2.01   24.388    0.748   24.077
OBS:  56289.086  z NULL   2.497e+01   5.645e+00   4.42   24.006    0.279   23.867
OBS:  56292.090  g NULL   1.098e+01   1.143e+01   0.96   24.899  103.101   26.112
OBS:  56298.039  r NULL   1.549e+01   2.441e+00   6.34   24.525    0.186   24.784
OBS:  56298.047  i NULL   1.416e+01   3.572e+00   3.96   24.622    0.316   24.274
OBS:  56298.055  z NULL   3.079e+01   4.006e+00   7.69   23.779    0.151   24.013
OBS:  56304.043  g NULL   5.195e+00   2.561e+00   2.03   25.711    0.737   26.207
OBS:  56306.102  r NULL   8.919e+00   3.220e+00   2.77   25.124    0.487   24.945
OBS:  56306.113  i NULL   1.703e+01   4.324e+00   3.94   24.422    0.318   24.454
OBS:  56306.121  z NULL   1.788e+01   5.403e+00   3.31   24.369    0.391   24.141
OBS:  56312.047  g NULL   2.281e+01   9.615e+00   2.37   24.105    0.593   26.309
OBS:  56318.066  r NULL   8.311e+00   4.576e+00   1.82   25.201    0.868   25.230
OBS:  56318.078  i NULL   9.803e+00   7.975e+00   1.23   25.022    1.824   24.745
OBS:  56318.086  z NULL   2.915e+01   6.393e+00   4.56   23.838    0.268   24.309
OBS:  56320.035  g NULL   4.602e+00   1.145e+01   0.40   25.843  102.157   26.479
OBS:  56327.039  r NULL   4.287e+00   2.803e+00   1.53   25.920    1.153   25.459
OBS:  56327.047  i NULL   1.382e+01   4.184e+00   3.30   24.649    0.391   25.002
OBS:  56327.055  z NULL   1.819e+01   4.765e+00   3.82   24.350    0.330   24.446
END: 
