SURVEY: DES   
SNID:   636491   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.88058 +- 0.01900  (Helio, z_best) 
REDSHIFT_FINAL:   0.88058 +- 0.01900  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17303 
HOST_GALAXY_PHOTO-Z:   0.8806  +- 0.0190  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.8889  
SIM_HOSTLIB_TRUEZ:  0.8900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17303  
SIM_DLMU:      43.784344  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0307   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.50  24.06  23.51  23.55  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56182.562500  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.050e-06   
SIM_SALT2x1:    0.1678   
SIM_SALT2c:    -0.0889   
SIM_SALT2mB:   24.1165   
SIM_STRETCH:    1.168  
SIM_MAGDIM:    0.815  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -2.32   days 
SIM_TRESTMAX:    68.55   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56181.891  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 104 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   4.992e+00   9.406e+00   0.53   25.754  102.246   27.512
OBS:  56178.195  r NULL   1.732e+01   7.188e+00   2.41   24.403    0.583   23.963
OBS:  56178.203  i NULL   4.572e+01   6.898e+00   6.63   23.350    0.177   23.504
OBS:  56178.211  z NULL   3.525e+01   7.950e+00   4.43   23.632    0.278   23.604
OBS:  56180.172  g NULL   2.959e+00   4.015e+00   0.74   26.322  101.678   27.500
OBS:  56180.188  r NULL   2.943e+01   3.239e+00   9.09   23.828    0.126   23.993
OBS:  56180.195  i NULL   4.596e+01   4.495e+00  10.23   23.344    0.111   23.500
OBS:  56180.203  z NULL   3.448e+01   5.011e+00   6.88   23.656    0.171   23.570
OBS:  56188.148  g NULL   3.217e+01   1.797e+01   1.79   23.731    0.887   27.646
OBS:  56188.289  r NULL   1.553e+01   4.022e+00   3.86   24.522    0.326   24.320
OBS:  56188.297  i NULL   3.240e+01   8.173e+00   3.96   23.724    0.316   23.610
OBS:  56188.312  z NULL   2.858e+01   5.427e+00   5.27   23.860    0.229   23.605
OBS:  56194.145  g NULL  -2.701e+00   4.680e+00  -0.58  128.000    0.000   28.285
OBS:  56194.156  r NULL   1.640e+01   2.783e+00   5.89   24.463    0.202   24.631
OBS:  56194.172  i NULL   3.187e+01   4.684e+00   6.80   23.742    0.172   23.821
OBS:  56194.188  z NULL   3.577e+01   4.520e+00   7.91   23.616    0.146   23.699
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56207.188  g NULL  -1.538e+00   4.365e+00  -0.35  128.000    0.000   30.304
OBS:  56207.195  r NULL   3.457e+00   3.463e+00   1.00   26.153  101.847   25.548
OBS:  56207.203  i NULL   1.758e+01   6.261e+00   2.81   24.387    0.478   24.491
OBS:  56207.219  z NULL   1.239e+01   5.960e+00   2.08   24.768    0.714   24.150
OBS:  56215.195  g NULL   1.911e+00   2.681e+00   0.71   26.797  101.203   29.943
OBS:  56215.203  r NULL   6.446e+00   2.178e+00   2.96   25.477    0.447   26.101
OBS:  56215.211  i NULL   1.133e+01   2.649e+00   4.28   24.864    0.289   25.015
OBS:  56215.227  z NULL   1.570e+01   3.443e+00   4.56   24.510    0.269   24.495
OBS:  56221.090  g NULL  -4.045e-01   6.268e+00  -0.06  128.000    0.000   28.807
