SURVEY: DES   
SNID:   642478   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.62269 +- 0.01890  (Helio, z_best) 
REDSHIFT_FINAL:   0.62269 +- 0.01890  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18738 
HOST_GALAXY_PHOTO-Z:   0.6227  +- 0.0189  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.5916  
SIM_HOSTLIB_TRUEZ:  0.5900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18738  
SIM_DLMU:      42.701809  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0113   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.38  24.26  24.32  24.50  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56166.320312  days 
SIM_SALT2x0:   8.304e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     2.97   days 
SIM_TRESTMAX:    69.64   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56165.848  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 80 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   2.924e+01   7.809e+01   0.37   23.835  104.165   24.526
OBS:  56172.039  r NULL   1.842e+01   1.759e+01   1.05   24.337    3.372   24.339
OBS:  56172.051  i NULL   3.321e+01   4.995e+01   0.66   23.697  104.303   24.359
OBS:  56176.160  z NULL   1.835e+01   3.601e+00   5.10   24.341    0.237   24.558
OBS:  56179.023  g NULL   1.799e+01   6.405e+00   2.81   24.362    0.477   24.720
OBS:  56179.031  r NULL   1.119e+01   4.345e+00   2.57   24.878    0.535   24.461
OBS:  56179.047  i NULL   3.822e+00   7.145e+00   0.53   26.044  101.956   24.459
OBS:  56179.062  z NULL   4.999e+00   8.140e+00   0.61   25.753  102.247   24.603
OBS:  56180.031  g NULL   1.167e+01   5.698e+00   2.05   24.832    0.727   24.742
OBS:  56180.047  r NULL   2.113e+01   4.519e+00   4.68   24.188    0.261   24.483
OBS:  56180.062  i NULL   2.301e+01   6.756e+00   3.41   24.095    0.377   24.480
OBS:  56180.078  z NULL   2.759e+01   1.018e+01   2.71   23.898    0.499   24.624
OBS:  56188.004  g NULL   1.648e+01   5.703e+00   2.89   24.458    0.461   24.930
OBS:  56188.016  r NULL   1.201e+01   4.382e+00   2.74   24.801    0.493   24.680
OBS:  56188.027  i NULL   1.517e+01   6.473e+00   2.34   24.548    0.604   24.675
OBS:  56188.035  z NULL   1.175e+01   6.477e+00   1.81   24.825    0.870   24.816
OBS:  56189.004  g NULL   1.227e+01   5.669e+00   2.16   24.778    0.673   24.962
OBS:  56189.016  r NULL   9.900e+00   4.342e+00   2.28   25.011    0.627   24.706
OBS:  56189.027  i NULL   6.544e+00   6.412e+00   1.02   25.460    4.267   24.698
OBS:  56189.035  z NULL   2.048e+01   6.419e+00   3.19   24.222    0.408   24.836
OBS:  56194.012  g NULL   1.721e+01   6.223e+00   2.77   24.410    0.487   25.140
OBS:  56194.016  r NULL   1.602e+01   3.607e+00   4.44   24.489    0.277   24.850
OBS:  56194.023  i NULL   1.361e+01   6.159e+00   2.21   24.665    0.654   24.824
OBS:  56194.031  z NULL   6.736e+00   1.508e+01   0.45   25.429  102.571   24.949
OBS:  56198.992  g NULL  -2.431e+01   1.869e+01  -1.30  128.000    0.000   25.355
OBS:  56199.000  r NULL   1.436e+01   9.055e+00   1.59   24.607    1.081   25.022
OBS:  56199.008  i NULL   2.148e+00   1.181e+01   0.18   26.670  101.330   24.972
OBS:  56199.016  z NULL   6.325e+00   7.696e+00   0.82   25.497  102.503   25.081
OBS:  56199.039  g NULL   3.787e+01   3.350e+01   1.13   23.554    2.342   25.357
OBS:  56208.215  g NULL   2.159e+00   2.671e+00   0.81   26.664  101.336   25.938
OBS:  56208.223  r NULL   9.822e+00   1.783e+00   5.51   25.019    0.217   25.465
OBS:  56208.238  i NULL   4.890e+00   2.961e+00   1.65   25.777    1.011   25.342
OBS:  56209.160  z NULL   6.716e+00   3.246e+00   2.07   25.432    0.717   25.440
OBS:  56216.215  g NULL   4.678e+00   2.476e+00   1.89   25.825    0.817   26.487
OBS:  56216.223  r NULL   3.693e+00   1.888e+00   1.96   26.081    0.777   25.861
OBS:  56216.230  i NULL   6.113e+00   3.020e+00   2.02   25.534    0.740   25.665
OBS:  56218.152  z NULL   2.313e+00   2.673e+00   0.87   26.590  101.410   25.742
OBS:  56221.004  g NULL  -3.613e+00   5.229e+00  -0.69  128.000    0.000   26.827
OBS:  56221.016  r NULL   1.574e+00   3.580e+00   0.44   27.008  100.992   26.104
OBS:  56221.027  i NULL   1.046e+01   5.475e+00   1.91   24.951    0.804   25.862
OBS:  56221.035  z NULL  -4.008e+00   5.404e+00  -0.74  128.000    0.000   25.843
OBS:  56222.016  g NULL  -2.111e-01   6.244e+00  -0.03  128.000    0.000   26.901
OBS:  56222.027  r NULL   7.634e+00   3.623e+00   2.11   25.293    0.698   26.157
OBS:  56222.035  i NULL   8.273e+00   4.926e+00   1.68   25.206    0.982   25.905
OBS:  56228.012  z NULL   9.682e+00   5.548e+00   1.75   25.035    0.923   26.095
OBS:  56229.012  g NULL   2.527e+01   9.830e+00   2.57   23.993    0.534   27.356
OBS:  56229.016  r NULL   2.624e+00   4.319e+00   0.61   26.453  101.547   26.519
OBS:  56229.023  i NULL  -1.049e+01   7.811e+00  -1.34  128.000    0.000   26.205
