SURVEY: DES   
SNID:   645108   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.47445 +- 0.02740  (Helio, z_best) 
REDSHIFT_FINAL:   0.47445 +- 0.02740  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13148 
HOST_GALAXY_PHOTO-Z:   0.4745  +- 0.0274  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.4523  
SIM_HOSTLIB_TRUEZ:  0.4500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13148  
SIM_DLMU:      42.000614  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0282   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.57  22.52  22.64  22.65  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56194.886719  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.306e-05   
SIM_SALT2x1:   -0.5438   
SIM_SALT2c:     0.0469   
SIM_SALT2mB:   22.8455   
SIM_STRETCH:    0.456  
SIM_MAGDIM:    1.328  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -11.50   days 
SIM_TRESTMAX:    66.93   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56193.945  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 96 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL  -5.991e+00   9.414e+00  -0.64  128.000    0.000   25.189
OBS:  56178.195  r NULL   3.030e+01   7.203e+00   4.21   23.796    0.294   24.002
OBS:  56178.203  i NULL   1.586e+01   6.847e+00   2.32   24.499    0.614   24.075
OBS:  56178.211  z NULL   1.932e+01   7.930e+00   2.44   24.285    0.574   24.004
OBS:  56180.172  g NULL   1.755e+01   4.062e+00   4.32   24.390    0.286   24.517
OBS:  56180.188  r NULL   3.602e+01   3.270e+00  11.01   23.609    0.104   23.568
OBS:  56180.195  i NULL   3.594e+01   4.461e+00   8.06   23.611    0.144   23.683
OBS:  56180.203  z NULL   3.688e+01   5.017e+00   7.35   23.583    0.159   23.597
OBS:  56188.148  g NULL   6.249e+01   1.805e+01   3.46   23.010    0.370   23.540
OBS:  56188.289  r NULL   8.796e+01   4.387e+00  20.05   22.639    0.055   22.660
OBS:  56188.297  i NULL   5.738e+01   8.239e+00   6.96   23.103    0.169   22.829
OBS:  56188.312  z NULL   8.502e+01   5.636e+00  15.08   22.676    0.074   22.800
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56194.145  g NULL   4.361e+01   4.833e+00   9.02   23.401    0.127   23.546
OBS:  56194.156  r NULL   9.935e+01   3.403e+00  29.20   22.507    0.038   22.517
OBS:  56194.172  i NULL   8.049e+01   4.917e+00  16.37   22.736    0.069   22.652
OBS:  56194.188  z NULL   7.749e+01   4.710e+00  16.45   22.777    0.069   22.656
OBS:  56207.188  g NULL   2.500e+01   4.425e+00   5.65   24.005    0.211   24.469
OBS:  56207.195  r NULL   5.877e+01   3.664e+00  16.04   23.077    0.071   22.971
OBS:  56207.203  i NULL   6.646e+01   6.392e+00  10.40   22.944    0.110   22.871
OBS:  56207.219  z NULL   6.970e+01   6.102e+00  11.42   22.892    0.099   22.924
OBS:  56215.195  g NULL   6.478e+00   2.712e+00   2.39   25.471    0.589   25.223
OBS:  56215.203  r NULL   3.711e+01   2.317e+00  16.01   23.576    0.070   23.549
OBS:  56215.211  i NULL   4.784e+01   2.816e+00  16.99   23.300    0.066   23.242
OBS:  56215.227  z NULL   4.539e+01   3.542e+00  12.82   23.358    0.089   23.245
OBS:  56221.090  g NULL   5.388e+00   6.277e+00   0.86   25.671  102.329   25.802
