SURVEY: DES   
SNID:   647996   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.30463 +- 0.02570  (Helio, z_best) 
REDSHIFT_FINAL:   0.30463 +- 0.02570  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13850 
HOST_GALAXY_PHOTO-Z:   0.3046  +- 0.0257  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      11   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SNLS-04D4jv  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.2895  
SIM_HOSTLIB_TRUEZ:  0.2900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13850  
SIM_DLMU:      40.866642  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0563   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.96  24.24  23.79  23.69  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56342.871094  days 
SIM_SALT2x0:   4.501e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.37   days 
SIM_TRESTMAX:     6.32   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56342.316  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 32 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56292.098  g NULL   1.073e+01   1.165e+01   0.92   99.000    5.000   99.053
OBS:  56292.102  r NULL  -8.348e+00   4.829e+00  -1.73   99.000    5.000   98.963
OBS:  56292.191  i NULL   8.652e+00   5.602e+00   1.54   99.000    5.000   99.027
OBS:  56292.199  z NULL  -5.356e+00   5.158e+00  -1.04   99.000    5.000   98.971
OBS:  56304.051  g NULL  -1.583e+00   2.480e+00  -0.64   99.000    5.000   99.053
OBS:  56304.055  r NULL  -2.457e-01   1.657e+00  -0.15   99.000    5.000   98.963
OBS:  56304.070  i NULL  -3.674e+00   2.507e+00  -1.47   99.000    5.000   99.027
OBS:  56304.086  z NULL   8.134e-01   3.934e+00   0.21   99.000    5.000   98.971
OBS:  56312.055  g NULL  -1.071e+01   7.570e+00  -1.41  128.000    0.000   32.368
OBS:  56312.066  r NULL  -3.135e+00   2.962e+00  -1.06  128.000    0.000   30.533
OBS:  56312.090  i NULL   3.817e+00   5.020e+00   0.76   26.046  101.954   29.753
OBS:  56312.113  z NULL   2.279e+00   5.429e+00   0.42   26.606  101.394   27.884
OBS:  56320.043  g NULL  -4.184e+00   6.169e+00  -0.68  128.000    0.000   29.893
OBS:  56320.051  r NULL   3.520e+00   2.490e+00   1.41   26.134    1.334   27.678
OBS:  56320.059  i NULL   2.864e+00   3.654e+00   0.78   26.358  101.642   27.098
OBS:  56320.070  z NULL   3.467e+00   4.395e+00   0.79   26.150  101.850   25.800
OBS:  56328.047  g NULL   5.730e+00   3.356e+00   1.71   25.605    0.956   27.342
OBS:  56328.055  r NULL   6.751e+00   2.412e+00   2.80   25.427    0.480   25.644
OBS:  56328.070  i NULL   7.099e+00   4.051e+00   1.75   25.372    0.918   25.360
OBS:  56328.086  z NULL   6.472e+00   6.784e+00   0.95   25.472  102.528   25.186
OBS:  56336.062  g NULL   6.791e+00   3.714e+00   1.83   25.420    0.859   25.947
OBS:  56336.082  r NULL   2.250e+01   3.052e+00   7.37   24.120    0.158   24.334
OBS:  56337.062  i NULL   2.914e+01   2.995e+00   9.73   23.839    0.117   23.952
OBS:  56337.078  z NULL   2.271e+01   3.775e+00   6.01   24.110    0.198   24.081
OBS:  56345.039  g NULL  -3.252e+00   7.144e+00  -0.46  128.000    0.000   26.114
OBS:  56345.055  r NULL   1.899e+01   3.799e+00   5.00   24.304    0.242   24.302
OBS:  56346.055  i NULL   1.655e+01   6.005e+00   2.76   24.453    0.491   23.829
OBS:  56348.027  z NULL   4.355e+01   5.092e+00   8.55   23.403    0.134   23.580
OBS:  56350.023  g NULL   7.296e+00   6.834e+00   1.07   25.342    2.993   26.729
OBS:  56350.027  r NULL   1.125e+01   3.952e+00   2.85   24.872    0.471   24.500
OBS:  56350.035  i NULL   3.374e+01   6.721e+00   5.02   23.680    0.241   23.924
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56351.023  z NULL   3.873e+01   6.145e+00   6.30   23.530    0.187   23.602
END: 
