SURVEY: DES   
SNID:   648123   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  21 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.66619 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.66619 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.66619 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18115 
HOST_GALAXY_PHOTO-Z:   0.6530  +- 0.0406  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.6648  
SIM_HOSTLIB_TRUEZ:  0.6600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18115  
SIM_DLMU:      43.010059  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0164   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.02  22.83  22.83  22.94  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56153.261719  days 
SIM_SALT2x0:   6.251e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    10.69   days 
SIM_TRESTMAX:    67.81   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56151.844  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 77 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   2.951e+01   7.810e+01   0.38   23.825  104.175   23.472
OBS:  56172.039  r NULL   4.290e+01   1.762e+01   2.44   23.419    0.575   23.167
OBS:  56172.051  i NULL   8.760e+01   4.998e+01   1.75   22.644    0.917   23.108
OBS:  56176.160  z NULL   4.978e+01   3.711e+00  13.41   23.257    0.084   23.264
OBS:  56179.023  g NULL   2.534e+01   6.444e+00   3.93   23.990    0.319   23.689
OBS:  56179.031  r NULL   5.489e+01   4.476e+00  12.26   23.151    0.092   23.345
OBS:  56179.047  i NULL   4.091e+01   7.196e+00   5.69   23.470    0.211   23.272
OBS:  56179.062  z NULL   5.091e+01   8.199e+00   6.21   23.233    0.190   23.324
OBS:  56180.031  g NULL   2.508e+01   5.749e+00   4.36   24.002    0.283   23.725
OBS:  56180.047  r NULL   5.293e+01   4.623e+00  11.45   23.191    0.099   23.373
OBS:  56180.062  i NULL   6.011e+01   6.845e+00   8.78   23.053    0.131   23.297
OBS:  56180.078  z NULL   4.110e+01   1.020e+01   4.03   23.465    0.310   23.347
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.004  g NULL   2.558e+01   5.738e+00   4.46   23.980    0.276   24.056
OBS:  56188.016  r NULL   2.970e+01   4.423e+00   6.71   23.818    0.176   23.639
OBS:  56188.027  i NULL   4.270e+01   6.524e+00   6.55   23.424    0.180   23.525
OBS:  56188.035  z NULL   3.920e+01   6.518e+00   6.01   23.517    0.197   23.550
OBS:  56189.004  g NULL   2.069e+01   5.700e+00   3.63   24.211    0.350   24.107
OBS:  56189.016  r NULL   2.654e+01   4.378e+00   6.06   23.940    0.197   23.679
OBS:  56189.027  i NULL   3.175e+01   6.446e+00   4.92   23.746    0.247   23.559
OBS:  56189.035  z NULL   3.127e+01   6.438e+00   4.86   23.762    0.251   23.579
OBS:  56194.012  g NULL   1.736e+01   6.238e+00   2.78   24.401    0.483   24.403
OBS:  56194.016  r NULL   2.225e+01   3.633e+00   6.12   24.132    0.194   23.906
