SURVEY: DES   
SNID:   661030   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.75327 +- 0.02460  (Helio, z_best) 
REDSHIFT_FINAL:   0.75327 +- 0.02460  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13072 
HOST_GALAXY_PHOTO-Z:   0.7533  +- 0.0246  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7737  
SIM_HOSTLIB_TRUEZ:  0.7700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13072  
SIM_DLMU:      43.413265  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0156   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.05  23.54  23.06  23.27  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56352.058594  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.866e-06   
SIM_SALT2x1:    1.0636   
SIM_SALT2c:    -0.0679   
SIM_SALT2mB:   23.7141   
SIM_STRETCH:    2.064  
SIM_MAGDIM:    0.784  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.41   days 
SIM_TRESTMAX:    -0.60   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56353.027  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 35 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56282.160  g NULL   1.063e+00   3.403e+00   0.31   99.000    5.000   99.712
OBS:  56282.184  r NULL   4.929e+00   2.180e+00   2.26   99.000    5.000   99.079
OBS:  56287.160  i NULL   6.103e+00   4.987e+00   1.22   99.000    5.000   99.080
OBS:  56287.191  z NULL   2.554e+00   3.894e+00   0.66   99.000    5.000   99.076
OBS:  56289.035  g NULL  -9.215e+00   1.189e+01  -0.77   99.000    5.000   99.712
OBS:  56289.043  r NULL   3.237e+00   4.183e+00   0.77   99.000    5.000   99.079
OBS:  56289.152  i NULL   1.400e-01   4.327e+00   0.03   99.000    5.000   99.080
OBS:  56289.176  z NULL   1.009e+01   4.467e+00   2.26   99.000    5.000   99.076
OBS:  56297.039  g NULL  -9.084e-02   1.580e+00  -0.06   99.000    5.000   99.712
OBS:  56297.047  r NULL  -1.291e+00   1.219e+00  -1.06   99.000    5.000   99.079
OBS:  56297.062  i NULL   4.961e-01   1.862e+00   0.27   99.000    5.000   99.080
OBS:  56297.090  z NULL   1.117e-01   2.119e+00   0.05   99.000    5.000   99.076
OBS:  56305.094  g NULL  -1.022e+00   1.644e+00  -0.62   99.000    5.000   99.712
OBS:  56305.102  r NULL  -2.019e+00   1.301e+00  -1.55   99.000    5.000   99.079
OBS:  56305.113  i NULL  -3.792e-01   2.190e+00  -0.17   99.000    5.000   99.080
OBS:  56306.043  z NULL  -1.902e+00   2.711e+00  -0.70   99.000    5.000   99.076
OBS:  56313.047  g NULL  -4.080e+00   5.961e+00  -0.68   99.000    5.000   99.712
OBS:  56313.055  r NULL  -6.679e-01   2.524e+00  -0.26   99.000    5.000   99.079
OBS:  56313.090  i NULL   1.767e-01   3.078e+00   0.06   99.000    5.000   99.080
OBS:  56317.066  z NULL   6.051e+00   4.251e+00   1.42   25.545    1.315   30.346
OBS:  56321.035  g NULL   1.565e-01   2.913e+00   0.05   29.513   98.487   29.115
OBS:  56321.043  r NULL   1.484e+00   1.366e+00   1.09   27.072    2.752   27.151
OBS:  56321.066  i NULL   3.943e+00   3.217e+00   1.23   26.010    1.836   26.614
OBS:  56326.039  z NULL   6.410e+00   2.610e+00   2.46   25.483    0.568   25.215
OBS:  56333.043  g NULL   1.291e+00   1.821e+00   0.71   27.222  100.778   26.409
OBS:  56333.051  r NULL   2.042e+01   1.446e+00  14.13   24.225    0.080   24.236
OBS:  56334.043  i NULL   3.493e+01   2.281e+00  15.31   23.642    0.073   23.770
OBS:  56335.043  z NULL   3.128e+01   3.432e+00   9.11   23.762    0.126   23.878
