SURVEY: DES   
SNID:   662873   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  32 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.24946 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.24946 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.24946 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14022 
HOST_GALAXY_PHOTO-Z:   0.2649  +- 0.0358  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      13   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = SDSS-000020  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.2519  
SIM_HOSTLIB_TRUEZ:  0.2500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14022  
SIM_DLMU:      40.521187  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0789   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.49  23.24  23.22  23.33  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56342.066406  days 
SIM_SALT2x0:   6.188e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.91   days 
SIM_TRESTMAX:     7.15   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56342.379  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 32 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56292.098  g NULL   1.666e+01   1.165e+01   1.43   99.000    5.000   99.019
OBS:  56292.102  r NULL   6.384e+00   4.828e+00   1.32   99.000    5.000   98.936
OBS:  56292.191  i NULL   9.138e+00   5.602e+00   1.63   99.000    5.000   98.984
OBS:  56292.199  z NULL   1.446e+01   5.164e+00   2.80   99.000    5.000   98.961
OBS:  56304.051  g NULL  -6.253e-01   2.480e+00  -0.25   99.000    5.000   99.019
OBS:  56304.055  r NULL  -4.092e-01   1.657e+00  -0.25   99.000    5.000   98.936
OBS:  56304.070  i NULL  -2.619e+00   2.506e+00  -1.05   99.000    5.000   98.984
OBS:  56304.086  z NULL   2.895e+00   3.934e+00   0.74   99.000    5.000   98.961
OBS:  56312.055  g NULL   1.514e+01   7.573e+00   2.00   24.549    0.752   38.222
OBS:  56312.066  r NULL  -3.449e+00   2.962e+00  -1.16  128.000    0.000   36.017
OBS:  56312.090  i NULL  -1.721e+00   5.020e+00  -0.34  128.000    0.000   36.153
OBS:  56312.113  z NULL  -6.815e-02   5.428e+00  -0.01  128.000    0.000   37.314
OBS:  56320.043  g NULL  -1.424e+00   6.168e+00  -0.23  128.000    0.000   29.905
OBS:  56320.051  r NULL   1.509e+00   2.490e+00   0.61   27.053  100.947   27.599
OBS:  56320.059  i NULL   1.674e+00   3.653e+00   0.46   26.940  101.060   27.558
OBS:  56320.070  z NULL   1.506e+00   4.394e+00   0.34   27.055  100.945   28.817
OBS:  56328.047  g NULL   9.752e-01   3.354e+00   0.29   27.527  100.473   27.314
OBS:  56328.055  r NULL   8.844e+00   2.420e+00   3.66   25.133    0.347   24.970
OBS:  56328.070  i NULL   2.703e+00   4.049e+00   0.67   26.420  101.580   25.539
OBS:  56328.086  z NULL   1.408e+01   6.787e+00   2.07   24.629    0.714   26.228
OBS:  56336.062  g NULL   1.160e+01   3.739e+00   3.10   24.838    0.422   24.830
OBS:  56336.082  r NULL   3.662e+01   3.112e+00  11.77   23.591    0.096   23.657
OBS:  56337.062  i NULL   3.489e+01   3.022e+00  11.55   23.643    0.098   23.674
OBS:  56337.078  z NULL   2.393e+01   3.779e+00   6.33   24.053    0.187   23.916
OBS:  56345.039  g NULL   1.137e+01   7.162e+00   1.59   24.861    1.080   24.594
OBS:  56345.055  r NULL   5.667e+01   3.948e+00  14.35   23.117    0.078   23.208
OBS:  56346.055  i NULL   5.523e+01   6.094e+00   9.06   23.145    0.127   23.146
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56348.027  z NULL   5.135e+01   5.121e+00  10.03   23.224    0.114   23.177
OBS:  56350.023  g NULL  -2.367e+00   6.845e+00  -0.35  128.000    0.000   24.929
OBS:  56350.027  r NULL   5.342e+01   4.091e+00  13.06   23.181    0.086   23.299
OBS:  56350.035  i NULL   5.559e+01   6.780e+00   8.20   23.137    0.141   23.194
OBS:  56351.023  z NULL   6.215e+01   6.214e+00  10.00   23.016    0.114   23.184
END: 
