SURVEY: DES   
SNID:   665288   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.75271 +- 0.02230  (Helio, z_best) 
REDSHIFT_FINAL:   0.75271 +- 0.02230  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11720 
HOST_GALAXY_PHOTO-Z:   0.7527  +- 0.0223  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7799  
SIM_HOSTLIB_TRUEZ:  0.7800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11720  
SIM_DLMU:      43.434677  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0077   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.250  mag  (host extinction at 5510 A)
SIM_RV:         2.529   (CCM89 extinction parameter) 
SIM_PEAKMAG:   26.46  24.37  23.76  23.84  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56176.140625  days 
SIM_DELTA:      0.344  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.656  
SIM_MAGDIM:    0.624  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     0.03   days 
SIM_TRESTMAX:    65.19   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56175.660  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 125 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   1.458e+00   4.766e+00   0.31   27.091  100.909   26.466
OBS:  56176.199  r NULL   1.792e+01   2.162e+00   8.29   24.367    0.140   24.371
OBS:  56176.215  i NULL   3.512e+01   3.219e+00  10.91   23.636    0.104   23.757
OBS:  56176.238  z NULL   3.377e+01   2.564e+00  13.17   23.679    0.085   23.843
OBS:  56179.188  g NULL   3.582e+00   2.588e+00   1.38   26.115    1.391   26.598
OBS:  56179.195  r NULL   1.377e+01   1.735e+00   7.94   24.652    0.147   24.487
OBS:  56179.234  i NULL   3.175e+01   2.080e+00  15.27   23.746    0.073   23.782
OBS:  56179.266  z NULL   3.353e+01   3.783e+00   8.86   23.686    0.130   23.833
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   4.415e+00   2.554e+00   1.73   25.888    0.937   26.722
OBS:  56180.281  r NULL   1.438e+01   1.337e+00  10.76   24.606    0.106   24.546
OBS:  56180.297  i NULL   3.489e+01   3.746e+00   9.31   23.643    0.123   23.805
OBS:  56180.328  z NULL   3.167e+01   4.527e+00   7.00   23.748    0.167   23.840
OBS:  56188.160  g NULL  -8.620e-01   5.684e+00  -0.15  128.000    0.000   27.920
OBS:  56188.176  r NULL   1.236e+01   5.578e+00   2.22   24.770    0.651   25.135
OBS:  56188.211  i NULL   1.818e+01   4.538e+00   4.01   24.351    0.312   24.130
OBS:  56188.238  z NULL   2.583e+01   3.435e+00   7.52   23.970    0.155   24.012
OBS:  56189.254  g NULL   5.058e+00   2.287e+00   2.21   25.740    0.653   28.030
OBS:  56189.270  r NULL   3.895e+00   3.272e+00   1.19   26.024    1.995   25.218
OBS:  56189.281  i NULL   2.301e+01   9.061e+00   2.54   24.095    0.543   24.189
OBS:  56189.312  z NULL   2.474e+01   3.003e+00   8.24   24.016    0.140   24.049
OBS:  56194.258  g NULL   2.281e+00   2.637e+00   0.86   26.605  101.395   28.342
OBS:  56194.270  r NULL   7.805e+00   1.497e+00   5.22   25.269    0.231   25.594
OBS:  56194.285  i NULL   1.940e+01   2.325e+00   8.34   24.280    0.138   24.517
OBS:  56194.305  z NULL   2.205e+01   2.422e+00   9.11   24.141    0.126   24.264
OBS:  56202.160  g NULL  -4.817e+00   4.791e+00  -1.01  128.000    0.000   29.134
OBS:  56202.176  r NULL   3.102e+00   2.324e+00   1.33   26.271    1.501   26.298
OBS:  56202.191  i NULL   1.141e+01   4.169e+00   2.74   24.857    0.493   25.132
OBS:  56202.215  z NULL   1.423e+01   2.725e+00   5.22   24.617    0.231   24.561
OBS:  56210.172  g NULL   4.014e+00   3.691e+00   1.09   25.991    2.732   29.648
OBS:  56210.188  r NULL   9.284e+00   3.220e+00   2.88   25.081    0.462   26.955
OBS:  56210.203  i NULL   4.325e+00   3.210e+00   1.35   25.910    1.472   25.742
OBS:  56210.234  z NULL   7.159e+00   3.848e+00   1.86   25.363    0.838   24.900
OBS:  56218.172  g NULL   1.267e+00   1.250e+00   1.01   27.243    4.656   29.831
