SURVEY: DES   
SNID:   683083   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.37542 +- 0.04100  (Helio, z_best) 
REDSHIFT_FINAL:   0.37542 +- 0.04100  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13943 
HOST_GALAXY_PHOTO-Z:   0.3754  +- 0.0410  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      7   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2004gv  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.3961  
SIM_HOSTLIB_TRUEZ:  0.4000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13943  
SIM_DLMU:      41.659485  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0090   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.27  24.13  23.64  23.61  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56163.425781  days 
SIM_SALT2x0:   2.169e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     9.14   days 
SIM_TRESTMAX:    69.98   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56162.789  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 105 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   1.077e+00   4.765e+00   0.23   27.420  100.580   27.263
OBS:  56176.199  r NULL   1.174e+01   2.144e+00   5.47   24.826    0.219   24.921
OBS:  56176.215  i NULL   2.431e+01   3.183e+00   7.64   24.036    0.152   24.065
OBS:  56176.238  z NULL   2.680e+01   2.535e+00  10.57   23.930    0.108   23.889
OBS:  56179.188  g NULL   3.917e+00   2.586e+00   1.51   26.018    1.172   27.551
OBS:  56179.195  r NULL   7.899e+00   1.719e+00   4.59   25.256    0.267   25.122
OBS:  56179.234  i NULL   1.993e+01   2.025e+00   9.84   24.251    0.117   24.200
OBS:  56179.266  z NULL   2.351e+01   3.757e+00   6.26   24.072    0.189   23.994
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL  -2.224e+00   2.552e+00  -0.87  128.000    0.000   27.634
OBS:  56180.281  r NULL   8.037e+00   1.314e+00   6.12   25.237    0.194   25.197
OBS:  56180.297  i NULL   1.633e+01   3.700e+00   4.42   24.467    0.279   24.250
OBS:  56180.328  z NULL   2.504e+01   4.512e+00   5.55   24.003    0.216   24.029
OBS:  56188.160  g NULL   9.065e+00   5.687e+00   1.59   25.107    1.071   27.904
OBS:  56188.176  r NULL   1.057e+01   5.575e+00   1.90   24.940    0.814   25.588
OBS:  56188.211  i NULL   1.799e+01   4.535e+00   3.97   24.362    0.315   24.607
OBS:  56188.238  z NULL   2.379e+01   3.430e+00   6.94   24.059    0.169   24.226
OBS:  56189.254  g NULL   2.010e-01   2.285e+00   0.09   29.242   98.758   27.916
OBS:  56189.270  r NULL   8.997e+00   3.274e+00   2.75   25.115    0.491   25.615
OBS:  56189.281  i NULL   1.627e+01   9.054e+00   1.80   24.472    0.883   24.655
OBS:  56189.312  z NULL   1.933e+01   2.988e+00   6.47   24.285    0.182   24.248
OBS:  56194.258  g NULL   1.214e+00   2.637e+00   0.46   27.290  100.710   27.950
OBS:  56194.270  r NULL   5.038e+00   1.492e+00   3.38   25.744    0.381   25.718
OBS:  56194.285  i NULL   7.235e+00   2.299e+00   3.15   25.351    0.416   24.865
OBS:  56194.305  z NULL   2.044e+01   2.417e+00   8.46   24.224    0.136   24.367
OBS:  56202.160  g NULL  -1.090e+01   4.795e+00  -2.27  128.000    0.000   28.039
OBS:  56202.176  r NULL   4.529e+00   2.325e+00   1.95   25.860    0.782   25.867
OBS:  56202.191  i NULL   1.310e+01   4.171e+00   3.14   24.707    0.416   25.047
OBS:  56202.215  z NULL   1.270e+01   2.722e+00   4.67   24.740    0.262   24.618
OBS:  56210.172  g NULL  -6.640e-01   3.691e+00  -0.18  128.000    0.000   28.231
OBS:  56210.188  r NULL   3.660e+00   3.216e+00   1.14   26.091    2.292   25.971
OBS:  56210.203  i NULL   3.583e+00   3.210e+00   1.12   26.114    2.466   25.178
OBS:  56210.234  z NULL   1.394e+01   3.855e+00   3.62   24.640    0.351   24.756
OBS:  56218.172  g NULL   2.326e+00   1.251e+00   1.86   26.583    0.837   28.502
OBS:  56218.191  r NULL   2.593e+00   9.604e-01   2.70   26.466    0.503   26.081
OBS:  56218.211  i NULL   9.229e+00   1.513e+00   6.10   25.087    0.194   25.285
OBS:  56219.156  z NULL   1.290e+01   1.949e+00   6.62   24.724    0.178   24.896
OBS:  56221.273  g NULL  -2.701e+00   3.911e+00  -0.69  128.000    0.000   28.622
OBS:  56221.281  r NULL   8.769e+00   5.584e+00   1.57   25.143    1.099   26.136
OBS:  56221.297  i NULL   7.129e+00   4.486e+00   1.59   25.367    1.078   25.306
OBS:  56221.324  z NULL  -2.391e+00   1.439e+01  -0.17  128.000    0.000   24.932
OBS:  56222.074  g NULL  -8.340e+00   5.910e+00  -1.41  128.000    0.000   28.655
OBS:  56222.090  r NULL   8.095e+00   2.631e+00   3.08   25.229    0.426   26.152
OBS:  56222.113  i NULL   1.126e+01   3.331e+00   3.38   24.871    0.380   25.310
OBS:  56222.133  z NULL   5.141e+00   5.057e+00   1.02   25.722    4.500   24.946
OBS:  56228.059  g NULL   4.000e+00   7.693e+00   0.52   25.995  102.005   28.923
OBS:  56228.066  r NULL   3.821e+00   2.392e+00   1.60   26.045    1.068   26.281
OBS:  56228.086  i NULL   8.017e+00   5.111e+00   1.57   25.240    1.102   25.345
OBS:  56228.109  z NULL   5.583e+00   4.135e+00   1.35   25.633    1.467   25.039
OBS:  56229.047  g NULL   8.245e+00   2.392e+01   0.34   25.210  102.790   28.971
OBS:  56229.059  r NULL   5.713e+00   3.852e+00   1.48   25.608    1.217   26.303
OBS:  56229.074  i NULL   6.442e+00   5.426e+00   1.19   25.478    2.006   25.352
OBS:  56229.102  z NULL   1.576e+01   4.857e+00   3.24   24.506    0.399   25.053
OBS:  56230.059  g NULL  -2.525e+00   6.571e+00  -0.38  128.000    0.000   29.023
OBS:  56230.102  r NULL   2.790e+00   2.917e+00   0.96   26.386  101.614   26.327
OBS:  56230.113  i NULL   6.210e+00   5.177e+00   1.20   25.517    1.948   25.360
OBS:  56230.145  z NULL   6.322e+00   2.668e+00   2.37   25.498    0.596   25.066
OBS:  56231.043  g NULL  -4.878e+00   6.045e+00  -0.81  128.000    0.000   29.072
OBS:  56231.059  r NULL   2.740e+00   2.552e+00   1.07   26.406    2.906   26.348
OBS:  56231.070  i NULL   1.407e+00   4.241e+00   0.33   27.129  100.871   25.368
OBS:  56231.102  z NULL   4.316e+00   3.279e+00   1.32   25.912    1.553   25.078
OBS:  56235.039  g NULL  -5.923e-01   5.184e+00  -0.11  128.000    0.000   29.274
OBS:  56235.047  r NULL   4.024e+00   3.707e+00   1.09   25.988    2.756   26.434
OBS:  56235.062  i NULL   1.394e+01   4.201e+00   3.32   24.640    0.389   25.404
OBS:  56235.090  z NULL   1.331e+01   8.236e+00   1.62   24.689    1.046   25.124
OBS:  56236.047  g NULL  -4.371e+00   4.873e+00  -0.90  128.000    0.000   29.327
OBS:  56236.062  r NULL   3.833e+00   2.661e+00   1.44   26.041    1.286   26.456
OBS:  56236.074  i NULL   6.949e+00   5.225e+00   1.33   25.395    1.513   25.414
OBS:  56236.105  z NULL   2.024e+01   5.333e+00   3.79   24.235    0.331   25.137
OBS:  56237.039  g NULL   4.516e+00   3.165e+00   1.43   25.863    1.309   29.380
OBS:  56237.051  r NULL   3.868e+00   2.214e+00   1.75   26.031    0.922   26.479
OBS:  56237.094  i NULL   1.055e+01   2.501e+00   4.22   24.942    0.293   25.424
OBS:  56237.125  z NULL   1.100e+01   3.702e+00   2.97   24.896    0.445   25.149
OBS:  56238.074  g NULL  -6.071e-01   2.522e+00  -0.24  128.000    0.000   29.437
OBS:  56238.094  r NULL   3.955e+00   1.591e+00   2.49   26.007    0.558   26.505
OBS:  56238.109  i NULL   6.431e-01   2.724e+00   0.24   27.979  100.021   25.435
OBS:  56238.129  z NULL   1.122e+01   3.114e+00   3.60   24.875    0.352   25.162
OBS:  56243.098  g NULL  -3.869e-01   2.168e+00  -0.18  128.000    0.000   29.718
OBS:  56243.109  r NULL   4.516e+00   1.657e+00   2.73   25.863    0.496   26.633
OBS:  56243.125  i NULL   1.134e+01   2.574e+00   4.40   24.864    0.279   25.488
OBS:  56243.152  z NULL   4.788e+00   2.552e+00   1.88   25.800    0.828   25.221
OBS:  56244.082  g NULL  -1.594e+00   2.191e+00  -0.73  128.000    0.000   29.778
OBS:  56244.098  r NULL   2.877e+00   1.636e+00   1.76   26.353    0.912   26.661
OBS:  56244.109  i NULL   1.915e+00   2.590e+00   0.74   26.795  101.205   25.499
OBS:  56244.133  z NULL   1.085e+01   2.989e+00   3.63   24.912    0.350   25.233
OBS:  56245.070  g NULL   4.341e-01   1.718e+00   0.25   28.406   99.594   29.836
OBS:  56245.082  r NULL   1.620e+00   1.354e+00   1.20   26.976    1.960   26.688
OBS:  56245.109  i NULL   2.990e+00   3.213e+00   0.93   26.311  101.689   25.509
OBS:  56245.137  z NULL   1.050e+01   2.844e+00   3.69   24.947    0.343   25.243
OBS:  56246.117  g NULL  -1.369e+01   6.567e+00  -2.08  128.000    0.000   29.897
OBS:  56246.125  r NULL   4.023e+00   2.812e+00   1.43   25.989    1.303   26.718
OBS:  56246.152  i NULL   5.600e+00   1.964e+00   2.85   25.630    0.469   25.521
