SURVEY: DES   
SNID:   687004   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.36560 +- 0.04930  (Helio, z_best) 
REDSHIFT_FINAL:   0.36560 +- 0.04930  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15886 
HOST_GALAXY_PHOTO-Z:   0.3656  +- 0.0493  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      13   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = SDSS-000020  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.2736  
SIM_HOSTLIB_TRUEZ:  0.2700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15886  
SIM_DLMU:      40.725597  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0109   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.62  23.36  23.21  23.46  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56349.597656  days 
SIM_SALT2x0:   5.126e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.56   days 
SIM_TRESTMAX:     1.18   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56349.430  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 36 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56303.039  g NULL   2.387e+00   1.371e+00   1.74   99.000    5.000   99.092
OBS:  56303.051  r NULL  -9.382e-01   8.996e-01  -1.04   99.000    5.000   99.026
OBS:  56303.070  i NULL  -1.705e-01   1.413e+00  -0.12   99.000    5.000   98.936
OBS:  56303.094  z NULL   1.787e+00   2.209e+00   0.81   99.000    5.000   99.016
OBS:  56311.043  g NULL  -2.769e+00   2.670e+00  -1.04   99.000    5.000   99.092
OBS:  56311.055  r NULL  -8.896e-01   1.496e+00  -0.59   99.000    5.000   99.026
OBS:  56311.074  i NULL  -9.570e-01   2.388e+00  -0.40   99.000    5.000   98.936
OBS:  56311.098  z NULL   1.890e-01   2.434e+00   0.08   99.000    5.000   99.016
OBS:  56317.125  g NULL  -6.888e+00   4.218e+00  -1.63  128.000    0.000   41.856
OBS:  56317.141  r NULL   4.048e-01   1.860e+00   0.22   28.482   99.518   39.667
OBS:  56318.109  i NULL   1.935e+00   2.781e+00   0.70   26.784  101.216   37.950
OBS:  56318.141  z NULL  -3.083e+00   2.976e+00  -1.04  128.000    0.000   39.339
OBS:  56321.090  g NULL  -4.023e+00   6.627e+00  -0.61  128.000    0.000   35.969
OBS:  56321.098  r NULL   1.004e+00   2.887e+00   0.35   27.496  100.504   33.717
OBS:  56321.109  i NULL   2.664e-01   3.401e+00   0.08   28.936   99.064   33.424
OBS:  56321.141  z NULL   9.766e-01   2.957e+00   0.33   27.526  100.474   34.907
OBS:  56332.039  g NULL  -7.416e-01   1.459e+00  -0.51  128.000    0.000   28.889
OBS:  56332.051  r NULL   3.177e+00   9.792e-01   3.24   26.245    0.401   25.944
OBS:  56332.070  i NULL   1.737e+00   1.583e+00   1.10   26.901    2.638   26.228
OBS:  56332.094  z NULL  -3.236e-01   2.577e+00  -0.13  128.000    0.000   27.460
OBS:  56340.043  g NULL   3.983e+00   2.757e+00   1.44   26.000    1.280   25.571
OBS:  56340.055  r NULL   1.867e+01   1.693e+00  11.03   24.322    0.104   24.256
OBS:  56340.074  i NULL   1.344e+01   2.736e+00   4.91   24.679    0.248   24.402
OBS:  56340.098  z NULL   1.161e+01   2.989e+00   3.88   24.838    0.323   25.040
OBS:  56348.055  g NULL   1.221e+01   3.274e+00   3.73   24.783    0.339   24.619
OBS:  56348.070  r NULL   4.303e+01   2.261e+00  19.03   23.415    0.059   23.411
OBS:  56349.004  i NULL   5.356e+01   2.572e+00  20.83   23.178    0.053   23.236
OBS:  56349.027  z NULL   4.055e+01   2.547e+00  15.92   23.480    0.070   23.495
OBS:  56350.043  g NULL   1.279e+01   3.855e+00   3.32   24.733    0.390   24.627
OBS:  56350.055  r NULL   4.705e+01   2.033e+00  23.14   23.319    0.048   23.348
OBS:  56350.070  i NULL   5.013e+01   3.305e+00  15.17   23.250    0.074   23.190
OBS:  56350.098  z NULL   4.022e+01   4.920e+00   8.18   23.489    0.142   23.432
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56351.043  g NULL   1.492e+01   3.376e+00   4.42   24.565    0.278   24.658
OBS:  56351.055  r NULL   4.769e+01   1.992e+00  23.94   23.304    0.046   23.334
OBS:  56351.070  i NULL   5.224e+01   3.220e+00  16.22   23.205    0.069   23.161
OBS:  56351.098  z NULL   4.317e+01   4.850e+00   8.90   23.412    0.129   23.389
END: 
